Time,PRE_CE8_FED001_061621_concat_00.CSV,PRE_CE8_FED002_061621_00.CSV,PRE_CE8_FED003_061621_00.CSV,PRE_CE8_FED005_061621_00.CSV,PRE_CE8_FED006_061621_01.CSV,PRE_CE8_FED009_061621_00.CSV,PRE_CE8a_FED001_090321_concat_00.CSV,PRE_CE8a_FED002_090321_concat_00.CSV,PRE_CE8a_FED003_090321_01.CSV,PRE_CE8a_FED004_090321_00.CSV,PRE_CE8a_FED005_090321_concat_00.CSV,PRE_CE8a_FED006_090321_02.CSV,POST_CE8_FED001_060921_00.CSV,POST_CE8_FED002_060921_concat_00.CSV,POST_CE8_FED003_060921_concat_00.CSV,POST_CE8_FED005_060921_concat_00.CSV,POST_CE8_FED006_060921_01.CSV,POST_CE8_FED009_060921_00.CSV,POST_CE8a_FED001_082621_01.CSV,POST_CE8a_FED002_082621_03.CSV,POST_CE8a_FED003_082621_05.CSV,POST_CE8a_FED004_082621_01.CSV,POST_CE8a_FED005_082621_01.CSV,POST_CE8a_FED006_082621_01.CSV
54,2,14,124,32,35,79,73,96,31,194,86,83,38,57,62,109,102,67,106,65,62,201,94,31
55,39,18,95,24,54,63,134,138,86,176,97,247,81,54,120,37,60,104,126,116,77,230,55,44
56,40,44,53,13,8,56,57,121,19,209,57,27,40,48,80,46,72,75,172,130,155,231,129,76
57,24,45,75,12,18,62,24,237,9,8,115,108,27,19,28,99,59,37,44,131,74,122,87,65
58,27,67,72,19,0,36,13,76,40,52,51,136,31,50,43,29,85,40,14,122,107,160,110,47
59,37,62,87,9,18,19,157,168,17,14,123,127,19,45,66,21,60,91,161,85,37,292,109,28
60,28,19,101,14,18,19,61,66,35,71,62,93,40,65,95,47,23,103,68,113,33,44,98,65
61,20,19,50,12,0,36,123,162,8,83,46,81,24,61,35,10,27,81,103,165,31,99,45,42
62,22,40,95,23,20,32,199,90,23,16,39,66,13,62,73,19,50,75,92,90,65,223,67,42
63,28,3,33,28,0,1,207,84,1,16,87,79,13,34,39,30,31,48,107,87,13,113,115,1
64,12,21,44,18,4,16,101,62,10,41,51,83,6,0,48,13,32,62,118,75,24,222,70,25
65,27,2,50,9,0,15,19,65,6,30,74,117,6,25,74,22,19,39,18,103,8,89,77,14
66,18,9,10,6,6,5,0,75,4,24,75,102,1,27,49,19,2,18,199,73,23,181,60,13
67,16,29,44,10,0,7,0,3,18,18,20,61,7,38,89,12,47,32,121,104,26,19,43,14
68,6,9,46,13,13,13,90,31,9,2,39,86,1,26,40,9,19,49,76,60,16,43,41,14
69,0,4,24,7,0,7,229,76,4,6,44,73,3,13,47,4,6,18,128,66,3,34,93,13
70,0,1,20,24,18,17,108,31,7,25,157,81,5,42,37,37,64,39,106,99,24,47,62,16
71,0,9,36,0,24,31,293,31,11,11,152,77,6,24,13,14,25,4,74,116,9,42,22,29
72,0,41,89,31,25,24,244,96,24,19,143,72,24,103,122,60,65,133,123,171,29,20,88,13
