Elapsed Hours (since 7:00),CE8_FED001_061621_concat_00.CSV,CE8_FED002_061621_00.CSV,CE8_FED003_061621_00.CSV,CE8_FED005_061621_00.CSV,CE8_FED006_061621_01.CSV,CE8_FED009_061621_00.CSV,CE8a_FED001_090321_concat_00.CSV,CE8a_FED002_090321_concat_00.CSV,CE8a_FED003_090321_01.CSV,CE8a_FED004_090321_00.CSV,CE8a_FED005_090321_concat_00.CSV,CE8a_FED006_090321_02.CSV,CE8_FED001_060921_00.CSV,CE8_FED002_060921_concat_00.CSV,CE8_FED003_060921_concat_00.CSV,CE8_FED005_060921_concat_00.CSV,CE8_FED006_060921_01.CSV,CE8_FED009_060921_00.CSV,CE8a_FED001_082621_01.CSV,CE8a_FED002_082621_03.CSV,CE8a_FED003_082621_05.CSV,CE8a_FED004_082621_01.CSV,CE8a_FED005_082621_01.CSV,CE8a_FED006_082621_01.CSV,Post,Post SEM,Pre,Pre SEM
37.0,227.0,74.0,254.0,119.0,196.0,25.0,116.0,80.0,114.0,124.0,115.0,143.0,118.0,105.0,197.0,73.0,161.0,401.0,123.0,36.0,75.0,33.0,56.0,40.0,132.25,18.81815894450374,118.16666666666667,29.660154205174784
38.0,90.0,54.0,59.0,72.0,188.0,10.0,112.0,93.0,146.0,341.0,87.0,179.0,111.0,76.0,117.0,220.0,165.0,73.0,111.0,42.0,117.0,47.0,95.0,73.0,119.25,25.057245066108734,103.91666666666667,14.431897717111626
39.0,115.0,49.0,168.0,42.0,43.0,16.0,83.0,85.0,181.0,76.0,118.0,172.0,71.0,103.0,0.0,84.0,130.0,108.0,122.0,54.0,155.0,105.0,121.0,19.0,95.66666666666667,16.06159230819745,89.33333333333333,13.302046626156608
40.0,82.0,34.0,98.0,39.0,0.0,13.0,171.0,80.0,161.0,126.0,122.0,226.0,70.0,60.0,0.0,108.0,27.0,292.0,116.0,84.0,123.0,136.0,118.0,58.0,96.0,19.844089265770773,99.33333333333333,21.173286962776494
41.0,53.0,19.0,91.0,35.0,24.0,18.0,101.0,222.0,70.0,260.0,76.0,104.0,45.0,95.0,107.0,107.0,215.0,127.0,159.0,97.0,104.0,163.0,101.0,55.0,89.41666666666667,22.396042106144602,114.58333333333333,13.498293008429405
42.0,77.0,18.0,66.0,24.0,31.0,25.0,115.0,190.0,55.0,133.0,36.0,155.0,53.0,65.0,188.0,64.0,131.0,133.0,188.0,95.0,161.0,261.0,82.0,45.0,77.08333333333333,16.703500963703522,122.16666666666667,19.342931264391908
43.0,19.0,6.0,31.0,38.0,31.0,3.0,70.0,103.0,31.0,28.0,94.0,46.0,28.0,41.0,52.0,50.0,62.0,98.0,161.0,52.0,96.0,221.0,56.0,99.0,41.666666666666664,9.188541392913944,84.66666666666667,16.21696330975374
44.0,34.0,15.0,59.0,56.0,26.0,19.0,24.0,81.0,31.0,47.0,21.0,66.0,40.0,95.0,139.0,40.0,45.0,251.0,55.0,74.0,55.0,177.0,64.0,44.0,39.916666666666664,6.16620596149658,89.91666666666667,19.156238928844825
45.0,90.0,9.0,117.0,50.0,24.0,25.0,64.0,107.0,110.0,56.0,68.0,85.0,27.0,20.0,52.0,72.0,75.0,99.0,25.0,87.0,56.0,115.0,70.0,95.0,67.08333333333333,10.371477739697971,66.08333333333333,8.92685625661479
46.0,24.0,11.0,63.0,18.0,40.0,7.0,19.0,50.0,92.0,51.0,39.0,31.0,43.0,86.0,138.0,95.0,61.0,89.0,187.0,77.0,93.0,113.0,53.0,12.0,37.083333333333336,7.041498563530495,87.25,13.163957335363584
