Elapsed Hours (since 7:00),CE8_FED001_061621_concat_00.CSV,CE8_FED002_061621_00.CSV,CE8_FED003_061621_00.CSV,CE8_FED005_061621_00.CSV,CE8_FED006_061621_01.CSV,CE8_FED009_061621_00.CSV,CE8a_FED001_090321_concat_00.CSV,CE8a_FED002_090321_concat_00.CSV,CE8a_FED003_090321_01.CSV,CE8a_FED004_090321_00.CSV,CE8a_FED005_090321_concat_00.CSV,CE8a_FED006_090321_02.CSV,CE8_FED001_060921_00.CSV,CE8_FED002_060921_concat_00.CSV,CE8_FED003_060921_concat_00.CSV,CE8_FED005_060921_concat_00.CSV,CE8_FED006_060921_01.CSV,CE8_FED009_060921_00.CSV,CE8a_FED001_082621_01.CSV,CE8a_FED002_082621_03.CSV,CE8a_FED003_082621_05.CSV,CE8a_FED004_082621_01.CSV,CE8a_FED005_082621_01.CSV,CE8a_FED006_082621_01.CSV,Post,Post SEM,Pre,Pre SEM
95.0,0.0,50.0,77.0,30.0,24.0,18.0,33.0,63.0,47.0,31.0,48.0,164.0,13.0,57.0,24.0,45.0,0.0,31.0,127.0,0.0,115.0,126.0,92.0,78.0,48.75,12.041044075338418,59.0,13.758193151278217
96.0,0.0,18.0,60.0,24.0,2.0,27.0,43.0,190.0,12.0,58.0,21.0,108.0,1.0,67.0,66.0,18.0,0.0,38.0,139.0,38.0,36.0,102.0,111.0,59.0,46.916666666666664,15.662374492632805,56.25,12.586744470419521
97.0,214.0,50.0,28.0,18.0,31.0,0.0,25.0,92.0,10.0,17.0,34.0,78.0,9.0,40.0,7.0,14.0,0.0,50.0,69.0,62.0,40.0,250.0,22.0,37.0,49.75,16.828513411361197,50.0,19.263720022127327
98.0,57.0,18.0,50.0,13.0,18.0,16.0,16.0,97.0,4.0,52.0,136.0,109.0,6.0,50.0,15.0,9.0,0.0,49.0,103.0,69.0,24.0,170.0,105.0,37.0,48.833333333333336,12.603410633473766,53.083333333333336,14.737325490951967
99.0,0.0,32.0,24.0,6.0,2.0,14.0,31.0,81.0,12.0,12.0,37.0,53.0,0.0,57.0,13.0,7.0,0.0,50.0,161.0,27.0,10.0,175.0,47.0,16.0,25.333333333333332,6.810568139578252,46.916666666666664,17.27516097953032
100.0,127.0,19.0,39.0,26.0,16.0,6.0,171.0,148.0,12.0,0.0,108.0,112.0,15.0,36.0,24.0,12.0,0.0,64.0,67.0,127.0,8.0,13.0,49.0,26.0,65.33333333333333,18.102123319844797,36.75,10.319975481530658
101.0,23.0,12.0,27.0,1.0,0.0,18.0,133.0,76.0,9.0,20.0,180.0,92.0,0.0,31.0,9.0,27.0,0.0,34.0,56.0,19.0,16.0,106.0,104.0,13.0,49.25,16.83931411904891,34.583333333333336,10.498526832683034
102.0,41.0,30.0,23.0,13.0,0.0,0.0,29.0,34.0,0.0,4.0,111.0,54.0,1.0,20.0,13.0,13.0,0.0,69.0,36.0,62.0,9.0,37.0,80.0,9.0,28.25,9.108874294285267,29.083333333333332,7.987166157801103
103.0,22.0,9.0,21.0,13.0,11.0,18.0,12.0,73.0,8.0,9.0,172.0,121.0,4.0,39.0,18.0,11.0,0.0,50.0,60.0,105.0,9.0,32.0,87.0,9.0,40.75,15.456745609878066,35.333333333333336,9.878299857809951
104.0,53.0,11.0,37.0,13.0,0.0,24.0,33.0,95.0,16.0,24.0,74.0,134.0,6.0,20.0,18.0,22.0,0.0,50.0,68.0,117.0,28.0,93.0,57.0,26.0,42.833333333333336,11.483079339232622,42.083333333333336,10.358321448590173
105.0,56.0,16.0,41.0,9.0,13.0,12.0,58.0,162.0,44.0,14.0,218.0,49.0,8.0,32.0,57.0,30.0,2.0,67.0,184.0,161.0,23.0,81.0,109.0,18.0,57.666666666666664,18.915014612148145,64.33333333333333,17.218882048202175
106.0,42.0,24.0,77.0,27.0,37.0,9.0,108.0,108.0,30.0,18.0,86.0,160.0,19.0,25.0,1.0,67.0,211.0,118.0,98.0,117.0,18.0,61.0,50.0,12.0,60.5,13.504488591620644,66.41666666666667,17.617337506220423
107.0,35.0,38.0,159.0,5.0,50.0,62.0,78.0,161.0,9.0,31.0,158.0,213.0,14.0,62.0,0.0,79.0,163.0,200.0,83.0,147.0,49.0,171.0,77.0,47.0,83.25,20.325430033841993,91.0,18.618172940338795
108.0,70.0,88.0,176.0,83.0,24.0,112.0,53.0,119.0,18.0,18.0,120.0,140.0,61.0,71.0,9.0,126.0,379.0,221.0,37.0,94.0,8.0,164.0,79.0,78.0,85.08333333333333,14.662081755812897,110.58333333333333,30.14446487543381
109.0,108.0,74.0,106.0,48.0,75.0,166.0,75.0,127.0,72.0,66.0,85.0,154.0,135.0,103.0,0.0,73.0,306.0,169.0,105.0,58.0,27.0,306.0,39.0,73.0,96.33333333333333,10.565333057990301,116.16666666666667,28.871143539751404
110.0,73.0,25.0,71.0,139.0,98.0,95.0,127.0,116.0,84.0,168.0,138.0,133.0,152.0,96.0,0.0,117.0,263.0,147.0,143.0,120.0,44.0,429.0,71.0,85.0,105.58333333333333,11.2710801378904,138.91666666666666,32.3691909105251
111.0,75.0,37.0,138.0,44.0,68.0,99.0,43.0,50.0,93.0,62.0,95.0,92.0,92.0,71.0,0.0,158.0,110.0,119.0,153.0,143.0,50.0,285.0,88.0,78.0,74.66666666666667,8.628997390172044,112.25,20.40132385781656
112.0,31.0,65.0,62.0,58.0,53.0,131.0,57.0,205.0,138.0,87.0,35.0,205.0,148.0,67.0,0.0,98.0,176.0,93.0,127.0,134.0,66.0,304.0,86.0,79.0,93.91666666666667,17.76464753436448,114.83333333333333,21.650751730714816
113.0,37.0,88.0,127.0,34.0,24.0,38.0,35.0,175.0,83.0,121.0,86.0,54.0,48.0,96.0,0.0,102.0,203.0,82.0,130.0,188.0,79.0,298.0,116.0,71.0,75.16666666666667,13.570708950314328,117.75,22.90663692364104
114.0,1.0,52.0,62.0,24.0,74.0,55.0,99.0,93.0,6.0,85.0,23.0,184.0,57.0,92.0,1.0,65.0,132.0,43.0,75.0,62.0,62.0,505.0,63.0,100.0,63.166666666666664,14.523144190281842,104.75,37.522543728787745
115.0,25.0,40.0,103.0,18.0,13.0,22.0,122.0,146.0,62.0,168.0,66.0,52.0,45.0,81.0,33.0,84.0,144.0,73.0,189.0,112.0,73.0,107.0,77.0,111.0,69.75,15.264895854690444,94.08333333333333,12.26874467741488
116.0,28.0,59.0,126.0,9.0,17.0,13.0,74.0,181.0,42.0,99.0,93.0,169.0,18.0,94.0,167.0,31.0,91.0,68.0,114.0,152.0,63.0,56.0,19.0,48.0,75.83333333333333,17.11893924307464,76.75,14.061081578296713
117.0,46.0,64.0,58.0,6.0,0.0,11.0,58.0,106.0,47.0,95.0,91.0,61.0,24.0,31.0,102.0,59.0,105.0,46.0,61.0,99.0,6.0,372.0,103.0,56.0,53.583333333333336,9.967719362669142,88.66666666666667,27.511521920530647
118.0,6.0,57.0,91.0,6.0,22.0,2.0,57.0,107.0,31.0,175.0,68.0,102.0,71.0,45.0,76.0,91.0,151.0,76.0,109.0,98.0,25.0,191.0,71.0,109.0,60.333333333333336,15.005217947652932,92.75,12.904735447489692
119.0,35.0,40.0,54.0,10.0,0.0,0.0,62.0,163.0,31.0,29.0,76.0,117.0,22.0,30.0,34.0,76.0,81.0,45.0,123.0,144.0,40.0,19.0,26.0,57.0,51.416666666666664,13.979670484982359,58.083333333333336,11.732148485286402
120.0,72.0,50.0,44.0,36.0,24.0,0.0,9.0,90.0,15.0,264.0,54.0,139.0,6.0,74.0,58.0,49.0,62.0,95.0,182.0,101.0,18.0,90.0,149.0,83.0,66.41666666666667,21.123180693879004,80.58333333333333,14.318063571741968
121.0,74.0,37.0,43.0,5.0,24.0,8.0,40.0,40.0,16.0,114.0,79.0,226.0,30.0,53.0,62.0,21.0,50.0,59.0,156.0,33.0,40.0,69.0,75.0,13.0,58.833333333333336,17.750729107233422,55.083333333333336,10.711405938144498
122.0,70.0,22.0,52.0,13.0,0.0,24.0,6.0,39.0,13.0,40.0,90.0,187.0,16.0,33.0,78.0,24.0,35.0,81.0,78.0,41.0,33.0,23.0,76.0,9.0,46.333333333333336,14.940961255298243,43.916666666666664,7.729771580510558
123.0,32.0,24.0,75.0,0.0,0.0,2.0,2.0,15.0,10.0,29.0,113.0,76.0,7.0,38.0,40.0,53.0,70.0,49.0,173.0,141.0,19.0,143.0,51.0,31.0,31.5,10.673175097723577,67.91666666666667,15.577984821892434
124.0,35.0,19.0,66.0,2.0,0.0,32.0,13.0,56.0,9.0,14.0,154.0,78.0,6.0,13.0,56.0,31.0,41.0,40.0,115.0,158.0,7.0,118.0,118.0,30.0,39.833333333333336,12.706377147008514,61.083333333333336,15.023949735557746
125.0,33.0,12.0,61.0,18.0,0.0,0.0,55.0,99.0,41.0,13.0,116.0,122.0,1.0,27.0,72.0,25.0,40.0,24.0,58.0,99.0,9.0,107.0,47.0,50.0,47.5,12.678722333105966,46.583333333333336,9.565926219893422
126.0,6.0,17.0,97.0,0.0,6.0,17.0,38.0,62.0,28.0,26.0,114.0,56.0,13.0,24.0,69.0,56.0,46.0,43.0,97.0,90.0,6.0,135.0,86.0,6.0,38.916666666666664,10.576172714783421,55.916666666666664,11.770828305174577
127.0,14.0,18.0,16.0,6.0,6.0,27.0,50.0,225.0,21.0,13.0,79.0,199.0,0.0,12.0,30.0,45.0,31.0,67.0,58.0,104.0,19.0,173.0,40.0,21.0,56.166666666666664,21.8981226998521,50.0,13.770301816634673
128.0,13.0,22.0,18.0,12.0,0.0,13.0,77.0,91.0,9.0,4.0,49.0,94.0,6.0,19.0,7.0,55.0,38.0,43.0,27.0,49.0,4.0,94.0,14.0,24.0,33.5,10.063058755425784,31.666666666666668,7.530074382236885
129.0,37.0,17.0,31.0,9.0,9.0,27.0,0.0,85.0,15.0,18.0,261.0,257.0,10.0,39.0,57.0,58.0,48.0,32.0,27.0,72.0,12.0,80.0,86.0,11.0,63.833333333333336,27.046209988600523,44.333333333333336,7.760948603896513
130.0,57.0,31.0,67.0,9.0,24.0,18.0,9.0,67.0,9.0,85.0,137.0,243.0,15.0,34.0,111.0,59.0,103.0,65.0,50.0,14.0,18.0,163.0,133.0,70.0,63.0,19.799372503065634,69.58333333333333,14.059644771867857
131.0,147.0,26.0,90.0,40.0,24.0,42.0,0.0,135.0,14.0,9.0,134.0,226.0,2.0,35.0,78.0,99.0,108.0,40.0,56.0,61.0,21.0,114.0,106.0,35.0,73.91666666666667,20.651310888516047,62.916666666666664,10.881913221191178
132.0,169.0,64.0,124.0,59.0,23.0,23.0,0.0,20.0,8.0,81.0,193.0,152.0,23.0,59.0,159.0,126.0,67.0,84.0,97.0,127.0,32.0,269.0,61.0,62.0,76.33333333333333,19.46805204700898,97.16666666666667,19.443715715060247
133.0,145.0,83.0,131.0,52.0,126.0,57.0,0.0,49.0,43.0,181.0,40.0,114.0,93.0,96.0,31.0,231.0,167.0,57.0,131.0,203.0,39.0,406.0,67.0,101.0,85.08333333333333,15.482374305687554,135.16666666666666,30.58788464194095
134.0,47.0,65.0,51.0,112.0,85.0,48.0,0.0,81.0,123.0,330.0,128.0,99.0,76.0,82.0,155.0,74.0,100.0,68.0,134.0,187.0,74.0,400.0,84.0,50.0,97.41666666666667,23.677587642444838,123.66666666666667,27.669678550917627
135.0,102.0,72.0,0.0,37.0,171.0,79.0,0.0,36.0,82.0,254.0,70.0,133.0,47.0,50.0,101.0,129.0,103.0,88.0,94.0,172.0,82.0,372.0,73.0,93.0,86.33333333333333,20.983880297105024,117.0,25.097084220355885
136.0,97.0,95.0,0.0,25.0,24.0,2.0,0.0,0.0,66.0,133.0,88.0,163.0,27.0,50.0,85.0,185.0,148.0,74.0,142.0,157.0,46.0,257.0,102.0,94.0,57.75,16.509008101180655,113.91666666666667,19.178767589775582
137.0,118.0,22.0,0.0,12.0,24.0,34.0,0.0,0.0,141.0,259.0,62.0,139.0,24.0,87.0,67.0,41.0,104.0,42.0,77.0,222.0,51.0,387.0,113.0,102.0,67.58333333333333,23.29015214352811,109.75,29.272783149767864
138.0,20.0,58.0,0.0,38.0,49.0,24.0,18.0,1.0,20.0,120.0,41.0,142.0,22.0,52.0,99.0,67.0,130.0,58.0,238.0,21.0,67.0,163.0,82.0,133.0,44.25,12.809279898384279,94.33333333333333,18.156029691025903
139.0,114.0,69.0,0.0,57.0,24.0,24.0,6.0,9.0,44.0,27.0,85.0,115.0,13.0,73.0,44.0,164.0,17.0,47.0,69.0,103.0,48.0,332.0,129.0,158.0,47.833333333333336,11.655947456603908,99.75,25.66247260105698
140.0,125.0,50.0,0.0,36.0,0.0,26.0,13.0,24.0,6.0,295.0,19.0,144.0,20.0,50.0,124.0,42.0,33.0,62.0,209.0,75.0,52.0,53.0,49.0,55.0,61.5,25.16807140370152,68.66666666666667,14.7290340635238
141.0,11.0,31.0,0.0,32.0,6.0,18.0,45.0,146.0,11.0,60.0,89.0,96.0,14.0,31.0,42.0,42.0,42.0,65.0,71.0,55.0,50.0,233.0,98.0,36.0,45.416666666666664,12.88436822061697,64.91666666666667,16.482064785577066
142.0,127.0,50.0,0.0,10.0,0.0,9.0,49.0,72.0,18.0,75.0,86.0,82.0,21.0,24.0,99.0,122.0,84.0,83.0,134.0,35.0,25.0,158.0,38.0,96.0,48.166666666666664,11.878063134972127,76.58333333333333,13.678371742841088
143.0,75.0,68.0,0.0,6.0,6.0,8.0,48.0,100.0,13.0,70.0,111.0,45.0,13.0,31.0,54.0,98.0,85.0,86.0,116.0,49.0,50.0,326.0,53.0,42.0,45.833333333333336,11.31359689698527,83.58333333333333,23.619925568011087
144.0,105.0,53.0,0.0,24.0,0.0,11.0,24.0,112.0,63.0,89.0,61.0,97.0,4.0,31.0,35.0,28.0,5.0,64.0,161.0,31.0,20.0,127.0,53.0,144.0,53.25,11.884625285713394,58.583333333333336,15.782354134291944
145.0,81.0,34.0,0.0,6.0,0.0,18.0,26.0,84.0,13.0,71.0,115.0,94.0,8.0,13.0,9.0,48.0,24.0,60.0,45.0,76.0,29.0,210.0,53.0,34.0,45.166666666666664,11.870407139460957,50.75,15.713883554476164
146.0,66.0,29.0,0.0,13.0,0.0,8.0,2.0,54.0,11.0,36.0,107.0,128.0,20.0,18.0,60.0,38.0,38.0,51.0,29.0,90.0,6.0,128.0,85.0,108.0,37.833333333333336,12.438840278528684,55.916666666666664,11.19487053353572
147.0,36.0,46.0,0.0,13.0,0.0,9.0,0.0,70.0,6.0,66.0,78.0,45.0,6.0,24.0,53.0,35.0,2.0,32.0,79.0,13.0,10.0,247.0,27.0,94.0,30.75,8.579507826527962,51.833333333333336,19.56296490718102
148.0,22.0,52.0,0.0,2.0,6.0,0.0,0.0,140.0,5.0,125.0,68.0,71.0,6.0,2.0,33.0,34.0,16.0,44.0,56.0,24.0,8.0,167.0,76.0,91.0,40.916666666666664,14.57813760257448,46.416666666666664,13.580544424605623
149.0,68.0,47.0,0.0,6.0,0.0,9.0,0.0,71.0,7.0,92.0,129.0,129.0,0.0,6.0,103.0,17.0,40.0,35.0,120.0,9.0,11.0,34.0,40.0,74.0,46.5,14.522448662381809,40.75,11.236523915204813
150.0,55.0,46.0,0.0,4.0,0.0,10.0,0.0,67.0,13.0,63.0,97.0,76.0,9.0,24.0,24.0,13.0,28.0,32.0,144.0,26.0,13.0,172.0,134.0,82.0,35.916666666666664,10.146247502591212,58.416666666666664,16.990397614862083
151.0,64.0,26.0,0.0,5.0,0.0,0.0,0.0,18.0,3.0,137.0,113.0,71.0,4.0,0.0,26.0,7.0,9.0,42.0,216.0,,9.0,221.0,118.0,55.0,36.416666666666664,13.979128562021863,64.27272727272727,25.16711090042677
152.0,50.0,22.0,0.0,4.0,9.0,0.0,,85.0,14.0,31.0,192.0,19.0,2.0,27.0,36.0,80.0,31.0,30.0,0.0,,0.0,71.0,3.0,0.0,38.72727272727273,17.106665850741507,25.454545454545453,8.640668783421418
153.0,42.0,4.0,234.0,15.0,68.0,24.0,,120.0,4.0,13.0,57.0,62.0,0.0,0.0,0.0,0.0,0.0,3.0,127.0,,24.0,148.0,202.0,43.0,58.45454545454545,20.461211035146317,49.72727272727273,22.170861675587094
154.0,25.0,50.0,75.0,25.0,193.0,50.0,,133.0,9.0,18.0,41.0,48.0,11.0,24.0,50.0,62.0,75.0,18.0,62.0,,13.0,85.0,118.0,80.0,60.63636363636363,16.721935907539766,54.36363636363637,10.46315850737306
155.0,98.0,62.0,270.0,76.0,135.0,31.0,,151.0,12.0,66.0,112.0,152.0,71.0,29.0,40.0,43.0,74.0,130.0,94.0,,4.0,228.0,183.0,97.0,105.9090909090909,21.505793953112242,90.27272727272727,20.405030979055102
156.0,147.0,63.0,218.0,35.0,264.0,80.0,,41.0,16.0,99.0,53.0,143.0,174.0,85.0,233.0,165.0,206.0,193.0,222.0,,17.0,245.0,109.0,89.0,105.36363636363636,23.98911598934845,158.0,22.05282913204727
157.0,215.0,42.0,110.0,63.0,181.0,62.0,,64.0,19.0,199.0,106.0,95.0,153.0,125.0,117.0,127.0,215.0,181.0,245.0,,46.0,427.0,68.0,122.0,105.0909090909091,19.885332440796446,166.0,31.435359361423217
158.0,43.0,52.0,64.0,51.0,17.0,24.0,,69.0,66.0,144.0,113.0,242.0,91.0,76.0,157.0,121.0,229.0,70.0,206.0,,83.0,556.0,99.0,142.0,80.45454545454545,19.563120980031254,166.36363636363637,42.06796940175241
159.0,167.0,75.0,90.0,45.0,61.0,6.0,,95.0,102.0,238.0,56.0,172.0,171.0,151.0,60.0,100.0,186.0,20.0,249.0,,68.0,394.0,107.0,121.0,100.63636363636364,20.17751796938758,147.9090909090909,31.325404893401416
160.0,38.0,12.0,84.0,99.0,79.0,,,121.0,49.0,201.0,124.0,81.0,91.0,131.0,132.0,169.0,257.0,107.0,145.0,,109.0,416.0,108.0,141.0,88.8,16.73705137976486,164.1818181818182,28.591104205144322
161.0,126.0,24.0,38.0,40.0,130.0,,,75.0,30.0,54.0,106.0,210.0,34.0,62.0,52.0,50.0,74.0,52.0,118.0,,34.0,186.0,101.0,136.0,83.3,18.792463028210715,81.72727272727273,14.549033650565567
162.0,40.0,24.0,56.0,32.0,84.0,,,74.0,19.0,91.0,57.0,66.0,90.0,113.0,128.0,77.0,54.0,111.0,346.0,,71.0,455.0,54.0,163.0,54.3,7.909277253116537,151.0909090909091,39.146915481753304
163.0,92.0,31.0,52.0,19.0,24.0,,,74.0,9.0,250.0,75.0,177.0,22.0,54.0,50.0,75.0,90.0,85.0,13.0,,60.0,100.0,116.0,100.0,80.3,24.403119108470992,69.54545454545455,9.941980446903504
164.0,75.0,30.0,44.0,22.0,38.0,,,133.0,13.0,106.0,56.0,26.0,26.0,18.0,99.0,40.0,84.0,84.0,81.0,,64.0,167.0,51.0,74.0,54.3,12.387314299538682,71.63636363636364,12.316487639282355
165.0,61.0,40.0,58.0,18.0,40.0,,,167.0,38.0,18.0,74.0,152.0,22.0,50.0,51.0,67.0,65.0,55.0,201.0,,18.0,256.0,30.0,166.0,66.6,16.495925422829586,89.18181818181819,24.225012686672045
166.0,45.0,29.0,31.0,6.0,19.0,,,70.0,51.0,24.0,57.0,51.0,15.0,34.0,120.0,31.0,220.0,109.0,85.0,,50.0,88.0,79.0,12.0,38.3,6.220128616033594,76.63636363636364,18.159031175234556
167.0,63.0,14.0,39.0,25.0,25.0,,,50.0,19.0,83.0,37.0,107.0,18.0,81.0,48.0,71.0,148.0,107.0,102.0,,17.0,7.0,112.0,14.0,46.2,9.521671188516342,65.9090909090909,14.54801113895551
168.0,71.0,36.0,42.0,23.0,37.0,,,184.0,21.0,120.0,127.0,62.0,6.0,0.0,76.0,36.0,59.0,91.0,61.0,,25.0,149.0,13.0,54.0,72.3,17.125711664044797,51.81818181818182,13.130684522638486
