Elapsed Hours (since 7:00),Female_Post_FED001_090321.csv,Female_Post_FED002_090321.csv,Female_Post_FED003_090321.csv,Female_Post_FED004_090321.csv,Female_Post_FED005_090321.csv,Female_Post_FED006_090321.csv,Male_Post_FED001_061621.csv,Male_Post_FED002_061621.csv,Male_Post_FED003_061621.csv,Male_Post_FED005_061621.csv,Male_Post_FED006_061621.csv,Male_Post_FED009_061621.csv,Female_Pre_FED001_082621.csv,Female_Pre_FED002_082621.csv,Female_Pre_FED003_082621.csv,Female_Pre_FED004_082621.csv,Female_Pre_FED005_082621.csv,Female_Pre_FED006_082621.csv,Male_Pre_FED001_060921.csv,Male_Pre_FED002_060921.csv,Male_Pre_FED003_060921.csv,Male_Pre_FED005_060921.csv,Male_Pre_FED006_060921.csv,Male_Pre_FED009_060921.csv,Post,Post SEM,Pre,Pre SEM
28.0,18.0,123.0,25.0,24.0,68.0,51.0,5.0,19.0,0.0,18.0,0.0,28.0,115.0,127.0,8.0,167.0,76.0,91.0,6.0,13.0,56.0,31.0,41.0,40.0,31.583333333333332,10.076569231377688,64.25,14.926651474541243
29.0,10.0,73.0,13.0,24.0,131.0,36.0,20.0,0.0,0.0,12.0,24.0,6.0,58.0,19.0,11.0,34.0,40.0,74.0,1.0,27.0,72.0,25.0,40.0,24.0,29.083333333333332,10.88400155728535,35.416666666666664,6.594830773362796
30.0,126.0,103.0,25.0,13.0,39.0,45.0,9.0,4.0,32.0,1.0,9.0,13.0,97.0,62.0,13.0,172.0,134.0,82.0,13.0,24.0,69.0,56.0,46.0,43.0,34.916666666666664,11.53614762475767,67.58333333333333,13.894329742376888
31.0,47.0,20.0,2.0,13.0,161.0,47.0,4.0,10.0,18.0,17.0,0.0,14.0,58.0,105.0,9.0,221.0,118.0,55.0,0.0,12.0,30.0,45.0,31.0,67.0,29.416666666666668,12.748415429362034,62.583333333333336,17.790642046998876
32.0,219.0,167.0,22.0,21.0,42.0,141.0,18.0,0.0,22.0,22.0,13.0,9.0,27.0,117.0,0.0,71.0,3.0,0.0,6.0,19.0,7.0,55.0,38.0,43.0,58.0,21.24781628708459,32.166666666666664,10.230549418977528
33.0,237.0,66.0,13.0,40.0,37.0,157.0,13.0,9.0,109.0,11.0,26.0,4.0,27.0,161.0,24.0,148.0,202.0,43.0,10.0,39.0,57.0,58.0,48.0,32.0,60.166666666666664,20.928389205752907,70.75,18.107057472240772
34.0,204.0,46.0,19.0,18.0,126.0,201.0,26.0,13.0,36.0,30.0,45.0,18.0,50.0,117.0,13.0,85.0,118.0,80.0,15.0,34.0,111.0,59.0,103.0,65.0,65.16666666666667,20.435350140223566,70.83333333333333,10.911373919359596
35.0,75.0,168.0,9.0,31.0,19.0,74.0,59.0,21.0,84.0,76.0,79.0,36.0,56.0,147.0,4.0,228.0,183.0,97.0,2.0,35.0,78.0,99.0,108.0,40.0,60.916666666666664,12.45869438009319,89.75,20.105827965587945
36.0,100.0,113.0,10.0,13.0,43.0,170.0,144.0,25.0,205.0,191.0,132.0,32.0,97.0,94.0,17.0,245.0,109.0,89.0,23.0,59.0,159.0,126.0,67.0,84.0,98.16666666666667,20.681873681799217,97.41666666666667,17.665433776305935
37.0,190.0,98.0,36.0,189.0,61.0,108.0,227.0,74.0,254.0,119.0,196.0,25.0,131.0,58.0,46.0,427.0,68.0,122.0,93.0,96.0,31.0,231.0,167.0,57.0,131.41666666666666,22.29025413253356,127.25,31.801020805037442
38.0,45.0,167.0,85.0,390.0,101.0,175.0,90.0,54.0,59.0,72.0,188.0,10.0,134.0,120.0,83.0,556.0,99.0,142.0,76.0,82.0,155.0,74.0,100.0,68.0,119.66666666666667,29.3036178688233,140.75,38.6558484735767
39.0,54.0,92.0,143.0,90.0,116.0,162.0,115.0,49.0,168.0,42.0,43.0,16.0,94.0,143.0,68.0,394.0,107.0,121.0,47.0,50.0,101.0,129.0,103.0,88.0,90.83333333333333,14.652455236049843,120.41666666666667,26.276057293069805
40.0,73.0,96.0,31.0,194.0,86.0,83.0,82.0,34.0,98.0,39.0,0.0,13.0,142.0,134.0,109.0,416.0,108.0,141.0,27.0,50.0,85.0,185.0,148.0,74.0,69.08333333333333,14.90650576565193,134.91666666666666,28.63444057195263
41.0,134.0,138.0,86.0,176.0,97.0,247.0,53.0,19.0,91.0,35.0,24.0,18.0,77.0,188.0,34.0,186.0,101.0,136.0,24.0,87.0,67.0,41.0,104.0,42.0,93.16666666666667,20.45054394080381,90.58333333333333,16.08521734922215
42.0,57.0,121.0,19.0,209.0,57.0,27.0,77.0,18.0,66.0,24.0,31.0,25.0,238.0,62.0,71.0,455.0,54.0,163.0,22.0,52.0,99.0,67.0,130.0,58.0,60.916666666666664,16.08474636593831,122.58333333333333,34.75683022766529
43.0,24.0,237.0,9.0,8.0,115.0,108.0,19.0,6.0,31.0,38.0,31.0,3.0,69.0,112.0,60.0,100.0,116.0,100.0,13.0,73.0,44.0,164.0,17.0,47.0,52.416666666666664,19.958463813073838,76.25,12.738705633309895
44.0,13.0,76.0,40.0,52.0,51.0,136.0,34.0,15.0,59.0,56.0,26.0,19.0,209.0,152.0,64.0,167.0,51.0,74.0,20.0,50.0,124.0,42.0,33.0,62.0,48.083333333333336,9.784386397302448,87.33333333333333,17.4717665467069
45.0,157.0,168.0,17.0,14.0,123.0,127.0,90.0,9.0,117.0,50.0,24.0,25.0,71.0,99.0,18.0,256.0,30.0,166.0,14.0,31.0,42.0,42.0,42.0,65.0,76.75,17.29867966585364,73.0,20.575802204619787
46.0,61.0,66.0,35.0,71.0,62.0,93.0,24.0,11.0,63.0,18.0,40.0,7.0,134.0,98.0,50.0,88.0,79.0,12.0,21.0,24.0,99.0,122.0,84.0,83.0,45.916666666666664,7.869637022676896,74.5,11.425980496352615
47.0,123.0,162.0,8.0,83.0,46.0,81.0,50.0,22.0,40.0,25.0,48.0,2.0,116.0,144.0,17.0,7.0,112.0,14.0,13.0,31.0,54.0,98.0,85.0,86.0,57.5,13.719318385754336,64.75,13.825276039767076
48.0,199.0,90.0,23.0,16.0,39.0,66.0,62.0,27.0,26.0,46.0,0.0,12.0,161.0,101.0,25.0,149.0,13.0,54.0,4.0,31.0,35.0,28.0,5.0,64.0,50.5,15.39111313831341,55.833333333333336,15.50456107541952
49.0,207.0,84.0,1.0,16.0,87.0,79.0,38.0,13.0,36.0,42.0,18.0,19.0,45.0,33.0,14.0,85.0,71.0,55.0,8.0,13.0,9.0,48.0,24.0,60.0,53.333333333333336,16.32915840272897,38.75,7.475338241055171
50.0,101.0,62.0,10.0,41.0,51.0,83.0,60.0,6.0,62.0,18.0,4.0,13.0,29.0,41.0,24.0,110.0,36.0,62.0,20.0,18.0,60.0,38.0,38.0,51.0,42.583333333333336,9.352084788911501,43.916666666666664,7.2857876732857125
51.0,19.0,65.0,6.0,30.0,74.0,117.0,16.0,0.0,32.0,9.0,13.0,8.0,79.0,141.0,18.0,117.0,136.0,55.0,6.0,24.0,53.0,35.0,2.0,32.0,32.416666666666664,10.17681435936858,58.166666666666664,14.230160742151677
52.0,0.0,75.0,4.0,24.0,75.0,102.0,21.0,4.0,53.0,9.0,2.0,14.0,56.0,158.0,6.0,219.0,57.0,63.0,6.0,2.0,33.0,34.0,16.0,44.0,31.916666666666668,10.13877819228349,57.833333333333336,19.000730980090683
53.0,0.0,3.0,18.0,18.0,20.0,61.0,24.0,10.0,55.0,18.0,11.0,8.0,120.0,99.0,25.0,157.0,88.0,48.0,0.0,6.0,103.0,17.0,40.0,35.0,20.5,5.466842199694779,61.5,14.537047759973742
54.0,90.0,31.0,9.0,2.0,39.0,86.0,27.0,9.0,36.0,2.0,2.0,0.0,144.0,90.0,2.0,65.0,66.0,62.0,9.0,24.0,24.0,13.0,28.0,32.0,27.75,9.102218344331167,46.583333333333336,11.81771803674295
55.0,229.0,76.0,4.0,6.0,44.0,73.0,35.0,1.0,26.0,9.0,6.0,9.0,216.0,104.0,0.0,164.0,84.0,42.0,4.0,0.0,26.0,7.0,9.0,42.0,43.166666666666664,18.51978194343344,58.166666666666664,20.44461599620602
56.0,108.0,31.0,7.0,25.0,157.0,81.0,13.0,15.0,57.0,18.0,31.0,13.0,0.0,49.0,0.0,185.0,94.0,111.0,2.0,27.0,36.0,80.0,31.0,30.0,46.333333333333336,13.44029070152183,53.75,15.907938269933036
57.0,293.0,31.0,11.0,11.0,152.0,77.0,47.0,24.0,41.0,6.0,44.0,9.0,127.0,72.0,0.0,192.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,3.0,62.166666666666664,24.0308618911666,47.5,18.788899043656798
58.0,244.0,96.0,24.0,19.0,143.0,72.0,50.0,18.0,53.0,51.0,40.0,40.0,62.0,14.0,31.0,118.0,164.0,99.0,11.0,24.0,50.0,62.0,75.0,18.0,70.83333333333333,18.778547291626115,60.666666666666664,13.60889489275379
59.0,24.0,6.0,2.0,24.0,193.0,161.0,98.0,24.0,68.0,40.0,31.0,31.0,94.0,61.0,0.0,472.0,95.0,187.0,71.0,29.0,40.0,43.0,74.0,130.0,58.5,17.756987527748226,108.0,36.00021043709539
60.0,198.0,25.0,13.0,24.0,66.0,151.0,191.0,70.0,243.0,35.0,62.0,39.0,222.0,127.0,15.0,355.0,71.0,95.0,174.0,85.0,233.0,165.0,206.0,193.0,93.08333333333333,23.155750098544914,161.75,26.180065571601105
61.0,42.0,64.0,36.0,178.0,133.0,218.0,273.0,58.0,131.0,57.0,66.0,60.0,245.0,203.0,29.0,402.0,87.0,48.0,153.0,125.0,117.0,127.0,215.0,181.0,109.66666666666667,22.359098660932037,161.0,28.911830440045463
62.0,116.0,107.0,67.0,330.0,77.0,211.0,98.0,53.0,123.0,24.0,30.0,69.0,206.0,187.0,84.0,435.0,122.0,123.0,91.0,76.0,157.0,121.0,229.0,70.0,108.75,24.711095839232982,158.41666666666666,29.289169146510957
63.0,127.0,111.0,51.0,318.0,35.0,184.0,0.0,8.0,61.0,26.0,26.0,64.0,249.0,172.0,108.0,314.0,126.0,149.0,171.0,151.0,60.0,100.0,186.0,20.0,84.25,26.30132068351264,150.5,22.82293503553747
64.0,36.0,136.0,43.0,62.0,101.0,153.0,2.0,14.0,124.0,32.0,35.0,79.0,145.0,157.0,17.0,436.0,74.0,153.0,91.0,131.0,132.0,169.0,257.0,107.0,68.08333333333333,14.443441593003554,155.75,30.497422891619927
65.0,173.0,41.0,56.0,112.0,124.0,154.0,39.0,18.0,95.0,24.0,54.0,63.0,118.0,222.0,40.0,41.0,81.0,121.0,34.0,62.0,52.0,50.0,74.0,52.0,79.41666666666667,14.829566256419485,78.91666666666667,15.408802252890615
66.0,162.0,161.0,16.0,91.0,32.0,63.0,40.0,44.0,53.0,13.0,8.0,56.0,346.0,21.0,18.0,312.0,61.0,115.0,90.0,113.0,128.0,77.0,54.0,111.0,61.583333333333336,15.050147655237286,120.5,30.018554868008493
67.0,79.0,124.0,6.0,10.0,43.0,148.0,24.0,45.0,75.0,12.0,18.0,62.0,13.0,103.0,31.0,180.0,163.0,179.0,22.0,54.0,50.0,75.0,90.0,85.0,53.833333333333336,13.276678877648656,87.08333333333333,17.099733443489225
68.0,137.0,106.0,22.0,18.0,78.0,85.0,27.0,67.0,72.0,19.0,0.0,36.0,81.0,75.0,23.0,37.0,58.0,30.0,26.0,18.0,99.0,40.0,84.0,84.0,55.583333333333336,12.031183179008984,54.583333333333336,8.307041858835458
69.0,207.0,62.0,27.0,50.0,12.0,76.0,37.0,62.0,87.0,9.0,18.0,19.0,201.0,55.0,29.0,203.0,75.0,209.0,22.0,50.0,51.0,67.0,65.0,55.0,55.5,15.673515588695821,90.16666666666667,20.327930230959264
70.0,45.0,109.0,17.0,50.0,71.0,106.0,28.0,19.0,101.0,14.0,18.0,19.0,85.0,35.0,48.0,164.0,104.0,42.0,15.0,34.0,120.0,31.0,220.0,109.0,49.75,10.835634953637229,83.91666666666667,17.995983698951534
71.0,33.0,63.0,47.0,31.0,48.0,164.0,20.0,19.0,50.0,12.0,0.0,36.0,102.0,49.0,35.0,50.0,65.0,59.0,18.0,81.0,48.0,71.0,148.0,107.0,43.583333333333336,12.102753464156057,69.41666666666667,10.296703159730107
72.0,43.0,190.0,12.0,58.0,21.0,108.0,22.0,40.0,95.0,23.0,20.0,32.0,,,,,,,,,,,,,55.333333333333336,15.046057237158125,,0.0
73.0,25.0,92.0,10.0,17.0,34.0,78.0,28.0,3.0,33.0,28.0,0.0,1.0,,,,,,,,,,,,,29.083333333333332,8.36429853000178,,0.0
74.0,16.0,97.0,4.0,52.0,136.0,109.0,12.0,21.0,44.0,18.0,4.0,16.0,,,,,,,,,,,,,44.083333333333336,13.072906480136078,,0.0
75.0,31.0,81.0,12.0,12.0,37.0,53.0,27.0,2.0,50.0,9.0,0.0,15.0,,,,,,,,,,,,,27.416666666666668,7.021027220594095,,0.0
