Female_Pre_FED001_082621,Female_Pre_FED002_082621,Female_Pre_FED003_082621,Female_Pre_FED004_082621,Female_Pre_FED005_082621,Female_Pre_FED006_082621,Male_Pre_FED001_060921,Male_Pre_FED002_060921,Male_Pre_FED003_060921,Male_Pre_FED005_060921,Male_Pre_FED006_060921,Male_Pre_FED009_060921
27.0,33.0,7.0,19.0,24.0,22.0,6,15.0,14.0,7.0,0.0,19.0
17.0,18.0,12.0,27.0,16.0,6.0,5,10.0,9.0,6.0,35.0,11.0
11.0,18.0,6.0,41.0,10.0,5.0,4,11.0,4.0,6.0,20.0,9.0
34.0,38.0,4.0,37.0,13.0,8.0,6,14.0,5.0,10.0,24.0,17.0
21.0,16.0,4.0,43.0,35.0,9.0,1,9.0,6.0,6.0,19.0,13.0
30.0,18.0,5.0,30.0,21.0,11.0,3,7.0,8.0,9.0,12.0,11.0
14.0,33.0,4.0,,34.0,4.0,4,9.0,5.0,30.0,11.0,19.0
11.0,29.0,5.0,,19.0,7.0,5,7.0,6.0,17.0,16.0,31.0
11.0,26.0,5.0,,21.0,6.0,7,9.0,7.0,20.0,10.0,14.0
36.0,17.0,3.0,,34.0,30.0,27,4.0,13.0,11.0,10.0,20.0
27.0,12.0,5.0,,,29.0,10,0.0,0.0,8.0,8.0,17.0
36.0,32.0,12.0,,,13.0,9,7.0,0.0,13.0,26.0,13.0
22.0,15.0,25.0,,,34.0,8,12.0,1.0,35.0,26.0,10.0
,14.0,13.0,,,11.0,8,21.0,5.0,19.0,12.0,10.0
,12.0,11.0,,,16.0,13,20.0,1.0,10.0,0.0,8.0
,,5.0,,,30.0,7,20.0,0.0,8.0,0.0,9.0
,,10.0,,,,4,9.0,9.0,6.0,0.0,13.0
,,4.0,,,,8,19.0,16.0,14.0,0.0,13.0
,,5.0,,,,6,9.0,20.0,29.0,0.0,0.0
,,5.0,,,,4,10.0,12.0,0.0,6.0,0.0
,,5.0,,,,4,6.0,15.0,19.0,19.0,8.0
,,5.0,,,,0,8.0,9.0,0.0,10.0,24.0
,,3.0,,,,1,8.0,17.0,0.0,8.0,14.0
,,5.0,,,,6,5.0,13.0,15.0,6.0,10.0
,,8.0,,,,4,7.0,9.0,,8.0,21.0
,,6.0,,,,5,12.0,26.0,,7.0,17.0
,,3.0,,,,0,7.0,29.0,,11.0,8.0
,,5.0,,,,2,20.0,10.0,,7.0,13.0
,,25.0,,,,6,11.0,9.0,,10.0,9.0
,,8.0,,,,18,16.0,18.0,,0.0,9.0
,,6.0,,,,12,15.0,8.0,,34.0,7.0
,,11.0,,,,8,11.0,12.0,,17.0,8.0
,,7.0,,,,7,9.0,0.0,,,9.0
,,8.0,,,,6,8.0,0.0,,,27.0
,,4.0,,,,7,9.0,0.0,,,23.0
,,8.0,,,,6,9.0,29.0,,,
,,7.0,,,,7,6.0,16.0,,,
,,0.0,,,,6,7.0,10.0,,,
,,0.0,,,,0,8.0,,,,
,,4.0,,,,3,4.0,,,,
,,5.0,,,,4,8.0,,,,
,,6.0,,,,8,8.0,,,,
,,2.0,,,,4,0.0,,,,
,,9.0,,,,5,8.0,,,,
,,6.0,,,,3,27.0,,,,
,,19.0,,,,2,12.0,,,,
,,11.0,,,,0,16.0,,,,
,,7.0,,,,28,10.0,,,,
,,9.0,,,,12,12.0,,,,
,,7.0,,,,16,9.0,,,,
,,,,,,7,,,,,
,,,,,,6,,,,,
,,,,,,7,,,,,
,,,,,,6,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
