File,Sex,Group,Pellets,PPP1,PPP2,Accuracy
Female_Post_FED001_090321.csv,F,Post,393,18.147582697201017,18.396946564885496,0.9864453665283541
Female_Post_FED002_090321.csv,F,Post,385,18.753246753246753,18.927272727272726,0.9908055441196651
Female_Post_FED003_090321.csv,F,Post,381,6.971128608923885,7.139107611548557,0.9764705882352941
Female_Post_FED004_090321.csv,F,Post,527,9.387096774193548,9.614800759013283,0.9763173475429248
Female_Post_FED005_090321.csv,F,Post,208,29.79326923076923,29.932692307692307,0.995342113716672
Female_Post_FED006_090321.csv,F,Post,301,26.3156146179402,26.803986710963454,0.9817798710956867
Female_Pre_FED001_082621.csv,F,Pre,299,27.50836120401338,28.157190635451506,0.9769568832402898
Female_Pre_FED002_082621.csv,F,Pre,307,21.693811074918568,22.15960912052117,0.9789798618256651
Female_Pre_FED003_082621.csv,F,Pre,374,5.957219251336898,6.288770053475936,0.9472789115646258
Female_Pre_FED004_082621.csv,F,Pre,241,61.25311203319502,62.19917012448133,0.9847898599066044
Female_Pre_FED005_082621.csv,F,Pre,229,26.790393013100438,27.065502183406114,0.989835430784124
Female_Pre_FED006_082621.csv,F,Pre,253,23.067193675889328,23.470355731225297,0.9828224991579656
Male_Post_FED001_061621.csv,M,Post,281,14.256227758007118,14.861209964412812,0.9592911877394636
Male_Post_FED002_061621.csv,M,Post,387,5.3565891472868215,5.625322997416021,0.9522278364722094
Male_Post_FED003_061621.csv,M,Post,381,13.4251968503937,13.986876640419947,0.9598423719271908
Male_Post_FED005_061621.csv,M,Post,453,5.852097130242826,6.143487858719647,0.9525691699604744
Male_Post_FED006_061621.csv,M,Post,434,7.582949308755761,7.836405529953917,0.9676565715965892
Male_Post_FED009_061621.csv,M,Post,412,6.893203883495145,6.992718446601942,0.9857688302672684
Male_Pre_FED001_060921.csv,M,Pre,362,6.930939226519337,7.265193370165746,0.9539923954372623
Male_Pre_FED002_060921.csv,M,Pre,522,6.934865900383142,7.007662835249042,0.9896118097320941
Male_Pre_FED003_060921.csv,M,Pre,382,10.88219895287958,11.178010471204189,0.9735362997658079
Male_Pre_FED005_060921.csv,M,Pre,312,15.330128205128204,16.30128205128205,0.9404246952418404
Male_Pre_FED006_060921.csv,M,Pre,396,16.26010101010101,16.707070707070706,0.9732466747279322
Male_Pre_FED009_060921.csv,M,Pre,469,11.06183368869936,11.191897654584222,0.9883787388073919
