Time,B5F
6/6/2024 13:00,0.952
6/6/2024 14:00,0.0244
6/6/2024 15:00,1.3
6/6/2024 16:00,4.52
6/6/2024 17:00,1.83
6/6/2024 18:00,10.8
6/6/2024 19:00,31.6
6/6/2024 20:00,30.2
6/6/2024 21:00,31.2
6/6/2024 22:00,22.7
6/6/2024 23:00,0.937
6/7/2024 0:00,0.636
6/7/2024 1:00,19
6/7/2024 2:00,26.9
6/7/2024 3:00,5.15
6/7/2024 4:00,0.0244
6/7/2024 5:00,1.96
6/7/2024 6:00,0.132
6/7/2024 7:00,14.1
6/7/2024 8:00,2.22
6/7/2024 9:00,1.27
6/7/2024 10:00,4.62
6/7/2024 11:00,22.3
6/7/2024 12:00,0.0244
6/7/2024 13:00,0.0244
6/7/2024 14:00,0.276
6/7/2024 15:00,0.467
6/7/2024 16:00,2.1
6/7/2024 17:00,20.2
6/7/2024 18:00,0.517
6/7/2024 19:00,7.58
6/7/2024 20:00,45
6/7/2024 21:00,28
6/7/2024 22:00,0.104
6/7/2024 23:00,17.3
6/8/2024 0:00,2.87
6/8/2024 1:00,21.4
6/8/2024 2:00,0.113
6/8/2024 3:00,0.506
6/8/2024 4:00,1.62
6/8/2024 5:00,12.6
6/8/2024 6:00,29.7
6/8/2024 7:00,0.997
6/8/2024 8:00,0.293
6/8/2024 9:00,0.0244
6/8/2024 10:00,1.02
6/8/2024 11:00,0.0244
6/8/2024 12:00,0.176
6/8/2024 13:00,0.208
6/8/2024 14:00,5.66
6/8/2024 15:00,1.57
6/8/2024 16:00,0.168
6/8/2024 17:00,10.5
6/8/2024 18:00,0.375
6/8/2024 19:00,15.2
6/8/2024 20:00,21.1
6/8/2024 21:00,23.6
6/8/2024 22:00,18
6/8/2024 23:00,4.65
6/9/2024 0:00,27.3
6/9/2024 1:00,5.09
6/9/2024 2:00,0.348
6/9/2024 3:00,0.451
6/9/2024 4:00,20.9
6/9/2024 5:00,4.29
6/9/2024 6:00,0.562
6/9/2024 7:00,0.346
6/9/2024 8:00,8.23
6/9/2024 9:00,0.463
6/9/2024 10:00,0.269
6/9/2024 11:00,0.432
6/9/2024 12:00,0.0244
6/9/2024 13:00,2.87
6/9/2024 14:00,0.259
6/9/2024 15:00,0.688
6/9/2024 16:00,0.495
6/9/2024 17:00,14.4
6/9/2024 18:00,1.22
6/9/2024 19:00,19.2
6/9/2024 20:00,28.6
6/9/2024 21:00,40.4
6/9/2024 22:00,26.3
6/9/2024 23:00,9.4
6/10/2024 0:00,0.24
6/10/2024 1:00,22.6
6/10/2024 2:00,16.5
6/10/2024 3:00,0.0244
6/10/2024 4:00,5.9
6/10/2024 5:00,13.6
6/10/2024 6:00,0.0262
6/10/2024 7:00,13.2
6/10/2024 8:00,0.399
6/10/2024 9:00,0.0244
6/10/2024 10:00,0.397
6/10/2024 11:00,9.57
6/10/2024 12:00,1
6/10/2024 13:00,0.293
6/10/2024 14:00,0.0244
6/10/2024 15:00,13.8
6/10/2024 16:00,0.68
6/10/2024 17:00,9.06
6/10/2024 18:00,3.27
6/10/2024 19:00,32.5
6/10/2024 20:00,27.7
6/10/2024 21:00,24.4
6/10/2024 22:00,12.3
6/10/2024 23:00,5.39
6/11/2024 0:00,5.64
6/11/2024 1:00,9.37
6/11/2024 2:00,7.36
6/11/2024 3:00,10.9
6/11/2024 4:00,9.12
6/11/2024 5:00,32.1
6/11/2024 6:00,0.0244
6/11/2024 7:00,0.0244
6/11/2024 8:00,9.32
6/11/2024 9:00,6.03
6/11/2024 10:00,0.6
6/11/2024 11:00,0.0244
6/11/2024 12:00,0.798
6/11/2024 13:00,0.0244
6/11/2024 14:00,0.25
6/11/2024 15:00,5.45
6/11/2024 16:00,4.6
6/11/2024 17:00,6.99
6/11/2024 18:00,6.89
6/11/2024 19:00,21.5
6/11/2024 20:00,34.9
6/11/2024 21:00,20.4
6/11/2024 22:00,0.544
6/11/2024 23:00,33.9
6/12/2024 0:00,19.3
6/12/2024 1:00,3.91
6/12/2024 2:00,17.3
6/12/2024 3:00,0.0244
6/12/2024 4:00,11.6
6/12/2024 5:00,2.42
6/12/2024 6:00,14.6
6/12/2024 7:00,2.4
6/12/2024 8:00,2.83
6/12/2024 9:00,0.526
6/12/2024 10:00,1.04
6/12/2024 11:00,19.7
6/12/2024 12:00,0.0244
6/12/2024 13:00,7.7
6/12/2024 14:00,0.0244
6/12/2024 15:00,1.83
6/12/2024 16:00,2.77
6/12/2024 17:00,1.69
6/12/2024 18:00,15.2
6/12/2024 19:00,27.4
6/12/2024 20:00,2.81
6/12/2024 21:00,0.713
6/12/2024 22:00,23
6/12/2024 23:00,29.4
6/13/2024 0:00,16.9
6/13/2024 1:00,16.3
6/13/2024 2:00,0.611
6/13/2024 3:00,2.07
6/13/2024 4:00,0.0244
6/13/2024 5:00,20.9
6/13/2024 6:00,0.0244
6/13/2024 7:00,0.327
6/13/2024 8:00,0.0244
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
