Time,59F
6/6/2024 13:00,1.54
6/6/2024 14:00,12.2
6/6/2024 15:00,6.42
6/6/2024 16:00,30
6/6/2024 17:00,10
6/6/2024 18:00,11.4
6/6/2024 19:00,39.7
6/6/2024 20:00,48
6/6/2024 21:00,35.9
6/6/2024 22:00,18.2
6/6/2024 23:00,24.4
6/7/2024 0:00,6.69
6/7/2024 1:00,25.9
6/7/2024 2:00,8.59
6/7/2024 3:00,2.92
6/7/2024 4:00,31.1
6/7/2024 5:00,4.41
6/7/2024 6:00,3.99
6/7/2024 7:00,3.7
6/7/2024 8:00,17.3
6/7/2024 9:00,6.44
6/7/2024 10:00,5.18
6/7/2024 11:00,20.1
6/7/2024 12:00,4.79
6/7/2024 13:00,4.72
6/7/2024 14:00,2.55
6/7/2024 15:00,26.6
6/7/2024 16:00,25.2
6/7/2024 17:00,9.08
6/7/2024 18:00,17.1
6/7/2024 19:00,45.6
6/7/2024 20:00,50.7
6/7/2024 21:00,48.9
6/7/2024 22:00,39.5
6/7/2024 23:00,21.7
6/8/2024 0:00,5.01
6/8/2024 1:00,20.8
6/8/2024 2:00,4.5
6/8/2024 3:00,23
6/8/2024 4:00,10.9
6/8/2024 5:00,29.2
6/8/2024 6:00,4.02
6/8/2024 7:00,3.25
6/8/2024 8:00,20.1
6/8/2024 9:00,2.83
6/8/2024 10:00,2.82
6/8/2024 11:00,20
6/8/2024 12:00,3.14
6/8/2024 13:00,3.48
6/8/2024 14:00,9.71
6/8/2024 15:00,16.8
6/8/2024 16:00,3.33
6/8/2024 17:00,16.7
6/8/2024 18:00,11.2
6/8/2024 19:00,25.5
6/8/2024 20:00,47.5
6/8/2024 21:00,44.1
6/8/2024 22:00,38.1
6/8/2024 23:00,20.5
6/9/2024 0:00,24
6/9/2024 1:00,18.9
6/9/2024 2:00,4.08
6/9/2024 3:00,20.3
6/9/2024 4:00,4.07
6/9/2024 5:00,12.3
6/9/2024 6:00,1.91
6/9/2024 7:00,3.27
6/9/2024 8:00,3.35
6/9/2024 9:00,20.6
6/9/2024 10:00,2.43
6/9/2024 11:00,2.57
6/9/2024 12:00,6.25
6/9/2024 13:00,4.77
6/9/2024 14:00,11.1
6/9/2024 15:00,2.71
6/9/2024 16:00,20.3
6/9/2024 17:00,12.5
6/9/2024 18:00,2.52
6/9/2024 19:00,43
6/9/2024 20:00,51.3
6/9/2024 21:00,44.4
6/9/2024 22:00,35.4
6/9/2024 23:00,34.4
6/10/2024 0:00,4.62
6/10/2024 1:00,4.18
6/10/2024 2:00,27.5
6/10/2024 3:00,22
6/10/2024 4:00,5.03
6/10/2024 5:00,6.57
6/10/2024 6:00,6.37
6/10/2024 7:00,4.15
6/10/2024 8:00,3.84
6/10/2024 9:00,20.9
6/10/2024 10:00,13.1
6/10/2024 11:00,16.6
6/10/2024 12:00,1.81
6/10/2024 13:00,3.04
6/10/2024 14:00,1.85
6/10/2024 15:00,26.5
6/10/2024 16:00,3.22
6/10/2024 17:00,12.4
6/10/2024 18:00,15.4
6/10/2024 19:00,44.3
6/10/2024 20:00,54.3
6/10/2024 21:00,48.7
6/10/2024 22:00,29.7
6/10/2024 23:00,13.5
6/11/2024 0:00,2.95
6/11/2024 1:00,23.1
6/11/2024 2:00,22.8
6/11/2024 3:00,2.72
6/11/2024 4:00,5.92
6/11/2024 5:00,26.3
6/11/2024 6:00,1.91
6/11/2024 7:00,1.5
6/11/2024 8:00,8.3
6/11/2024 9:00,1.45
6/11/2024 10:00,5.37
6/11/2024 11:00,22.6
6/11/2024 12:00,2.49
6/11/2024 13:00,1.77
6/11/2024 14:00,7.05
6/11/2024 15:00,1.37
6/11/2024 16:00,13.5
6/11/2024 17:00,9.81
6/11/2024 18:00,20.4
6/11/2024 19:00,35.6
6/11/2024 20:00,42.8
6/11/2024 21:00,33.3
6/11/2024 22:00,4.29
6/11/2024 23:00,17.3
6/12/2024 0:00,28.9
6/12/2024 1:00,8.88
6/12/2024 2:00,10.4
6/12/2024 3:00,7.08
6/12/2024 4:00,8.86
6/12/2024 5:00,16.1
6/12/2024 6:00,15.1
6/12/2024 7:00,1.54
6/12/2024 8:00,7.11
6/12/2024 9:00,8.54
6/12/2024 10:00,1.44
6/12/2024 11:00,4.64
6/12/2024 12:00,2.28
6/12/2024 13:00,6.45
6/12/2024 14:00,19.3
6/12/2024 15:00,8.93
6/12/2024 16:00,6.23
6/12/2024 17:00,4.36
6/12/2024 18:00,32.8
6/12/2024 19:00,33
6/12/2024 20:00,11.8
6/12/2024 21:00,29.1
6/12/2024 22:00,29.6
6/12/2024 23:00,12.8
6/13/2024 0:00,23.7
6/13/2024 1:00,13.9
6/13/2024 2:00,9.28
6/13/2024 3:00,14.5
6/13/2024 4:00,13
6/13/2024 5:00,5.65
6/13/2024 6:00,3.81
6/13/2024 7:00,17.6
6/13/2024 8:00,1.27
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
