Time,50D
6/6/2024 13:00,1.63
6/6/2024 14:00,0.0872
6/6/2024 15:00,2.02
6/6/2024 16:00,12.3
6/6/2024 17:00,1.08
6/6/2024 18:00,14.9
6/6/2024 19:00,45.6
6/6/2024 20:00,46.5
6/6/2024 21:00,47.2
6/6/2024 22:00,43.7
6/6/2024 23:00,40.2
6/7/2024 0:00,35.4
6/7/2024 1:00,38.2
6/7/2024 2:00,6.44
6/7/2024 3:00,10.1
6/7/2024 4:00,22
6/7/2024 5:00,14
6/7/2024 6:00,1.8
6/7/2024 7:00,1.12
6/7/2024 8:00,1.01
6/7/2024 9:00,0.579
6/7/2024 10:00,13.8
6/7/2024 11:00,1.36
6/7/2024 12:00,4.11
6/7/2024 13:00,0.207
6/7/2024 14:00,2.29
6/7/2024 15:00,6.88
6/7/2024 16:00,19.6
6/7/2024 17:00,3.83
6/7/2024 18:00,13.8
6/7/2024 19:00,55.4
6/7/2024 20:00,59.5
6/7/2024 21:00,54.2
6/7/2024 22:00,51.1
6/7/2024 23:00,50.8
6/8/2024 0:00,50.9
6/8/2024 1:00,30.2
6/8/2024 2:00,4.37
6/8/2024 3:00,44.2
6/8/2024 4:00,26.1
6/8/2024 5:00,6.41
6/8/2024 6:00,11.5
6/8/2024 7:00,3.56
6/8/2024 8:00,8.36
6/8/2024 9:00,5.24
6/8/2024 10:00,2.4
6/8/2024 11:00,8.74
6/8/2024 12:00,9.13
6/8/2024 13:00,3.46
6/8/2024 14:00,10.2
6/8/2024 15:00,22
6/8/2024 16:00,0.9
6/8/2024 17:00,5.8
6/8/2024 18:00,20.8
6/8/2024 19:00,56
6/8/2024 20:00,61.1
6/8/2024 21:00,59.4
6/8/2024 22:00,58.6
6/8/2024 23:00,50.8
6/9/2024 0:00,39.4
6/9/2024 1:00,11.6
6/9/2024 2:00,28.8
6/9/2024 3:00,1.61
6/9/2024 4:00,1.86
6/9/2024 5:00,20.9
6/9/2024 6:00,6.64
6/9/2024 7:00,0.659
6/9/2024 8:00,10.9
6/9/2024 9:00,0.369
6/9/2024 10:00,0.304
6/9/2024 11:00,3.4
6/9/2024 12:00,0.0737
6/9/2024 13:00,17.6
6/9/2024 14:00,5.58
6/9/2024 15:00,1.26
6/9/2024 16:00,0.676
6/9/2024 17:00,1.63
6/9/2024 18:00,11.1
6/9/2024 19:00,51.2
6/9/2024 20:00,55.6
6/9/2024 21:00,51.5
6/9/2024 22:00,36.4
6/9/2024 23:00,9.83
6/10/2024 0:00,22.9
6/10/2024 1:00,31.6
6/10/2024 2:00,2.19
6/10/2024 3:00,15.5
6/10/2024 4:00,19
6/10/2024 5:00,1.8
6/10/2024 6:00,3.16
6/10/2024 7:00,9.17
6/10/2024 8:00,0.378
6/10/2024 9:00,0.141
6/10/2024 10:00,8.51
6/10/2024 11:00,0.219
6/10/2024 12:00,3.07
6/10/2024 13:00,0.575
6/10/2024 14:00,0.0818
6/10/2024 15:00,25.2
6/10/2024 16:00,2.93
6/10/2024 17:00,4.61
6/10/2024 18:00,1.63
6/10/2024 19:00,27.8
6/10/2024 20:00,43.8
6/10/2024 21:00,41.4
6/10/2024 22:00,38
6/10/2024 23:00,36.4
6/11/2024 0:00,12.3
6/11/2024 1:00,0.0648
6/11/2024 2:00,31.2
6/11/2024 3:00,37.7
6/11/2024 4:00,13.6
6/11/2024 5:00,16.5
6/11/2024 6:00,3.05
6/11/2024 7:00,10.5
6/11/2024 8:00,0.316
6/11/2024 9:00,10.6
6/11/2024 10:00,1.37
6/11/2024 11:00,1.53
6/11/2024 12:00,3.66
6/11/2024 13:00,2.81
6/11/2024 14:00,0.335
6/11/2024 15:00,1.94
6/11/2024 16:00,15.2
6/11/2024 17:00,1.73
6/11/2024 18:00,24.5
6/11/2024 19:00,53.9
6/11/2024 20:00,52.6
6/11/2024 21:00,42.8
6/11/2024 22:00,16.5
6/11/2024 23:00,36.9
6/12/2024 0:00,7.55
6/12/2024 1:00,9.28
6/12/2024 2:00,3.42
6/12/2024 3:00,37.8
6/12/2024 4:00,8.04
6/12/2024 5:00,7.52
6/12/2024 6:00,0.639
6/12/2024 7:00,13.9
6/12/2024 8:00,4.3
6/12/2024 9:00,0.725
6/12/2024 10:00,0.213
6/12/2024 11:00,0.45
6/12/2024 12:00,7.85
6/12/2024 13:00,1.77
6/12/2024 14:00,6.44
6/12/2024 15:00,0.46
6/12/2024 16:00,2.6
6/12/2024 17:00,5.78
6/12/2024 18:00,21.8
6/12/2024 19:00,9.28
6/12/2024 20:00,45.1
6/12/2024 21:00,43.6
6/12/2024 22:00,37.2
6/12/2024 23:00,5.13
6/13/2024 0:00,8.64
6/13/2024 1:00,33.1
6/13/2024 2:00,23.9
6/13/2024 3:00,0.885
6/13/2024 4:00,17
6/13/2024 5:00,3.29
6/13/2024 6:00,0.906
6/13/2024 7:00,0.323
6/13/2024 8:00,31.3
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
