Time,B65
6/6/2024 13:00,0.266
6/6/2024 14:00,0.459
6/6/2024 15:00,0.908
6/6/2024 16:00,25.8
6/6/2024 17:00,2.57
6/6/2024 18:00,8.25
6/6/2024 19:00,41.3
6/6/2024 20:00,45.9
6/6/2024 21:00,16.9
6/6/2024 22:00,38.4
6/6/2024 23:00,52.6
6/7/2024 0:00,38.5
6/7/2024 1:00,16.3
6/7/2024 2:00,13.2
6/7/2024 3:00,30.7
6/7/2024 4:00,10.5
6/7/2024 5:00,22.9
6/7/2024 6:00,0.387
6/7/2024 7:00,3.59
6/7/2024 8:00,3.66
6/7/2024 9:00,10.9
6/7/2024 10:00,1.32
6/7/2024 11:00,3.1
6/7/2024 12:00,3.59
6/7/2024 13:00,0.193
6/7/2024 14:00,0.155
6/7/2024 15:00,5.87
6/7/2024 16:00,16.5
6/7/2024 17:00,0.209
6/7/2024 18:00,9.5
6/7/2024 19:00,44.3
6/7/2024 20:00,54.5
6/7/2024 21:00,19.6
6/7/2024 22:00,47.2
6/7/2024 23:00,39
6/8/2024 0:00,2.88
6/8/2024 1:00,18.2
6/8/2024 2:00,9.13
6/8/2024 3:00,13
6/8/2024 4:00,3.39
6/8/2024 5:00,6.33
6/8/2024 6:00,1.6
6/8/2024 7:00,16.8
6/8/2024 8:00,0.354
6/8/2024 9:00,2.04
6/8/2024 10:00,0.0244
6/8/2024 11:00,1.13
6/8/2024 12:00,6.97
6/8/2024 13:00,0.535
6/8/2024 14:00,2
6/8/2024 15:00,7.24
6/8/2024 16:00,0.0244
6/8/2024 17:00,11.1
6/8/2024 18:00,3.65
6/8/2024 19:00,46
6/8/2024 20:00,35.7
6/8/2024 21:00,20.5
6/8/2024 22:00,15.8
6/8/2024 23:00,19.7
6/9/2024 0:00,5.24
6/9/2024 1:00,27.3
6/9/2024 2:00,0.0909
6/9/2024 3:00,3.34
6/9/2024 4:00,33.7
6/9/2024 5:00,0.626
6/9/2024 6:00,1.23
6/9/2024 7:00,1.7
6/9/2024 8:00,1.2
6/9/2024 9:00,2.05
6/9/2024 10:00,0.0244
6/9/2024 11:00,0.995
6/9/2024 12:00,1.39
6/9/2024 13:00,8.45
6/9/2024 14:00,0.56
6/9/2024 15:00,3.57
6/9/2024 16:00,1.18
6/9/2024 17:00,7.03
6/9/2024 18:00,2.16
6/9/2024 19:00,44.9
6/9/2024 20:00,48.1
6/9/2024 21:00,43.1
6/9/2024 22:00,28.8
6/9/2024 23:00,6.19
6/10/2024 0:00,7.02
6/10/2024 1:00,1.03
6/10/2024 2:00,5.27
6/10/2024 3:00,24.1
6/10/2024 4:00,0.345
6/10/2024 5:00,11.6
6/10/2024 6:00,3.56
6/10/2024 7:00,0.572
6/10/2024 8:00,0.95
6/10/2024 9:00,14.9
6/10/2024 10:00,0.0244
6/10/2024 11:00,1.16
6/10/2024 12:00,1.4
6/10/2024 13:00,2.25
6/10/2024 14:00,0.909
6/10/2024 15:00,32.2
6/10/2024 16:00,14.4
6/10/2024 17:00,0.901
6/10/2024 18:00,5.22
6/10/2024 19:00,53
6/10/2024 20:00,45.7
6/10/2024 21:00,0.843
6/10/2024 22:00,38.9
6/10/2024 23:00,8.93
6/11/2024 0:00,11.9
6/11/2024 1:00,2.8
6/11/2024 2:00,41.7
6/11/2024 3:00,9.55
6/11/2024 4:00,0.0411
6/11/2024 5:00,22.2
6/11/2024 6:00,1.4
6/11/2024 7:00,0.0244
6/11/2024 8:00,6.85
6/11/2024 9:00,0.0244
6/11/2024 10:00,1.32
6/11/2024 11:00,0.0955
6/11/2024 12:00,4.67
6/11/2024 13:00,0.0338
6/11/2024 14:00,0.0244
6/11/2024 15:00,8.38
6/11/2024 16:00,16.2
6/11/2024 17:00,0.492
6/11/2024 18:00,16.7
6/11/2024 19:00,38.5
6/11/2024 20:00,31.8
6/11/2024 21:00,4.22
6/11/2024 22:00,13.1
6/11/2024 23:00,3.32
6/12/2024 0:00,42.7
6/12/2024 1:00,2.62
6/12/2024 2:00,0.35
6/12/2024 3:00,10.8
6/12/2024 4:00,12.8
6/12/2024 5:00,0.759
6/12/2024 6:00,0.576
6/12/2024 7:00,7.97
6/12/2024 8:00,0.198
6/12/2024 9:00,8.54
6/12/2024 10:00,1.38
6/12/2024 11:00,0.236
6/12/2024 12:00,1.57
6/12/2024 13:00,4.83
6/12/2024 14:00,9.2
6/12/2024 15:00,0.424
6/12/2024 16:00,6
6/12/2024 17:00,1.71
6/12/2024 18:00,40.8
6/12/2024 19:00,16.4
6/12/2024 20:00,1.19
6/12/2024 21:00,25.2
6/12/2024 22:00,0.0244
6/12/2024 23:00,27.2
6/13/2024 0:00,0.595
6/13/2024 1:00,6.83
6/13/2024 2:00,4.01
6/13/2024 3:00,5.13
6/13/2024 4:00,0.614
6/13/2024 5:00,15.9
6/13/2024 6:00,8.88
6/13/2024 7:00,0.0691
6/13/2024 8:00,1.76
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
