Time,A04
6/6/2024 13:00,0.628
6/6/2024 14:00,2.99
6/6/2024 15:00,17.3
6/6/2024 16:00,41
6/6/2024 17:00,12.6
6/6/2024 18:00,10
6/6/2024 19:00,44.5
6/6/2024 20:00,61
6/6/2024 21:00,50
6/6/2024 22:00,17.6
6/6/2024 23:00,47.5
6/7/2024 0:00,44.2
6/7/2024 1:00,26.4
6/7/2024 2:00,10.9
6/7/2024 3:00,13.9
6/7/2024 4:00,6.51
6/7/2024 5:00,24.5
6/7/2024 6:00,13.9
6/7/2024 7:00,18.2
6/7/2024 8:00,3.56
6/7/2024 9:00,23.8
6/7/2024 10:00,1.46
6/7/2024 11:00,12.9
6/7/2024 12:00,0.581
6/7/2024 13:00,0.141
6/7/2024 14:00,1.63
6/7/2024 15:00,18.6
6/7/2024 16:00,31.4
6/7/2024 17:00,15.4
6/7/2024 18:00,16.3
6/7/2024 19:00,40.8
6/7/2024 20:00,50.3
6/7/2024 21:00,56.3
6/7/2024 22:00,14.5
6/7/2024 23:00,30.2
6/8/2024 0:00,54.1
6/8/2024 1:00,19.6
6/8/2024 2:00,33.6
6/8/2024 3:00,2.18
6/8/2024 4:00,15.4
6/8/2024 5:00,8.28
6/8/2024 6:00,5.8
6/8/2024 7:00,26.6
6/8/2024 8:00,8.3
6/8/2024 9:00,4.82
6/8/2024 10:00,4.69
6/8/2024 11:00,0.0479
6/8/2024 12:00,10.8
6/8/2024 13:00,0.409
6/8/2024 14:00,8.02
6/8/2024 15:00,24.8
6/8/2024 16:00,0.127
6/8/2024 17:00,23.9
6/8/2024 18:00,23.8
6/8/2024 19:00,22.5
6/8/2024 20:00,58.8
6/8/2024 21:00,42.4
6/8/2024 22:00,26
6/8/2024 23:00,0.901
6/9/2024 0:00,46.8
6/9/2024 1:00,41.8
6/9/2024 2:00,3.41
6/9/2024 3:00,33.4
6/9/2024 4:00,12.5
6/9/2024 5:00,3.92
6/9/2024 6:00,10.5
6/9/2024 7:00,3.39
6/9/2024 8:00,2.64
6/9/2024 9:00,8.34
6/9/2024 10:00,5.12
6/9/2024 11:00,9.01
6/9/2024 12:00,6.16
6/9/2024 13:00,11.1
6/9/2024 14:00,33.4
6/9/2024 15:00,4.5
6/9/2024 16:00,3.48
6/9/2024 17:00,4.08
6/9/2024 18:00,2.21
6/9/2024 19:00,29
6/9/2024 20:00,51.9
6/9/2024 21:00,46.7
6/9/2024 22:00,3.79
6/9/2024 23:00,35.4
6/10/2024 0:00,8.88
6/10/2024 1:00,36.2
6/10/2024 2:00,4.79
6/10/2024 3:00,3.39
6/10/2024 4:00,28.2
6/10/2024 5:00,0.654
6/10/2024 6:00,14.7
6/10/2024 7:00,0.0742
6/10/2024 8:00,4.03
6/10/2024 9:00,1.06
6/10/2024 10:00,0.0244
6/10/2024 11:00,15.9
6/10/2024 12:00,13.4
6/10/2024 13:00,0.456
6/10/2024 14:00,0.579
6/10/2024 15:00,25.4
6/10/2024 16:00,8.89
6/10/2024 17:00,1.4
6/10/2024 18:00,10.7
6/10/2024 19:00,27.3
6/10/2024 20:00,46.8
6/10/2024 21:00,30.6
6/10/2024 22:00,2.9
6/10/2024 23:00,20.8
6/11/2024 0:00,22.3
6/11/2024 1:00,4.52
6/11/2024 2:00,17.3
6/11/2024 3:00,4.45
6/11/2024 4:00,9.97
6/11/2024 5:00,8.85
6/11/2024 6:00,0.652
6/11/2024 7:00,11.4
6/11/2024 8:00,0.317
6/11/2024 9:00,4.94
6/11/2024 10:00,0.32
6/11/2024 11:00,0.0244
6/11/2024 12:00,3.45
6/11/2024 13:00,0.0244
6/11/2024 14:00,0.314
6/11/2024 15:00,4.39
6/11/2024 16:00,12.8
6/11/2024 17:00,0.217
6/11/2024 18:00,12.5
6/11/2024 19:00,34
6/11/2024 20:00,24.2
6/11/2024 21:00,13.8
6/11/2024 22:00,13.7
6/11/2024 23:00,40.9
6/12/2024 0:00,32.7
6/12/2024 1:00,2.87
6/12/2024 2:00,7.32
6/12/2024 3:00,7.43
6/12/2024 4:00,5.39
6/12/2024 5:00,2.97
6/12/2024 6:00,0.105
6/12/2024 7:00,13
6/12/2024 8:00,1.26
6/12/2024 9:00,1.6
6/12/2024 10:00,2.13
6/12/2024 11:00,0.237
6/12/2024 12:00,8.66
6/12/2024 13:00,18.9
6/12/2024 14:00,0.774
6/12/2024 15:00,12.5
6/12/2024 16:00,8.16
6/12/2024 17:00,0.678
6/12/2024 18:00,3.12
6/12/2024 19:00,1.19
6/12/2024 20:00,0.91
6/12/2024 21:00,6.56
6/12/2024 22:00,22.8
6/12/2024 23:00,8.15
6/13/2024 0:00,33
6/13/2024 1:00,8.62
6/13/2024 2:00,4.95
6/13/2024 3:00,10.1
6/13/2024 4:00,0.279
6/13/2024 5:00,9.07
6/13/2024 6:00,0.547
6/13/2024 7:00,0.0244
6/13/2024 8:00,22.6
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
