Time,56C
6/6/2024 13:00,0.0244
6/6/2024 14:00,5.97
6/6/2024 15:00,13.7
6/6/2024 16:00,17.9
6/6/2024 17:00,3.15
6/6/2024 18:00,10.6
6/6/2024 19:00,37.1
6/6/2024 20:00,37.2
6/6/2024 21:00,33
6/6/2024 22:00,20
6/6/2024 23:00,20.8
6/7/2024 0:00,40.8
6/7/2024 1:00,37.9
6/7/2024 2:00,1.58
6/7/2024 3:00,23
6/7/2024 4:00,11.5
6/7/2024 5:00,6.99
6/7/2024 6:00,9.06
6/7/2024 7:00,0.482
6/7/2024 8:00,1
6/7/2024 9:00,0.55
6/7/2024 10:00,9.21
6/7/2024 11:00,1.67
6/7/2024 12:00,2.94
6/7/2024 13:00,2.85
6/7/2024 14:00,0.962
6/7/2024 15:00,12.4
6/7/2024 16:00,47.8
6/7/2024 17:00,5.84
6/7/2024 18:00,12.8
6/7/2024 19:00,55.4
6/7/2024 20:00,54.3
6/7/2024 21:00,45
6/7/2024 22:00,23.9
6/7/2024 23:00,0.15
6/8/2024 0:00,33.2
6/8/2024 1:00,25.5
6/8/2024 2:00,0.802
6/8/2024 3:00,25.9
6/8/2024 4:00,9.31
6/8/2024 5:00,17.3
6/8/2024 6:00,6.43
6/8/2024 7:00,1.43
6/8/2024 8:00,4.31
6/8/2024 9:00,0.869
6/8/2024 10:00,3.06
6/8/2024 11:00,0.848
6/8/2024 12:00,12.5
6/8/2024 13:00,0.448
6/8/2024 14:00,2.8
6/8/2024 15:00,12.1
6/8/2024 16:00,2.92
6/8/2024 17:00,17
6/8/2024 18:00,7.24
6/8/2024 19:00,18.8
6/8/2024 20:00,56.4
6/8/2024 21:00,57.7
6/8/2024 22:00,43.8
6/8/2024 23:00,3.56
6/9/2024 0:00,44.4
6/9/2024 1:00,11.5
6/9/2024 2:00,25.1
6/9/2024 3:00,6.98
6/9/2024 4:00,21.3
6/9/2024 5:00,1.22
6/9/2024 6:00,8.29
6/9/2024 7:00,1.85
6/9/2024 8:00,0.792
6/9/2024 9:00,5.31
6/9/2024 10:00,3.97
6/9/2024 11:00,5.28
6/9/2024 12:00,4.97
6/9/2024 13:00,23.4
6/9/2024 14:00,7.17
6/9/2024 15:00,1.57
6/9/2024 16:00,0.411
6/9/2024 17:00,28.3
6/9/2024 18:00,19.5
6/9/2024 19:00,28.6
6/9/2024 20:00,47.6
6/9/2024 21:00,47.1
6/9/2024 22:00,40
6/9/2024 23:00,1.86
6/10/2024 0:00,17.5
6/10/2024 1:00,24.8
6/10/2024 2:00,12
6/10/2024 3:00,5.77
6/10/2024 4:00,5.24
6/10/2024 5:00,23.6
6/10/2024 6:00,0.494
6/10/2024 7:00,2.62
6/10/2024 8:00,7.66
6/10/2024 9:00,0.197
6/10/2024 10:00,2.88
6/10/2024 11:00,3.09
6/10/2024 12:00,4.3
6/10/2024 13:00,0.206
6/10/2024 14:00,0.778
6/10/2024 15:00,26.3
6/10/2024 16:00,0.425
6/10/2024 17:00,0.726
6/10/2024 18:00,19.6
6/10/2024 19:00,42
6/10/2024 20:00,53.3
6/10/2024 21:00,45.1
6/10/2024 22:00,9.44
6/10/2024 23:00,16.6
6/11/2024 0:00,12
6/11/2024 1:00,38.3
6/11/2024 2:00,0.292
6/11/2024 3:00,19.7
6/11/2024 4:00,13.8
6/11/2024 5:00,12.3
6/11/2024 6:00,9.08
6/11/2024 7:00,5.5
6/11/2024 8:00,18.2
6/11/2024 9:00,1.6
6/11/2024 10:00,4.33
6/11/2024 11:00,0.17
6/11/2024 12:00,8.9
6/11/2024 13:00,3.31
6/11/2024 14:00,1.59
6/11/2024 15:00,0.485
6/11/2024 16:00,28.1
6/11/2024 17:00,25.4
6/11/2024 18:00,9.9
6/11/2024 19:00,47.2
6/11/2024 20:00,52.7
6/11/2024 21:00,40.5
6/11/2024 22:00,40.6
6/11/2024 23:00,41.8
6/12/2024 0:00,9.76
6/12/2024 1:00,43.3
6/12/2024 2:00,3.88
6/12/2024 3:00,23.6
6/12/2024 4:00,14.5
6/12/2024 5:00,1.91
6/12/2024 6:00,16.1
6/12/2024 7:00,8.52
6/12/2024 8:00,11.5
6/12/2024 9:00,10.5
6/12/2024 10:00,0.194
6/12/2024 11:00,14.2
6/12/2024 12:00,1.86
6/12/2024 13:00,3.19
6/12/2024 14:00,25.6
6/12/2024 15:00,10.1
6/12/2024 16:00,15.5
6/12/2024 17:00,1.46
6/12/2024 18:00,27.6
6/12/2024 19:00,49.8
6/12/2024 20:00,11
6/12/2024 21:00,37.9
6/12/2024 22:00,43.7
6/12/2024 23:00,42.9
6/13/2024 0:00,4.23
6/13/2024 1:00,41.2
6/13/2024 2:00,10.4
6/13/2024 3:00,18.1
6/13/2024 4:00,13.8
6/13/2024 5:00,19.3
6/13/2024 6:00,6.3
6/13/2024 7:00,6.02
6/13/2024 8:00,15.8
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
