Time,A22
6/6/2024 13:00,0.0244
6/6/2024 14:00,0.0244
6/6/2024 15:00,10.7
6/6/2024 16:00,22.9
6/6/2024 17:00,1.98
6/6/2024 18:00,2.85
6/6/2024 19:00,19.4
6/6/2024 20:00,25.7
6/6/2024 21:00,23.2
6/6/2024 22:00,1.1
6/6/2024 23:00,15.1
6/7/2024 0:00,5.36
6/7/2024 1:00,0.0244
6/7/2024 2:00,7.36
6/7/2024 3:00,10
6/7/2024 4:00,4.6
6/7/2024 5:00,6.1
6/7/2024 6:00,0.0244
6/7/2024 7:00,1.6
6/7/2024 8:00,0.337
6/7/2024 9:00,0.936
6/7/2024 10:00,0.674
6/7/2024 11:00,0.747
6/7/2024 12:00,0.0244
6/7/2024 13:00,5.47
6/7/2024 14:00,0.0244
6/7/2024 15:00,0.378
6/7/2024 16:00,15.1
6/7/2024 17:00,10.6
6/7/2024 18:00,5.19
6/7/2024 19:00,35.6
6/7/2024 20:00,40.4
6/7/2024 21:00,30.6
6/7/2024 22:00,21.7
6/7/2024 23:00,3.22
6/8/2024 0:00,0.0244
6/8/2024 1:00,27.7
6/8/2024 2:00,2.99
6/8/2024 3:00,0.0244
6/8/2024 4:00,16.8
6/8/2024 5:00,0.0244
6/8/2024 6:00,8
6/8/2024 7:00,0.0244
6/8/2024 8:00,1.26
6/8/2024 9:00,0.467
6/8/2024 10:00,6.81
6/8/2024 11:00,0.305
6/8/2024 12:00,0.0244
6/8/2024 13:00,0.366
6/8/2024 14:00,9.42
6/8/2024 15:00,13.7
6/8/2024 16:00,1.9
6/8/2024 17:00,10.4
6/8/2024 18:00,19.7
6/8/2024 19:00,10.9
6/8/2024 20:00,39.6
6/8/2024 21:00,40.3
6/8/2024 22:00,32
6/8/2024 23:00,1.65
6/9/2024 0:00,27.6
6/9/2024 1:00,1.48
6/9/2024 2:00,12.1
6/9/2024 3:00,3.05
6/9/2024 4:00,0.292
6/9/2024 5:00,2.19
6/9/2024 6:00,0.0244
6/9/2024 7:00,1.72
6/9/2024 8:00,0.0244
6/9/2024 9:00,0.233
6/9/2024 10:00,0.0244
6/9/2024 11:00,6.47
6/9/2024 12:00,0.134
6/9/2024 13:00,3.06
6/9/2024 14:00,17.6
6/9/2024 15:00,22
6/9/2024 16:00,0.336
6/9/2024 17:00,0.535
6/9/2024 18:00,16
6/9/2024 19:00,20.2
6/9/2024 20:00,41.1
6/9/2024 21:00,44.1
6/9/2024 22:00,8.89
6/9/2024 23:00,0.0244
6/10/2024 0:00,25.8
6/10/2024 1:00,0.0244
6/10/2024 2:00,9.14
6/10/2024 3:00,0.48
6/10/2024 4:00,1.49
6/10/2024 5:00,0.295
6/10/2024 6:00,6.71
6/10/2024 7:00,0.0244
6/10/2024 8:00,4.32
6/10/2024 9:00,0.344
6/10/2024 10:00,0.235
6/10/2024 11:00,0.0244
6/10/2024 12:00,0.334
6/10/2024 13:00,3.67
6/10/2024 14:00,0.32
6/10/2024 15:00,36.3
6/10/2024 16:00,24.9
6/10/2024 17:00,0.503
6/10/2024 18:00,12.9
6/10/2024 19:00,22.3
6/10/2024 20:00,34.6
6/10/2024 21:00,37.6
6/10/2024 22:00,9.91
6/10/2024 23:00,2.56
6/11/2024 0:00,17.9
6/11/2024 1:00,0.0244
6/11/2024 2:00,13.8
6/11/2024 3:00,0.0244
6/11/2024 4:00,4.94
6/11/2024 5:00,0.332
6/11/2024 6:00,0.79
6/11/2024 7:00,0.0244
6/11/2024 8:00,5.3
6/11/2024 9:00,0.963
6/11/2024 10:00,0.22
6/11/2024 11:00,0.855
6/11/2024 12:00,0.0244
6/11/2024 13:00,5.29
6/11/2024 14:00,0.383
6/11/2024 15:00,1.75
6/11/2024 16:00,29.6
6/11/2024 17:00,5.96
6/11/2024 18:00,11.7
6/11/2024 19:00,19.4
6/11/2024 20:00,42.5
6/11/2024 21:00,36.4
6/11/2024 22:00,0.403
6/11/2024 23:00,24.9
6/12/2024 0:00,10.5
6/12/2024 1:00,2.49
6/12/2024 2:00,5.97
6/12/2024 3:00,0.0695
6/12/2024 4:00,1.85
6/12/2024 5:00,0.0244
6/12/2024 6:00,11
6/12/2024 7:00,0.0244
6/12/2024 8:00,0.0244
6/12/2024 9:00,2.71
6/12/2024 10:00,0.0244
6/12/2024 11:00,10.2
6/12/2024 12:00,0.969
6/12/2024 13:00,6.28
6/12/2024 14:00,10.8
6/12/2024 15:00,2.95
6/12/2024 16:00,39.3
6/12/2024 17:00,2.67
6/12/2024 18:00,0.426
6/12/2024 19:00,15.7
6/12/2024 20:00,5.73
6/12/2024 21:00,29.5
6/12/2024 22:00,34.3
6/12/2024 23:00,0.496
6/13/2024 0:00,8.46
6/13/2024 1:00,2.69
6/13/2024 2:00,2.26
6/13/2024 3:00,0.95
6/13/2024 4:00,0.36
6/13/2024 5:00,0.0244
6/13/2024 6:00,0.437
6/13/2024 7:00,0.2
6/13/2024 8:00,0.0244
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
