Time,50E
6/6/2024 13:00,0.0244
6/6/2024 14:00,0.469
6/6/2024 15:00,1.16
6/6/2024 16:00,12.3
6/6/2024 17:00,1.24
6/6/2024 18:00,4.64
6/6/2024 19:00,16.9
6/6/2024 20:00,14.8
6/6/2024 21:00,23.5
6/6/2024 22:00,15.2
6/6/2024 23:00,0.703
6/7/2024 0:00,1.86
6/7/2024 1:00,7.4
6/7/2024 2:00,14.2
6/7/2024 3:00,1.86
6/7/2024 4:00,0.377
6/7/2024 5:00,3.54
6/7/2024 6:00,1.16
6/7/2024 7:00,0.921
6/7/2024 8:00,0.71
6/7/2024 9:00,1.25
6/7/2024 10:00,0.0882
6/7/2024 11:00,0.665
6/7/2024 12:00,0.51
6/7/2024 13:00,0.199
6/7/2024 14:00,1.35
6/7/2024 15:00,0.152
6/7/2024 16:00,6.79
6/7/2024 17:00,0.872
6/7/2024 18:00,0.25
6/7/2024 19:00,17.6
6/7/2024 20:00,17.4
6/7/2024 21:00,19.4
6/7/2024 22:00,4.55
6/7/2024 23:00,3.15
6/8/2024 0:00,0.26
6/8/2024 1:00,18.9
6/8/2024 2:00,1.64
6/8/2024 3:00,0.463
6/8/2024 4:00,0.658
6/8/2024 5:00,5.9
6/8/2024 6:00,4.13
6/8/2024 7:00,1.37
6/8/2024 8:00,0.708
6/8/2024 9:00,0.665
6/8/2024 10:00,0.189
6/8/2024 11:00,0.377
6/8/2024 12:00,3.44
6/8/2024 13:00,4.81
6/8/2024 14:00,1.2
6/8/2024 15:00,4.32
6/8/2024 16:00,0.43
6/8/2024 17:00,0.827
6/8/2024 18:00,1.24
6/8/2024 19:00,3.35
6/8/2024 20:00,10.8
6/8/2024 21:00,1.58
6/8/2024 22:00,7.55
6/8/2024 23:00,1.21
6/9/2024 0:00,0.533
6/9/2024 1:00,1.99
6/9/2024 2:00,4.16
6/9/2024 3:00,0.131
6/9/2024 4:00,0.0244
6/9/2024 5:00,0.0244
6/9/2024 6:00,0.0244
6/9/2024 7:00,0.0244
6/9/2024 8:00,0.0244
6/9/2024 9:00,0.0244
6/9/2024 10:00,0.0244
6/9/2024 11:00,8.5
6/9/2024 12:00,0.315
6/9/2024 13:00,0.475
6/9/2024 14:00,0.307
6/9/2024 15:00,0.725
6/9/2024 16:00,0.925
6/9/2024 17:00,0.406
6/9/2024 18:00,0.659
6/9/2024 19:00,8.73
6/9/2024 20:00,6.83
6/9/2024 21:00,1.13
6/9/2024 22:00,9.12
6/9/2024 23:00,18.5
6/10/2024 0:00,12.7
6/10/2024 1:00,0.931
6/10/2024 2:00,2.06
6/10/2024 3:00,0.1
6/10/2024 4:00,0.757
6/10/2024 5:00,3.1
6/10/2024 6:00,0.0244
6/10/2024 7:00,0.367
6/10/2024 8:00,0.273
6/10/2024 9:00,4.82
6/10/2024 10:00,0.0244
6/10/2024 11:00,0.164
6/10/2024 12:00,0.301
6/10/2024 13:00,0.651
6/10/2024 14:00,1.08
6/10/2024 15:00,13.6
6/10/2024 16:00,2.54
6/10/2024 17:00,1.74
6/10/2024 18:00,15.4
6/10/2024 19:00,4.62
6/10/2024 20:00,17.4
6/10/2024 21:00,0.188
6/10/2024 22:00,15.1
6/10/2024 23:00,2.02
6/11/2024 0:00,0.0244
6/11/2024 1:00,10
6/11/2024 2:00,11.3
6/11/2024 3:00,0.0244
6/11/2024 4:00,0.0244
6/11/2024 5:00,0.0244
6/11/2024 6:00,0.0244
6/11/2024 7:00,0.0244
6/11/2024 8:00,0.0244
6/11/2024 9:00,0.0244
6/11/2024 10:00,0.0244
6/11/2024 11:00,0.0244
6/11/2024 12:00,0.0244
6/11/2024 13:00,1.4
6/11/2024 14:00,0.105
6/11/2024 15:00,1.88
6/11/2024 16:00,15.8
6/11/2024 17:00,7.55
6/11/2024 18:00,10.7
6/11/2024 19:00,7.53
6/11/2024 20:00,41.3
6/11/2024 21:00,26.2
6/11/2024 22:00,2.75
6/11/2024 23:00,5.84
6/12/2024 0:00,4.1
6/12/2024 1:00,0.55
6/12/2024 2:00,15.3
6/12/2024 3:00,0.694
6/12/2024 4:00,0.982
6/12/2024 5:00,16.8
6/12/2024 6:00,1.14
6/12/2024 7:00,6.08
6/12/2024 8:00,0.752
6/12/2024 9:00,16.6
6/12/2024 10:00,0.0244
6/12/2024 11:00,0.481
6/12/2024 12:00,1.11
6/12/2024 13:00,3.12
6/12/2024 14:00,12.2
6/12/2024 15:00,2.36
6/12/2024 16:00,13.8
6/12/2024 17:00,8.68
6/12/2024 18:00,22.9
6/12/2024 19:00,9.83
6/12/2024 20:00,0.722
6/12/2024 21:00,6.27
6/12/2024 22:00,6.64
6/12/2024 23:00,16.5
6/13/2024 0:00,20.4
6/13/2024 1:00,1.86
6/13/2024 2:00,4.79
6/13/2024 3:00,0.721
6/13/2024 4:00,7.81
6/13/2024 5:00,0.373
6/13/2024 6:00,1.26
6/13/2024 7:00,10.5
6/13/2024 8:00,2.07
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
