,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
0,3/31/2021 18:03,1.4.2,FR1,3,4.17,1,1,Right,Left,0,1,0,0,,0.38
1,3/31/2021 18:03,1.4.2,FR1,3,4.17,1,1,Left,Left,1,1,0,0,,0.27
2,3/31/2021 18:03,1.4.2,FR1,3,4.17,3,1,Pellet,Left,1,1,1,0,1.13,
3,3/31/2021 18:03,1.4.2,FR1,3,4.17,1,1,Left,Left,2,1,1,0,,0.03
4,3/31/2021 18:03,1.4.2,FR1,3,4.17,2,1,Pellet,Left,2,1,2,0,0.69,
5,3/31/2021 18:04,1.4.2,FR1,3,4.17,1,1,Left,Left,3,1,2,0,,0.03
6,3/31/2021 18:09,1.4.2,FR1,3,4.17,2,1,Pellet,Left,3,1,3,0,Timed_out,
7,3/31/2021 18:09,1.4.2,FR1,3,4.17,1,1,Left,Left,4,1,3,0,,0
8,3/31/2021 18:09,1.4.2,FR1,3,4.17,2,1,Pellet,Left,4,1,4,0,0.19,
9,3/31/2021 18:11,1.4.2,FR1,3,4.17,1,1,Left,Left,5,1,4,0,,0.59
10,3/31/2021 18:13,1.4.2,FR1,3,4.17,1,1,Pellet,Left,5,1,5,0,Timed_out,
11,3/31/2021 18:16,1.4.2,FR1,3,4.17,1,1,Right,Left,5,2,5,0,,0.32
12,3/31/2021 18:18,1.4.2,FR1,3,4.18,1,1,Left,Left,6,2,5,0,,0.23
13,3/31/2021 18:18,1.4.2,FR1,3,4.18,1,1,Pellet,Left,6,2,6,0,1.07,
14,3/31/2021 18:19,1.4.2,FR1,3,4.17,1,1,Left,Left,7,2,6,0,,0
15,3/31/2021 18:21,1.4.2,FR1,3,4.17,1,1,Pellet,Left,7,2,7,0,Timed_out,
16,3/31/2021 18:21,1.4.2,FR1,3,4.16,1,1,Right,Left,7,3,7,0,,0.11
17,3/31/2021 18:29,1.4.2,FR1,3,4.17,1,1,Left,Left,8,3,7,0,,0.35
18,3/31/2021 18:29,1.4.2,FR1,3,4.17,1,1,Pellet,Left,8,3,8,0,0.31,
19,3/31/2021 18:30,1.4.2,FR1,3,4.16,1,1,Right,Left,8,4,8,0,,0.48
20,3/31/2021 18:30,1.4.2,FR1,3,4.17,1,1,Left,Left,9,4,8,0,,0.08
21,3/31/2021 18:30,1.4.2,FR1,3,4.17,1,1,Pellet,Left,9,4,9,0,4.68,
22,3/31/2021 18:31,1.4.2,FR1,3,4.16,1,1,Left,Left,10,4,9,0,,0.4
23,3/31/2021 18:31,1.4.2,FR1,3,4.16,2,1,Pellet,Left,10,4,10,0,12.72,
24,3/31/2021 18:31,1.4.2,FR1,3,4.16,1,1,Left,Left,11,4,10,0,,0
25,3/31/2021 18:31,1.4.2,FR1,3,4.16,1,1,Pellet,Left,11,4,11,0,2.39,
26,3/31/2021 18:31,1.4.2,FR1,3,4.16,1,1,Right,Left,11,5,11,0,,0.4
27,3/31/2021 18:31,1.4.2,FR1,3,4.17,1,1,Right,Left,11,6,11,0,,0.25
28,3/31/2021 18:35,1.4.2,FR1,3,4.17,1,1,Left,Left,12,6,11,0,,0
29,3/31/2021 19:01,1.4.2,FR1,3,4.16,1,1,Pellet,Left,12,6,12,0,Timed_out,
30,3/31/2021 19:02,1.4.2,FR1,3,4.16,1,1,Left,Left,13,6,12,0,,0.03
31,3/31/2021 19:02,1.4.2,FR1,3,4.16,1,1,Pellet,Left,13,6,13,0,0.75,
32,3/31/2021 19:05,1.4.2,FR1,3,4.16,1,1,Left,Left,14,6,13,0,,0.05
33,3/31/2021 19:05,1.4.2,FR1,3,4.16,2,1,Pellet,Left,14,6,14,0,15.14,
34,3/31/2021 19:06,1.4.2,FR1,3,4.16,1,1,Left,Left,15,6,14,0,,0.24
35,3/31/2021 19:06,1.4.2,FR1,3,4.16,1,1,Pellet,Left,15,6,15,0,0.82,
36,3/31/2021 19:06,1.4.2,FR1,3,4.16,1,1,Right,Left,15,7,15,0,,0.16
37,3/31/2021 19:06,1.4.2,FR1,3,4.16,1,1,Right,Left,15,8,15,0,,0.01
38,3/31/2021 19:06,1.4.2,FR1,3,4.16,1,1,Right,Left,15,9,15,0,,0.22
39,3/31/2021 19:09,1.4.2,FR1,3,4.16,1,1,Left,Left,16,9,15,0,,0.3
40,3/31/2021 19:09,1.4.2,FR1,3,4.16,1,1,Pellet,Left,16,9,16,0,1.07,
41,3/31/2021 19:11,1.4.2,FR1,3,4.16,1,1,Right,Left,16,10,16,0,,0.96
42,3/31/2021 19:11,1.4.2,FR1,3,4.16,1,1,Left,Left,17,10,16,0,,0.36
43,3/31/2021 19:11,1.4.2,FR1,3,4.16,2,1,Pellet,Left,17,10,17,0,9.49,
44,3/31/2021 19:11,1.4.2,FR1,3,4.16,1,1,Right,Left,17,11,17,0,,0.07
45,3/31/2021 19:11,1.4.2,FR1,3,4.16,1,1,Right,Left,17,12,17,0,,0.36
46,3/31/2021 19:11,1.4.2,FR1,3,4.16,1,1,Left,Left,18,12,17,0,,0.17
47,3/31/2021 19:12,1.4.2,FR1,3,4.16,1,1,Pellet,Left,18,12,18,0,22.5,
48,3/31/2021 19:25,1.4.2,FR1,3,4.16,1,1,Left,Left,19,12,18,0,,0.09
49,3/31/2021 19:25,1.4.2,FR1,3,4.16,1,1,Pellet,Left,19,12,19,0,0.69,
50,3/31/2021 19:26,1.4.2,FR1,3,4.16,1,1,Left,Left,20,12,19,0,,0
51,3/31/2021 19:26,1.4.2,FR1,3,4.16,1,1,Pellet,Left,20,12,20,0,0.94,
52,3/31/2021 19:29,1.4.2,FR1,3,4.16,1,1,Left,Left,21,12,20,0,,0.09
53,3/31/2021 19:29,1.4.2,FR1,3,4.16,1,1,Pellet,Left,21,12,21,0,2.59,
54,3/31/2021 19:29,1.4.2,FR1,3,4.16,1,1,Right,Left,21,13,21,0,,0.05
55,3/31/2021 19:29,1.4.2,FR1,3,4.16,1,1,Left,Left,22,13,21,0,,0
56,3/31/2021 19:32,1.4.2,FR1,3,4.16,1,1,Pellet,Left,22,13,22,0,Timed_out,
57,3/31/2021 19:34,1.4.2,FR1,3,4.16,1,1,Left,Left,23,13,22,0,,0
58,3/31/2021 19:34,1.4.2,FR1,3,4.16,3,1,Pellet,Left,23,13,23,0,3.6,
59,3/31/2021 19:38,1.4.2,FR1,3,4.15,1,1,Left,Left,24,13,23,0,,0.36
60,3/31/2021 19:38,1.4.2,FR1,3,4.15,1,1,Pellet,Left,24,13,24,0,18.7,
61,3/31/2021 19:38,1.4.2,FR1,3,4.16,1,1,Left,Left,25,13,24,0,,0.11
62,3/31/2021 19:38,1.4.2,FR1,3,4.16,1,1,Pellet,Left,25,13,25,0,0.44,
63,3/31/2021 19:40,1.4.2,FR1,3,4.15,1,1,Right,Left,25,14,25,0,,0.16
64,3/31/2021 19:40,1.4.2,FR1,3,4.16,1,1,Left,Left,26,14,25,0,,0.09
65,3/31/2021 19:40,1.4.2,FR1,3,4.16,1,1,Pellet,Left,26,14,26,0,0.56,
66,3/31/2021 19:45,1.4.2,FR1,3,4.15,1,1,Left,Left,27,14,26,0,,0.14
67,3/31/2021 19:46,1.4.2,FR1,3,4.15,1,1,Pellet,Left,27,14,27,0,38.29,
68,3/31/2021 19:47,1.4.2,FR1,3,4.16,1,1,Right,Left,27,15,27,0,,0.01
69,3/31/2021 19:51,1.4.2,FR1,3,4.16,1,1,Left,Left,28,15,27,0,,0
70,3/31/2021 19:51,1.4.2,FR1,3,4.16,1,1,Pellet,Left,28,15,28,0,2.59,
71,3/31/2021 19:51,1.4.2,FR1,3,4.15,1,1,Right,Left,28,16,28,0,,0.23
72,3/31/2021 19:53,1.4.2,FR1,3,4.16,1,1,Left,Left,29,16,28,0,,0.01
73,3/31/2021 19:53,1.4.2,FR1,3,4.16,1,1,Pellet,Left,29,16,29,0,1.07,
74,3/31/2021 19:53,1.4.2,FR1,3,4.15,1,1,Left,Left,30,16,29,0,,0
75,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Pellet,Left,30,16,30,0,Timed_out,
76,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Left,Left,31,16,30,0,,0
77,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Pellet,Left,31,16,31,0,0.69,
78,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Left,Left,32,16,31,0,,0.14
79,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Pellet,Left,32,16,32,0,2.71,
80,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Left,Left,33,16,32,0,,0.41
81,3/31/2021 19:55,1.4.2,FR1,3,4.15,1,1,Pellet,Left,33,16,33,0,0.37,
82,3/31/2021 19:56,1.4.2,FR1,3,4.15,1,1,Left,Left,34,16,33,0,,0.15
