MM:DD:YYYY hh:mm:ss,Library_Version,Prob_left,Prob_right,Battery_Voltage,Motor_Turns,PelletsToSwitch,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Session_type,Device_Number
2023-02-18 16:49:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,11,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:49:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,11,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:49:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,11,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:49:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,11,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:49:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,11,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:50:00,1.17.0,20,80,4.18,,30,Left,Right,12,5,5,5,,,0.1,,,,,Bandit,C:\Use
2023-02-18 16:50:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,12,5,5,5,,,0.06,,,,,Bandit,C:\Use
2023-02-18 16:51:00,1.17.0,20,80,4.18,,30,Left,Right,13,5,5,5,,,0.34,,,,,Bandit,C:\Use
2023-02-18 16:51:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,13,5,5,5,,,0.05,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.2,,30,Left,Right,14,5,5,5,,,0.27,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,14,5,5,5,,,0.22,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,14,5,5,5,,,0.1,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,14,5,5,5,,,0.5,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,14,5,5,5,,,0.46,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,14,5,5,5,,,0.55,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,14,5,5,5,,,0.8,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,14,5,5,5,,,0.52,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,14,5,5,5,,,0.56,,,,,Bandit,C:\Use
2023-02-18 16:54:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,14,5,5,5,,,0.14,,,,,Bandit,C:\Use
2023-02-18 16:55:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:55:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:55:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,14,5,5,5,,,,,,,,Bandit,C:\Use
2023-02-18 16:56:00,1.17.0,20,80,4.18,,30,Right,Right,14,6,5,5,,,0.26,,,,,Bandit,C:\Use
2023-02-18 16:56:00,1.17.0,20,80,4.19,1.0,30,Pellet,Right,14,6,6,5,1.39,552.0,,,,,,Bandit,C:\Use
2023-02-18 16:56:00,1.17.0,20,80,4.19,,30,Left,Right,15,6,6,6,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:56:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,15,6,7,6,1.58,33.0,,,,,,Bandit,C:\Use
2023-02-18 16:57:00,1.17.0,20,80,4.19,,30,Left,Right,16,6,7,7,,,0.3,,,,,Bandit,C:\Use
2023-02-18 16:57:00,1.17.0,20,80,4.19,,30,Right,Right,16,7,7,7,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:57:00,1.17.0,20,80,4.19,1.0,30,Pellet,Right,16,7,8,7,0.31,62.0,,,,,,Bandit,C:\Use
2023-02-18 16:58:00,1.17.0,20,80,4.19,,30,Left,Right,17,7,8,8,,,0.17,,,,,Bandit,C:\Use
2023-02-18 16:58:00,1.17.0,20,80,4.18,,30,Right,Right,17,8,8,8,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:59:00,1.17.0,20,80,4.19,1.0,30,Pellet,Right,17,8,9,8,0.31,67.0,,,,,,Bandit,C:\Use
2023-02-18 16:59:00,1.17.0,20,80,4.19,,30,Left,Right,18,8,9,9,,,0.12,,,,,Bandit,C:\Use
2023-02-18 16:59:00,1.17.0,20,80,4.18,,30,Left,Right,19,8,9,9,,,0.34,,,,,Bandit,C:\Use
2023-02-18 16:59:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,19,8,9,9,,,0.65,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,Left,Right,20,8,9,9,,,0.21,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.54,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.36,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.64,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,20,8,9,9,,,0.39,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.58,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.44,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.47,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.58,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.24,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.19,,30,RightinTimeout,Right,20,8,9,9,,,0.63,,,,,Bandit,C:\Use
2023-02-18 17:00:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.36,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,20,8,9,9,,,0.02,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,20,8,9,9,,,,,,,,Bandit,C:\Use
2023-02-18 17:01:00,1.17.0,20,80,4.18,,30,Left,Right,21,8,9,9,,,0.17,,,,,Bandit,C:\Use
2023-02-18 17:08:00,1.17.0,20,80,4.19,,30,Left,Right,22,8,9,9,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:08:00,1.17.0,20,80,4.19,1.0,30,Pellet,Right,22,8,10,9,1.26,590.0,,,,,,Bandit,C:\Use
2023-02-18 17:09:00,1.17.0,20,80,4.18,,30,Left,Right,23,8,10,10,,,0.27,,,,,Bandit,C:\Use
2023-02-18 17:09:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,23,8,10,10,,,,,,,,Bandit,C:\Use
2023-02-18 17:09:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,23,8,10,10,,,,,,,,Bandit,C:\Use
2023-02-18 17:09:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,23,8,10,10,,,,,,,,Bandit,C:\Use
2023-02-18 17:10:00,1.17.0,20,80,4.17,,30,Left,Right,24,8,10,10,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:11:00,1.17.0,20,80,4.18,,30,Left,Right,25,8,10,10,,,0.03,,,,,Bandit,C:\Use
2023-02-18 17:11:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,25,8,11,10,0.88,176.0,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.18,,30,Left,Right,26,8,11,11,,,0.26,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,26,8,11,11,,,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,26,8,11,11,,,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,26,8,11,11,,,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,26,8,11,11,,,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,26,8,11,11,,,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,26,8,11,11,,,,,,,,Bandit,C:\Use
2023-02-18 17:12:00,1.17.0,20,80,4.18,,30,RightinTimeout,Right,26,8,11,11,,,0.13,,,,,Bandit,C:\Use
2023-02-18 17:13:00,1.17.0,20,80,4.18,,30,Left,Right,27,8,11,11,,,0.28,,,,,Bandit,C:\Use
2023-02-18 17:13:00,1.17.0,20,80,4.18,,30,Right,Right,27,9,11,11,,,0.06,,,,,Bandit,C:\Use
2023-02-18 17:13:00,1.17.0,20,80,4.18,2.0,30,Pellet,Right,27,9,12,11,0.06,101.0,,,,,,Bandit,C:\Use
2023-02-18 17:14:00,1.17.0,20,80,4.19,,30,Left,Right,28,9,12,12,,,0.14,,,,,Bandit,C:\Use
2023-02-18 17:14:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,9,13,12,0.19,36.0,,,,,,Bandit,C:\Use
2023-02-18 17:14:00,1.17.0,20,80,4.18,,30,Right,Right,28,10,13,13,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:14:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,10,14,13,0.12,30.0,,,,,,Bandit,C:\Use
2023-02-18 17:14:00,1.17.0,20,80,4.18,,30,Right,Right,28,11,14,14,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:15:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,11,15,14,0.63,26.0,,,,,,Bandit,C:\Use
2023-02-18 17:15:00,1.17.0,20,80,4.18,,30,Right,Right,28,12,15,15,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:15:00,1.17.0,20,80,4.18,2.0,30,Pellet,Right,28,12,16,15,0.12,28.0,,,,,,Bandit,C:\Use
2023-02-18 17:15:00,1.17.0,20,80,4.18,,30,Right,Right,28,13,16,16,,,0.38,,,,,Bandit,C:\Use
2023-02-18 17:15:00,1.17.0,20,80,4.19,2.0,30,Pellet,Right,28,13,17,16,0.25,19.0,,,,,,Bandit,C:\Use
