Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
0,2021-04-14 14:53:21,1.4.2,FR1_Rev,3,3.84,1,1,Left,Left,1,0,0,0,,0.12
1,2021-04-14 14:53:25,1.4.2,FR1_Rev,3,3.84,2,1,Pellet,Left,1,0,1,0,0.75,
2,2021-04-14 14:54:15,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,2,0,1,0,,0.03
3,2021-04-14 14:54:39,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,2,0,2,0,22.63,
4,2021-04-14 14:54:51,1.4.2,FR1_Rev,3,3.83,1,1,Right,Left,2,1,2,0,,0.12
5,2021-04-14 14:55:22,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,3,1,2,0,,0.2
6,2021-04-14 14:55:24,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,3,1,3,0,0.37,
7,2021-04-14 14:55:48,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,4,1,3,0,,0.02
8,2021-04-14 14:55:51,1.4.2,FR1_Rev,3,3.83,2,1,Pellet,Left,4,1,4,0,0.50,
9,2021-04-14 14:56:16,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,5,1,4,0,,0.23
10,2021-04-14 14:56:19,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,5,1,5,0,1.13,
11,2021-04-14 14:56:46,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,6,1,5,0,,0.13
12,2021-04-14 14:56:48,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,6,1,6,0,0.25,
13,2021-04-14 14:57:20,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,7,1,6,0,,0.31
14,2021-04-14 14:57:22,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,7,1,7,0,0.25,
15,2021-04-14 14:58:03,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,8,1,7,0,,0.0
16,2021-04-14 14:58:04,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,8,1,8,0,0.44,
17,2021-04-14 14:58:36,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,9,1,8,0,,0.22
18,2021-04-14 14:58:37,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,9,1,9,0,0.31,
19,2021-04-14 15:00:58,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,10,1,9,0,,0.14
20,2021-04-14 15:00:59,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,10,1,10,0,0.44,
21,2021-04-14 15:01:35,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,11,1,10,0,,0.12
22,2021-04-14 15:01:36,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,11,1,11,0,0.37,
23,2021-04-14 15:02:54,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,12,1,11,0,,0.13
24,2021-04-14 15:02:55,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,12,1,12,0,0.44,
25,2021-04-14 15:04:01,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,13,1,12,0,,0.17
26,2021-04-14 15:04:02,1.4.2,FR1_Rev,3,3.83,1,1,Pellet,Left,13,1,13,0,0.25,
27,2021-04-14 15:04:40,1.4.2,FR1_Rev,3,3.83,1,1,Left,Left,14,1,13,0,,0.46
