F_Halo1_V1_FED001_050423_00,F_Halo1_V1_FED002_050423_00,F_Halo1_V1_FED003_050323_00,F_Halo1_V1_FED004_050323_00,F_Halo2_V1_FED001_011824_00,F_Halo2_V1_FED002_011724_00,F_Halo3_V1_FED006_020824_00,F_Halo3_V1_FED007_020724_00,F_Halo3_V1_FED008_020824_00,F_Halo3_V1_FED009_020724_00,F_Halo3_V1_FED010_020824_00,M_Halo1_V1_FED007_050423_00,M_Halo1_V1_FED008_050323_00,M_Halo2_V1_FED003_011824_00,M_Halo2_V1_FED004_011724_00,M_Halo2_V1_FED006_011924_02,M_Halo3_V1_FED002_020824_00,M_Halo3_V1_FED003_020724_00
6,31,12,10,8,24,8,7,31,1,1,29,30,35,8,20,1,8
13,,24,22,17,6,28,29,18,15,15,,,,14,30,1,18
11,,,,,6,,,,24,23,,,,13,13,9,9
9,,,,,,,,,,9,,,,12,18,22,7
,,,,,,,,,,11,,,,,,12,6
,,,,,,,,,,,,,,,,9,7
