ID,TimePoint,Group,Sex,Weight
datc72f1 ,Null,VEH,M,24.2
datc72f2,Null,VEH,M,23.6
d1tomc147m1,Null,VEH,M,25.9
d1tomc143f2,Null,VEH,F,21.6
d1tomc143f4,Null,VEH,F,21.1
d1tomc147m3,Null,VEH,F,25.3
datc72f1b ,Null,HAL,M,24.72
datc72f2b,Null,HAL,M,25.6
d1tomc147m1b,Null,HAL,M,25.03
d1tomc143f2b,Null,HAL,F,19.14
d1tomc143f4b,Null,HAL,F,22.97
d1tomc147m3b,Null,HAL,F,22.97
J1 (male) VEH,Null,VEH,M,29.4
J2 (male) VEH,Null,VEH,M,28.0
J5 (female) VEH,Null,VEH,F,21.0
J6 (female) VEH,Null,VEH,F,21.0
J3 (male) HALO,Null,HAL,M,30.5
J4 (male) HALO,Null,HAL,M,27.8
J7 (female) HALO,Null,HAL,F,20.5
J8 (female) HALO,Null,HAL,F,23.2
J1 (male) HALO,Null,HAL,M,29.6
J2 (male) HALO,Null,HAL,M,28.5
J5 (female) HALO*,Null,HAL,F,21.0
J6 (female) HALO,Null,HAL,F,21.6
J3 (male) VEH,Null,VEH,M,30.3
J4 (male) VEH,Null,VEH,M,27.6
J7 (female) VEH,Null,VEH,F,20.0
J8 (female) VEH,Null,VEH,F,22.3
YHC1,Null,VEH,M,24.21
YHC2,Null,VEH,F,23.57
YHC3,Null,HAL,M,23.99
YHC4,Null,HAL,F,25.76
YHC5,Null,VEH,F,21.63
YHC6,Null,HAL,F,21.13
YHC7,Null,VEH,M,25.88
YHC8,Null,HAL,M,25.3
YHC9,Null,VEH,F,21.72
YHC10,Null,HAL,F,21.66
YHC11,Null,VEH,M,25.26
YHC12,Null,HAL,M,24.81
