TimestampRaw_Bonsai,ROI,Ypos,Xpos,Event,Timestamp_Bonsai,Speed,ToneStart_Bonsai,PelletGrab_Bonsai,Xscaled,Yscaled
56270.5091456,False,303.942871,542.061951,False,0.0,0.0,0,0,16.940644705071126,9.162310378138132
56271.0154112,False,,,False,0.5062656000009156,,0,0,,
56271.5096064,False,,,False,1.000460800001747,,0,0,,
56272.006784,False,,,False,1.4976383999965037,,0,0,,
56272.5188992,False,,,False,2.009753599995747,,0,0,,
56273.0161024,False,,,False,2.50695679999626,,0,0,,
56273.50976,False,,,False,3.000614399999904,,0,0,,
56274.007872,False,,,False,3.4987264000010327,,0,0,,
56274.519488,False,,,False,4.010342399997171,,0,0,,
56275.0145664,False,,,False,4.505420800000138,,0,0,,
56275.5113728,False,,,False,5.002227199998742,,0,0,,
56276.0082176,False,,,False,5.499071999998705,,0,0,,
56276.5194496,False,,,False,6.010303999995813,,0,0,,
56277.0163968,False,,,False,6.507251199996972,,0,0,,
56277.5124864,False,,,False,7.003340800001752,,0,0,,
56278.0092288,False,,,False,7.5000832000005175,,0,0,,
56278.1360384,False,,,False,7.626892799999041,,0,0,,
56278.1681792,False,78.0274811,182.024002,False,7.659033600000839,,0,0,5.326176331336731,1.8745031944197703
56278.2010368,False,90.4760818,133.583435,False,7.691891199996462,1522.161076691056,0,0,3.763531518505453,2.2760827488222364
56278.2489728,False,77.821846,149.820557,False,7.739827199999127,429.4427419748564,0,0,4.287325025476761,1.8678696093432154
56278.2814592,False,77.7437592,147.477493,False,7.772313599998597,72.16450053252797,0,0,4.211740096717945,1.8653506063560996
56278.3133952,False,75.0014496,150.076355,False,7.804249599998002,118.30349762060465,0,0,4.295576816126376,1.7768864091550756
56278.3453312,False,90.8774796,128.168137,False,7.836185599997407,847.1893014581227,0,0,3.5888393574984274,2.2890314451092117
56278.3771776,False,81.57724,163.573776,False,7.868031999998493,1149.4782555474321,0,0,4.730990276754324,1.9890149079570347
56278.4094336,False,89.5593567,165.15419,False,7.90028799999709,252.26529068146093,0,0,4.781972870315334,2.246510103186044
56278.4418688,False,102.527542,162.931458,False,7.9327231999996,405.64859533404,0,0,4.710269732940536,2.6648509432278176
56278.4731264,False,119.104965,164.846207,False,7.963980799999263,533.8745346066862,0,0,4.772037643145301,3.1996222241060934
56278.5220992,False,142.473053,163.685745,False,8.01295360000222,477.7526421859088,0,0,4.7346022860243195,3.9534536460005727
56278.5528192,False,171.563004,160.643066,False,8.043673599997419,952.1042796845323,0,0,4.636448468863992,4.891866712793661
56278.5859584,False,193.999374,155.832397,False,8.076812799998152,692.4220262599756,0,0,4.481261041782507,5.615641832916909
56278.6171264,False,219.693832,146.623901,False,8.107980799999496,875.7288531820146,0,0,4.184204062487083,6.444519651630532
56278.6503168,False,249.067657,134.221451,False,8.141171199997189,960.6642174125471,0,0,3.78411328405133,7.392090213082955
56278.6810368,False,282.564758,122.662064,False,8.171891199999664,1153.4995982593948,0,0,3.4112188847132856,8.472673582855142
56278.7140736,False,319.117889,114.13073,False,8.2049279999992,1136.1729079072222,0,0,3.136006482231888,9.651841459851548
56278.7461632,False,357.615814,113.569099,False,8.237017599996761,1199.8286513770458,0,0,3.117888821287183,10.893746469056284
56278.7939072,False,387.64212,115.580162,False,8.28476159999991,630.3111977305708,0,0,3.1827637259353248,11.862365422657398
56278.824448,True,413.944153,118.09111,False,8.315302399998473,865.1252143926004,0,0,3.263764426597831,12.710843010344739
56278.85856,True,436.671234,117.813454,False,8.34941439999966,666.2985750771365,0,0,3.254807518472633,13.443996179989643
56278.888512,True,458.500153,116.678741,False,8.379366399996798,729.7806986794315,0,0,3.2182027986413764,14.148175531256612
56278.9219328,True,479.714203,116.574181,False,8.41278720000264,634.7636104719095,0,0,3.2148297963883343,14.83251981631924
56278.9520384,True,503.678436,120.912682,False,8.442892799997935,808.9454893120524,0,0,3.3547855504800093,15.605582286684834
56278.9857664,True,524.935913,128.116562,False,8.476620800000092,665.4696302179295,0,0,3.587175598975085,16.291327483844277
56279.0318208,True,541.004028,134.958466,False,8.522675200001686,379.20662991979486,0,0,3.807888659486734,16.809668992041868
56279.0662784,True,557.874817,130.329269,False,8.557132800000545,507.7071570130078,0,0,3.6585553397585793,17.3539039701176
56279.0975232,True,565.711182,121.806503,False,8.58837759999733,370.5522326367963,0,0,3.3836193324885824,17.606697359565384
56279.127744,True,564.601196,117.243431,False,8.6185983999967,155.3941714836119,0,0,3.2364191399025697,17.570890308313995
56279.1617152,True,560.900574,114.916008,False,8.652569600002607,128.68754344554904,0,0,3.1613387743442103,17.451511900283606
56279.1937152,True,554.487671,112.462791,False,8.68456960000185,214.5662379033024,0,0,3.082200418680464,17.244637988007973
56279.2258432,True,549.858032,106.194511,False,8.71669760000077,242.5491083247563,0,0,2.8799919014396558,17.09529040979669
56279.257728,True,544.145447,98.0408707,False,8.74858239999594,312.2389240415892,0,0,2.616963524408333,16.91100806400772
