TimestampRaw_Bonsai,ROI,Ypos,Xpos,Event,Timestamp_Bonsai,Speed,ToneStart_Bonsai,PelletGrab_Bonsai,Xscaled,Yscaled
58951.0356352,False,,,False,0.0,0.0,0,0,,
58951.5329024,False,,,False,0.4972672000003513,,0,0,,
58952.0458752,False,,,False,1.0102399999959744,,0,0,,
58952.5396352,False,,,False,1.504000000000815,,0,0,,
58953.0357248,False,,,False,2.0000895999983186,,0,0,,
58953.5503872,False,,,False,2.5147519999954966,,0,0,,
58954.0442752,False,,,False,3.008640000000014,,0,0,,
58954.2841728,False,,,False,3.24853759999678,,0,0,,
58954.3506688,False,,,False,3.315033599996241,,0,0,,
58954.380736,True,532.620117,133.966476,False,3.3451007999974536,,0,0,3.4580274054796694,17.689988085493223
58954.4304,True,528.129395,163.033188,False,3.3947647999957553,592.2110174979223,0,0,4.4737177550455325,17.533066896815843
58954.4604928,True,519.7323,164.909927,False,3.4248575999954483,285.92433053516385,0,0,4.539297435710958,17.239643672479776
58954.4931456,True,513.436279,170.085083,False,3.4575103999959538,249.5950329049973,0,0,4.720135089680828,17.019639161121077
58954.5254528,True,507.191925,172.917099,False,3.489817599998787,212.22976713005096,0,0,4.819095416566653,16.801440071486414
58954.5579008,True,502.629272,173.827271,False,3.5222655999968993,143.38478031787974,0,0,4.850899939790506,16.642005367605297
58954.5895168,True,492.588806,175.826263,False,3.553881599997112,323.8083694831944,0,0,4.920751558482685,16.291157138836105
58954.6211456,True,482.730774,178.162323,False,3.585510400000203,320.3106025811781,0,0,5.002381486147252,15.94668377810265
58954.6530688,True,476.967346,176.531464,False,3.6174335999967298,187.62921067204203,0,0,4.945393693795554,15.745289888074163
58954.7020544,True,469.409576,174.48175,False,3.666419199995289,159.85894528051878,0,0,4.873769674912027,15.481195550426397
58954.7350016,True,459.471741,172.134109,False,3.6993663999965065,309.93120420589986,0,0,4.791735067490825,15.133933599880429
58954.7666304,True,448.100769,168.476181,False,3.7309951999995974,377.6573881073148,0,0,4.663914550020298,14.73659294003615
