TimestampRaw_Bonsai,ROI,Ypos,Xpos,Event,Timestamp_Bonsai,Speed,ToneStart_Bonsai,PelletGrab_Bonsai,Xscaled,Yscaled
48113.9629568,False,,,False,0.0,0.0,0,0,,
48114.4760448,False,,,False,0.5130879999996978,,0,0,,
48114.9713152,False,,,False,1.0083583999949042,,0,0,,
48115.4676736,False,,,False,1.5047167999946396,,0,0,,
48115.9630336,False,,,False,2.0000767999954405,,0,0,,
48116.4754432,False,,,False,2.512486399995396,,0,0,,
48116.9708672,False,,,False,3.0079103999960353,,0,0,,
48117.4671872,False,,,False,3.5042304000016884,,0,0,,
48117.9641728,False,,,False,4.00121599999693,,0,0,,
48118.4748928,False,,,False,4.51193599999533,,0,0,,
48118.5888512,False,,,False,4.6258944000001065,,0,0,,
48118.6370048,True,413.841858,150.283722,False,4.6740480000007665,,0,0,4.5608545109966885,13.196028632837724
48118.6681088,False,364.507202,200.320114,False,4.705151999994996,2259.1208179042633,0,0,6.200540278133441,11.579338659072471
48118.700736,False,360.210327,201.925079,False,4.737779199997021,140.5831373367639,0,0,6.253134763108551,11.438530649161091
48118.7320576,False,357.502502,202.613022,False,4.769100799996522,89.19873610925224,0,0,6.275678561744178,11.349795591837271
48118.765056,False,357.542969,203.912292,False,4.8020991999947,39.392820225123074,0,0,6.318255463105647,11.351121689928812
48118.7950336,False,357.833496,200.80304,False,4.832076799997594,104.17097607324439,0,0,6.21636569753579,11.360642220243406
48118.8292224,False,356.663849,196.85762,False,4.866265600001498,120.36527625364077,0,0,6.0870748202204,11.322313046979392
48118.8760832,False,356.103851,193.168289,False,4.913126399995235,79.6313679342443,0,0,5.966175944638875,11.303961988609215
48118.9076608,False,353.439575,189.242935,False,4.944704000001366,150.2371973380637,0,0,5.837542627417016,11.216654026098167
48118.9403264,False,351.733032,181.397202,False,4.977369599997473,245.7994104583698,0,0,5.580439023047318,11.160730843864986
48118.9719424,False,350.753784,169.741989,False,5.008985599997686,369.9480611150642,0,0,5.1984992766913605,11.128641019960474
48119.0043392,False,352.557983,155.757477,False,5.041382399998838,435.2409879497596,0,0,4.740228718599299,11.187764376044628
48119.0355456,False,357.311096,146.052505,False,5.07258880000154,346.28836161563737,0,0,4.422198104824015,11.343523243224595
48119.0682368,False,361.557037,138.641815,False,5.105279999996128,261.25878000018673,0,0,4.179350800452776,11.48266215287664
48119.0986496,False,364.480164,136.05542,False,5.135692799995013,128.33707757309497,0,0,4.094594987729635,11.578452627486264
48119.1484032,False,367.392426,136.726654,False,5.185446399998909,60.068334889072126,0,0,4.116591234705601,11.67388705752217
48119.1802752,False,368.348846,141.167603,False,5.217318399998476,142.5317167617511,0,0,4.262120530020903,11.70522881096844
48119.21344,False,367.104095,146.891907,False,5.250483199997689,176.63536612068236,0,0,4.449705194310127,11.664438489829195
48119.244416,False,366.243225,151.80336,False,5.281459199999517,160.973917884127,0,0,4.610652841775617,11.636227896900053
48119.2769408,False,364.466125,161.715836,False,5.313984000000346,309.6257202853941,0,0,4.9354833334362604,11.577992571363815
48119.3089152,False,354.230408,178.116882,False,5.345958400001109,604.6394146850815,0,0,5.472943382361354,11.2425695160536
48119.3406592,False,347.583557,191.614502,False,5.377702400000999,473.9628546471446,0,0,5.915258555769948,11.024753111925605
48119.3728384,False,345.670685,201.703461,False,5.409881599996879,319.1098194283222,0,0,6.245872371360933,10.962068556397412
