Item1,Item2,Item3,Item4,Item5
47176.614835199995,False,NaN,NaN,False
47177.128524799999,False,NaN,NaN,False
47177.625254399994,False,NaN,NaN,False
47178.120819199998,False,NaN,NaN,False
47178.616793599998,False,NaN,NaN,False
47179.129280000001,False,NaN,NaN,False
47179.6249216,False,NaN,NaN,False
47179.882227199996,False,NaN,NaN,False
47179.912691199999,False,255.213333,443.140015,False
47179.945433599998,False,141.855011,267.61142,False
47179.976768,False,238.077377,390.175232,False
47180.010406399997,False,248.074554,388.39859,False
47180.042623999994,False,264.381744,391.165131,False
47180.073791999996,False,212.053467,330.299072,False
47180.105446399997,False,218.151413,335.736115,False
47180.154956799997,False,227.04747,342.75769,False
47180.185087999998,False,234.500504,348.506439,False
47180.2185856,False,246.425873,355.13205,False
47180.2500096,False,264.246918,360.145508,False
47180.282726400001,False,282.154694,359.998657,False
47180.313151999995,False,300.300629,355.650696,False
47180.3468288,False,314.174774,347.667999,False
47180.377305599999,False,329.216309,346.320679,False
47180.427775999997,False,347.848145,347.579803,False
47180.459059199995,False,364.098389,349.3927,False
47180.489907199997,False,369.463257,355.342041,False
47180.521523199997,False,372.601929,359.54483,False
47180.554739200001,False,374.721741,355.932709,False
47180.587737599999,False,379.205231,347.459747,False
47180.618623999995,False,388.392822,337.99411,False
47180.666035199996,True,403.429077,327.115753,False
47180.699327999995,True,419.048798,316.684601,False
47180.730585599995,True,426.845856,305.293457,False
47180.761548800001,True,426.059082,294.168732,False
47180.794739199999,True,425.506714,284.137085,False
47180.828390399998,True,424.871338,279.171234,False
47180.859711999998,True,421.923584,275.889191,False
47180.8909824,True,419.548706,274.904022,False
47180.939328,True,415.292847,277.777008,False
47180.970047999996,True,411.509033,282.351593,False
47181.001446399998,True,408.563904,286.148163,False
47181.034240000001,True,406.853973,289.206207,False
47181.066368,True,406.298004,290.668091,False
47181.097254399996,True,405.9263,292.477692,False
47181.1313152,True,404.61853,295.378998,False
47181.160883199998,True,403.577972,299.664276,False
47181.210675199996,True,404.860626,302.760651,False
47181.242623999999,True,410.491211,303.94873,False
47181.274867199994,True,419.902557,302.379974,False
47181.305164799996,True,431.165649,298.817444,False
47181.338636799999,True,439.712982,294.012756,False
47181.369433599997,True,439.770508,291.695435,False
47181.404710399998,True,436.512451,292.743347,False
47181.432972800001,True,436.39679,295.071289,False
47181.483404799998,True,440.289795,297.445251,False
47181.515315199998,True,444.238708,299.312714,False
47181.545471999998,True,444.144836,304.502319,False
47181.578867199998,True,437.617767,309.875183,False
47181.612185599995,True,436.158142,311.422028,False
47181.644006399998,True,435.654999,314.362885,False
47181.6755968,True,435.917633,318.755066,False
47181.724249599996,True,439.92627,323.181305,False
47181.754726399995,True,446.287231,328.677734,False
47181.78656,True,454.908386,335.468506,False
47181.819289599996,True,464.735474,342.807617,False
47181.851225599996,True,474.889618,349.624634,False
47181.883340799999,True,482.432098,355.680237,False
47181.913894400001,True,493.016663,363.074554,False
47181.947699199998,True,500.029358,368.503784,False
47181.995033599997,True,503.168823,370.639221,False
47182.025612799996,True,502.194397,369.392639,False
47182.059225599995,True,495.499908,364.973663,False
47182.089779199996,True,494.020172,367.149261,False
47182.12384,True,490.999573,368.911102,False
47182.154342399997,True,490.547729,374.03244,False
47182.1880704,True,492.266479,379.285187,False
47182.218598399995,True,495.718048,384.867615,False
47182.268198400001,True,497.132233,387.829102,False
47182.299763199997,True,499.073914,390.101685,False
47182.331660799995,True,504.134308,394.86145,False
47182.362956799996,True,507.484924,399.158966,False
47182.395865599996,True,517.539246,412.172516,False
47182.426649599998,True,514.964233,407.775055,False
47182.459007999998,True,509.162537,396.503174,False
47182.508505599995,True,511.007507,396.295135,False
47182.539737599996,True,509.499969,391.763947,False
47182.572198399997,True,508.325775,390.057953,False
47182.603916799999,True,510.088806,391.93692,False
47182.634982399999,True,511.1008,392.651215,False
47182.667187200001,True,507.179993,387.325653,False
47182.697625599998,True,507.069214,386.261169,False
47182.730969600001,True,508.395355,385.256287,False
47182.779519999996,True,509.961609,383.064087,False
47182.813043199996,True,509.695557,381.259216,False
47182.843276799998,True,507.06958,376.592804,False
47182.875942399995,True,497.119781,367.104523,False
47182.906227200001,True,491.329071,361.078705,False
