Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
0,2021-04-24 16:34:44,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,1,0,0,0,,0.09
1,2021-04-24 16:36:26,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,1,0,1,0,Timed_out,
2,2021-04-24 16:37:54,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,2,0,1,0,,0.08
3,2021-04-24 16:37:56,1.4.2,FR1_Rev,3,3.98,2,1,Pellet,Left,2,0,2,0,0.25,
4,2021-04-24 16:45:34,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,3,0,2,0,,0.89
5,2021-04-24 16:45:35,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,3,0,3,0,0.37,
6,2021-04-24 18:03:40,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,4,0,3,0,,0.12
7,2021-04-24 18:03:43,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,4,0,4,0,1.51,
8,2021-04-24 18:03:59,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,5,0,4,0,,0.15
9,2021-04-24 18:04:00,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,5,0,5,0,0.69,
10,2021-04-24 18:04:21,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,6,0,5,0,,0.18
11,2021-04-24 18:04:22,1.4.2,FR1_Rev,3,3.98,2,1,Pellet,Left,6,0,6,0,0.18,
12,2021-04-24 18:04:42,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,7,0,6,0,,0.17
13,2021-04-24 18:04:43,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,7,0,7,0,0.50,
14,2021-04-24 18:05:09,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,8,0,7,0,,0.17
15,2021-04-24 18:05:11,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,8,0,8,0,0.25,
16,2021-04-24 18:05:33,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,9,0,8,0,,0.33
17,2021-04-24 18:05:35,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,9,0,9,0,0.18,
18,2021-04-24 18:05:55,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,10,0,9,0,,0.0
19,2021-04-24 18:05:59,1.4.2,FR1_Rev,3,3.98,2,1,Pellet,Left,10,0,10,0,0.25,
20,2021-04-24 18:06:27,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,11,0,10,0,,0.07
21,2021-04-24 18:06:29,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,11,0,11,0,0.12,
22,2021-04-24 18:07:00,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,12,0,11,0,,0.42
23,2021-04-24 18:07:01,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,12,0,12,0,0.18,
24,2021-04-24 19:05:01,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,13,0,12,0,,0.16
25,2021-04-24 19:05:02,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,13,0,13,0,0.69,
26,2021-04-24 19:05:26,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,14,0,13,0,,0.19
27,2021-04-24 19:05:28,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,14,0,14,0,0.56,
28,2021-04-24 19:05:59,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,15,0,14,0,,0.21
29,2021-04-24 19:06:00,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,15,0,15,0,0.19,
30,2021-04-24 19:06:21,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,16,0,15,0,,0.07
31,2021-04-24 19:06:22,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,16,0,16,0,0.44,
32,2021-04-24 19:06:39,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,17,0,16,0,,0.38
33,2021-04-24 19:06:42,1.4.2,FR1_Rev,3,3.98,3,1,Pellet,Left,17,0,17,0,0.12,
34,2021-04-24 19:07:03,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,18,0,17,0,,0.08
35,2021-04-24 19:07:04,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,18,0,18,0,0.31,
36,2021-04-24 19:09:06,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,19,0,18,0,,0.02
37,2021-04-24 19:09:08,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,19,0,19,0,0.63,
38,2021-04-24 19:13:52,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,20,0,19,0,,0.0
39,2021-04-24 19:13:53,1.4.2,FR1_Rev,3,3.98,1,1,Pellet,Left,20,0,20,0,0.31,
40,2021-04-24 19:15:40,1.4.2,FR1_Rev,3,3.98,1,1,Left,Left,21,0,20,0,,0.21
