pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,50,,,
2,3,10,,,
3,4,40,,,
4,5,20,,,
5,6,45,,,
6,7,60,,,
7,8,15,,,
8,9,35,,,
9,10,25,,,
10,11,55,,,
