pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,50,,,
3,4,20,,,
4,5,15,,,
5,6,40,,,
6,7,25,,,
7,8,8,,,
8,9,13,,,
9,10,18,,,
