pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,20,,,
3,4,40,,,
4,5,15,,,
5,6,25,,,
6,7,50,,,
7,8,15,,,
8,9,30,,,
9,10,20,,,
