pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,8,,,
3,4,20,,,
4,5,13,,,
5,6,15,,,
6,7,18,,,
7,8,25,,,
8,9,40,,,
9,10,50,,,
