pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,40,,,
2,3,45,,,
3,4,50,,,
4,5,20,,,
5,6,60,,,
6,7,35,,,
7,8,50,,,
8,9,65,,,
9,10,45,,,
