pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,50,,,
2,3,10,,,
3,4,20,,,
4,5,40,,,
5,6,40,,,
6,7,25,,,
7,8,35,,,
8,9,50,,,
9,10,55,,,
