pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,50,,,
2,3,10,,,
3,4,20,,,
4,5,40,,,
5,6,30,,,
6,7,15,,,
7,8,35,,,
8,9,25,,,
9,10,15,,,
