Time,50D
5/15/2024 9:00,3.52
5/15/2024 10:00,0.468
5/15/2024 11:00,3.7
5/15/2024 12:00,5.41
5/15/2024 13:00,0.144
5/15/2024 14:00,0.184
5/15/2024 15:00,0.309
5/15/2024 16:00,3.05
5/15/2024 17:00,14.3
5/15/2024 18:00,13.5
5/15/2024 19:00,3.95
5/15/2024 20:00,34.2
5/15/2024 21:00,42.4
5/15/2024 22:00,28.7
5/15/2024 23:00,2.27
5/16/2024 0:00,3.14
5/16/2024 1:00,1.67
5/16/2024 2:00,13.6
5/16/2024 3:00,26
5/16/2024 4:00,12.2
5/16/2024 5:00,14.4
5/16/2024 6:00,17.2
5/16/2024 7:00,0.954
5/16/2024 8:00,4.66
5/16/2024 9:00,13.8
5/16/2024 10:00,0.823
5/16/2024 11:00,2.31
5/16/2024 12:00,4.76
5/16/2024 13:00,1.74
5/16/2024 14:00,3.8
5/16/2024 15:00,2.2
5/16/2024 16:00,3.4
5/16/2024 17:00,22.5
5/16/2024 18:00,11.7
5/16/2024 19:00,25.7
5/16/2024 20:00,49.5
5/16/2024 21:00,32.3
5/16/2024 22:00,18.9
5/16/2024 23:00,1.73
5/17/2024 0:00,9.57
5/17/2024 1:00,31.4
5/17/2024 2:00,9.89
5/17/2024 3:00,1.35
5/17/2024 4:00,24.6
5/17/2024 5:00,7.4
5/17/2024 6:00,14.7
5/17/2024 7:00,19.8
5/17/2024 8:00,4.22
5/17/2024 9:00,1.02
5/17/2024 10:00,0.103
5/17/2024 11:00,9.71
5/17/2024 12:00,0.197
5/17/2024 13:00,0.119
5/17/2024 14:00,3.78
5/17/2024 15:00,9.06
5/17/2024 16:00,3.67
5/17/2024 17:00,0.262
