Time,56F
5/6/2024 11:00,0.0244
5/6/2024 12:00,0.0244
5/6/2024 13:00,0.0244
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,43.9
5/6/2024 17:00,6.03
5/6/2024 18:00,5.28
5/6/2024 19:00,4.13
5/6/2024 20:00,22.8
5/6/2024 21:00,15.1
5/6/2024 22:00,12
5/6/2024 23:00,3.29
5/7/2024 0:00,5.28
5/7/2024 1:00,1.83
5/7/2024 2:00,2.46
5/7/2024 3:00,1.87
5/7/2024 4:00,1.36
5/7/2024 5:00,11.2
5/7/2024 6:00,12.9
5/7/2024 7:00,2.13
5/7/2024 8:00,6.15
5/7/2024 9:00,0.549
5/7/2024 10:00,0.0244
5/7/2024 11:00,0.822
5/7/2024 12:00,6.18
5/7/2024 13:00,0.613
5/7/2024 14:00,1.91
5/7/2024 15:00,0.0244
5/7/2024 16:00,5.98
5/7/2024 17:00,1.01
5/7/2024 18:00,1.15
5/7/2024 19:00,2.91
5/7/2024 20:00,26.2
5/7/2024 21:00,25.2
5/7/2024 22:00,4.73
5/7/2024 23:00,19.2
5/8/2024 0:00,8.48
5/8/2024 1:00,19.9
5/8/2024 2:00,6.38
5/8/2024 3:00,6.17
5/8/2024 4:00,15.7
5/8/2024 5:00,13.8
5/8/2024 6:00,9.06
5/8/2024 7:00,1.9
5/8/2024 8:00,1.94
5/8/2024 9:00,3.1
5/8/2024 10:00,2.41
5/8/2024 11:00,19.6
5/8/2024 12:00,10.2
5/8/2024 13:00,16.1
5/8/2024 14:00,4.3
5/8/2024 15:00,1.44
5/8/2024 16:00,5.9
5/8/2024 17:00,0.569
5/8/2024 18:00,3.24
5/8/2024 19:00,11.3
5/8/2024 20:00,35.2
5/8/2024 21:00,16.6
5/8/2024 22:00,19.6
5/8/2024 23:00,16.7
5/9/2024 0:00,6.13
5/9/2024 1:00,2.5
5/9/2024 2:00,19.5
5/9/2024 3:00,0.627
5/9/2024 4:00,4.75
5/9/2024 5:00,12.3
5/9/2024 6:00,4.91
5/9/2024 7:00,0.5
5/9/2024 8:00,0.539
5/9/2024 9:00,4.92
5/9/2024 10:00,5.32
5/9/2024 11:00,10.2
5/9/2024 12:00,1.11
5/9/2024 13:00,0.932
5/9/2024 14:00,0.0451
5/9/2024 15:00,0.71
5/9/2024 16:00,13.7
5/9/2024 17:00,0.0244
5/9/2024 18:00,5.07
5/9/2024 19:00,13.1
5/9/2024 20:00,11.9
5/9/2024 21:00,10.1
5/9/2024 22:00,19.8
5/9/2024 23:00,17.7
5/10/2024 0:00,8.62
5/10/2024 1:00,31.5
5/10/2024 2:00,6.98
5/10/2024 3:00,4.52
5/10/2024 4:00,21.9
5/10/2024 5:00,18
5/10/2024 6:00,22.2
5/10/2024 7:00,14.7
5/10/2024 8:00,10.3
5/10/2024 9:00,6.05
5/10/2024 10:00,3.92
5/10/2024 11:00,5.89
5/10/2024 12:00,15.8
5/10/2024 13:00,1.88
5/10/2024 14:00,5.8
5/10/2024 15:00,0.676
5/10/2024 16:00,11.8
5/10/2024 17:00,4.35
5/10/2024 18:00,3.31
5/10/2024 19:00,2.59
5/10/2024 20:00,12.9
5/10/2024 21:00,1.44
5/10/2024 22:00,3.6
5/10/2024 23:00,18.3
5/11/2024 0:00,11
5/11/2024 1:00,18.2
5/11/2024 2:00,2.61
5/11/2024 3:00,6.99
5/11/2024 4:00,3.65
5/11/2024 5:00,3.9
5/11/2024 6:00,2.94
5/11/2024 7:00,1.99
5/11/2024 8:00,3.11
5/11/2024 9:00,0.646
5/11/2024 10:00,0.0613
5/11/2024 11:00,6.24
5/11/2024 12:00,0.0521
5/11/2024 13:00,1.11
5/11/2024 14:00,0.0746
5/11/2024 15:00,3.73
5/11/2024 16:00,5.25
5/11/2024 17:00,0.0244
5/11/2024 18:00,1.33
5/11/2024 19:00,0.844
5/11/2024 20:00,1.55
5/11/2024 21:00,3.64
5/11/2024 22:00,12.8
5/11/2024 23:00,10.2
5/12/2024 0:00,12.9
5/12/2024 1:00,1.29
5/12/2024 2:00,14.6
5/12/2024 3:00,1.87
5/12/2024 4:00,2.05
5/12/2024 5:00,3.79
5/12/2024 6:00,3.39
5/12/2024 7:00,0.0244
5/12/2024 8:00,0.0762
5/12/2024 9:00,0.241
5/12/2024 10:00,0.0244
5/12/2024 11:00,7.86
5/12/2024 12:00,0.0341
5/12/2024 13:00,1.73
5/12/2024 14:00,0.463
5/12/2024 15:00,6.09
5/12/2024 16:00,8.72
5/12/2024 17:00,0.68
5/12/2024 18:00,0.286
5/12/2024 19:00,7.22
5/12/2024 20:00,0.355
5/12/2024 21:00,5.35
5/12/2024 22:00,23.3
5/12/2024 23:00,5.76
5/13/2024 0:00,9.16
5/13/2024 1:00,1.97
5/13/2024 2:00,14.5
5/13/2024 3:00,0.84
5/13/2024 4:00,5.52
5/13/2024 5:00,1.26
5/13/2024 6:00,8.98
5/13/2024 7:00,0.523
5/13/2024 8:00,0.728
5/13/2024 9:00,0.394
5/13/2024 10:00,7.7
5/13/2024 11:00,1.55
5/13/2024 12:00,4.27
5/13/2024 13:00,4.36
5/13/2024 14:00,0.123
5/13/2024 15:00,0.408
5/13/2024 16:00,19.7
5/13/2024 17:00,5.46
5/13/2024 18:00,0.107
5/13/2024 19:00,0.394
5/13/2024 20:00,6.19
5/13/2024 21:00,16.4
5/13/2024 22:00,15
5/13/2024 23:00,19.3
5/14/2024 0:00,1.95
5/14/2024 1:00,31.4
5/14/2024 2:00,6.81
5/14/2024 3:00,1.79
5/14/2024 4:00,5.78
5/14/2024 5:00,2.24
5/14/2024 6:00,12.7
5/14/2024 7:00,0.156
5/14/2024 8:00,1.57
5/14/2024 9:00,0.0738
5/14/2024 10:00,4.47
5/14/2024 11:00,1.15
5/14/2024 12:00,1.15
5/14/2024 13:00,4.31
5/14/2024 14:00,0.0567
5/14/2024 15:00,1.63
5/14/2024 16:00,0.391
5/14/2024 17:00,3.62
5/14/2024 18:00,1.16
5/14/2024 19:00,7.85
5/14/2024 20:00,14.4
5/14/2024 21:00,25.3
5/14/2024 22:00,1.05
5/14/2024 23:00,29.3
5/15/2024 0:00,0.189
5/15/2024 1:00,14.1
5/15/2024 2:00,5.74
5/15/2024 3:00,1.15
5/15/2024 4:00,2.44
5/15/2024 5:00,8.61
5/15/2024 6:00,0.264
5/15/2024 7:00,0.268
5/15/2024 8:00,0.215
5/15/2024 9:00,1.49
5/15/2024 10:00,4.72
5/15/2024 11:00,0.08
