Time,59F
5/6/2024 11:00,1.21
5/6/2024 12:00,1.26
5/6/2024 13:00,1.49
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,62.5
5/6/2024 17:00,21.9
5/6/2024 18:00,3.13
5/6/2024 19:00,8.93
5/6/2024 20:00,19.1
5/6/2024 21:00,18.8
5/6/2024 22:00,25.2
5/6/2024 23:00,7.93
5/7/2024 0:00,27
5/7/2024 1:00,8.71
5/7/2024 2:00,3.05
5/7/2024 3:00,6.26
5/7/2024 4:00,16.6
5/7/2024 5:00,6.71
5/7/2024 6:00,3.71
5/7/2024 7:00,7.31
5/7/2024 8:00,12.5
5/7/2024 9:00,4.04
5/7/2024 10:00,1.3
5/7/2024 11:00,4.18
5/7/2024 12:00,1.4
5/7/2024 13:00,13.2
5/7/2024 14:00,1.26
5/7/2024 15:00,2.37
5/7/2024 16:00,8.19
5/7/2024 17:00,3.04
5/7/2024 18:00,2.16
5/7/2024 19:00,7.42
5/7/2024 20:00,19.1
5/7/2024 21:00,5.95
5/7/2024 22:00,16.8
5/7/2024 23:00,12.8
5/8/2024 0:00,16.7
5/8/2024 1:00,2.33
5/8/2024 2:00,3.72
5/8/2024 3:00,8.41
5/8/2024 4:00,9.22
5/8/2024 5:00,2.02
5/8/2024 6:00,5.51
5/8/2024 7:00,1.39
5/8/2024 8:00,3.35
5/8/2024 9:00,1.9
5/8/2024 10:00,1.79
5/8/2024 11:00,2.51
5/8/2024 12:00,2.14
5/8/2024 13:00,12.6
5/8/2024 14:00,4.77
5/8/2024 15:00,1.22
5/8/2024 16:00,5.1
5/8/2024 17:00,1.76
5/8/2024 18:00,1.77
5/8/2024 19:00,6.43
5/8/2024 20:00,20.3
5/8/2024 21:00,2.35
5/8/2024 22:00,11.5
5/8/2024 23:00,19.2
5/9/2024 0:00,1.17
5/9/2024 1:00,13.3
5/9/2024 2:00,1.67
5/9/2024 3:00,4.1
5/9/2024 4:00,13.2
5/9/2024 5:00,1.36
5/9/2024 6:00,12.9
5/9/2024 7:00,8.48
5/9/2024 8:00,1.38
5/9/2024 9:00,2.35
5/9/2024 10:00,1.74
5/9/2024 11:00,3.34
5/9/2024 12:00,2.76
5/9/2024 13:00,1.98
5/9/2024 14:00,13.2
5/9/2024 15:00,4.57
5/9/2024 16:00,1.22
5/9/2024 17:00,1.92
5/9/2024 18:00,7.3
5/9/2024 19:00,10.2
5/9/2024 20:00,11.3
5/9/2024 21:00,12.6
5/9/2024 22:00,11.3
5/9/2024 23:00,8.84
5/10/2024 0:00,6.81
5/10/2024 1:00,10.2
5/10/2024 2:00,13.8
5/10/2024 3:00,11.3
5/10/2024 4:00,7.74
5/10/2024 5:00,4.07
5/10/2024 6:00,7.99
5/10/2024 7:00,1.99
5/10/2024 8:00,6.43
5/10/2024 9:00,12.2
5/10/2024 10:00,5.52
5/10/2024 11:00,4.78
5/10/2024 12:00,6.38
5/10/2024 13:00,4.98
5/10/2024 14:00,4
5/10/2024 15:00,5.2
5/10/2024 16:00,13.2
5/10/2024 17:00,1.39
5/10/2024 18:00,4.85
