Time,B5F
5/15/2024 8:00,0.428
5/15/2024 9:00,0.743
5/15/2024 10:00,17.7
5/15/2024 11:00,0.325
5/15/2024 12:00,1.55
5/15/2024 13:00,0.0359
5/15/2024 14:00,16
5/15/2024 15:00,0.253
5/15/2024 16:00,4.5
5/15/2024 17:00,28.9
5/15/2024 18:00,7.74
5/15/2024 19:00,54
5/15/2024 20:00,37.9
5/15/2024 21:00,33.4
5/15/2024 22:00,15.2
5/15/2024 23:00,16.8
5/16/2024 0:00,0.233
5/16/2024 1:00,1.62
5/16/2024 2:00,8.11
5/16/2024 3:00,30.3
5/16/2024 4:00,2.05
5/16/2024 5:00,25.6
5/16/2024 6:00,1.59
5/16/2024 7:00,0.191
5/16/2024 8:00,11.9
5/16/2024 9:00,5.53
5/16/2024 10:00,0.753
5/16/2024 11:00,1.4
5/16/2024 12:00,2.12
5/16/2024 13:00,0.441
5/16/2024 14:00,20.5
5/16/2024 15:00,0.442
5/16/2024 16:00,1.06
5/16/2024 17:00,25.2
5/16/2024 18:00,3.63
5/16/2024 19:00,46.9
5/16/2024 20:00,47.8
5/16/2024 21:00,12.4
5/16/2024 22:00,18.4
5/16/2024 23:00,14.6
5/17/2024 0:00,0.722
5/17/2024 1:00,26.8
5/17/2024 2:00,21.4
5/17/2024 3:00,0.497
5/17/2024 4:00,14.8
5/17/2024 5:00,4.97
5/17/2024 6:00,0.198
5/17/2024 7:00,26.4
5/17/2024 8:00,1.88
5/17/2024 9:00,0.672
5/17/2024 10:00,0.533
5/17/2024 11:00,9.54
5/17/2024 12:00,0.514
5/17/2024 13:00,0.0686
5/17/2024 14:00,11.9
5/17/2024 15:00,7.48
5/17/2024 16:00,1.34
5/17/2024 17:00,0.426
