Time,56C
5/15/2024 9:00,31.5
5/15/2024 10:00,1.47
5/15/2024 11:00,12.5
5/15/2024 12:00,5.8
5/15/2024 13:00,0.0818
5/15/2024 14:00,1.96
5/15/2024 15:00,1.33
5/15/2024 16:00,2.1
5/15/2024 17:00,26.6
5/15/2024 18:00,0.283
5/15/2024 19:00,30.3
5/15/2024 20:00,48
5/15/2024 21:00,40.1
5/15/2024 22:00,8.76
5/15/2024 23:00,46.9
5/16/2024 0:00,31.5
5/16/2024 1:00,16
5/16/2024 2:00,19.2
5/16/2024 3:00,10.9
5/16/2024 4:00,0.675
5/16/2024 5:00,32.2
5/16/2024 6:00,10.8
5/16/2024 7:00,1.92
5/16/2024 8:00,20.1
5/16/2024 9:00,0.0386
5/16/2024 10:00,16
5/16/2024 11:00,1.44
5/16/2024 12:00,3.74
5/16/2024 13:00,8.74
5/16/2024 14:00,2.47
5/16/2024 15:00,0.0802
5/16/2024 16:00,0.116
5/16/2024 17:00,36.3
5/16/2024 18:00,3.31
5/16/2024 19:00,37.1
5/16/2024 20:00,51
5/16/2024 21:00,35.4
5/16/2024 22:00,19.7
5/16/2024 23:00,10.4
5/17/2024 0:00,3.83
5/17/2024 1:00,32.4
5/17/2024 2:00,19.2
5/17/2024 3:00,1.42
5/17/2024 4:00,0.591
5/17/2024 5:00,3.29
5/17/2024 6:00,42.8
5/17/2024 7:00,23.7
5/17/2024 8:00,0.0244
5/17/2024 9:00,0.535
5/17/2024 10:00,13.1
5/17/2024 11:00,23
5/17/2024 12:00,0.047
5/17/2024 13:00,0.0244
5/17/2024 14:00,0.0244
5/17/2024 15:00,16.5
5/17/2024 16:00,0.562
5/17/2024 17:00,0.0244
