Time,B65
5/6/2024 11:00,0.0244
5/6/2024 12:00,0.0244
5/6/2024 13:00,0.0244
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,47.6
5/6/2024 17:00,13.5
5/6/2024 18:00,11.4
5/6/2024 19:00,27.8
5/6/2024 20:00,55.4
5/6/2024 21:00,39.9
5/6/2024 22:00,2.18
5/6/2024 23:00,27.5
5/7/2024 0:00,2.27
5/7/2024 1:00,14.7
5/7/2024 2:00,5.65
5/7/2024 3:00,17.6
5/7/2024 4:00,1.29
5/7/2024 5:00,17.3
5/7/2024 6:00,13.3
5/7/2024 7:00,4.5
5/7/2024 8:00,7.2
5/7/2024 9:00,6.29
5/7/2024 10:00,1.67
5/7/2024 11:00,16
5/7/2024 12:00,0.877
5/7/2024 13:00,2.31
5/7/2024 14:00,3.88
5/7/2024 15:00,1.81
5/7/2024 16:00,7.34
5/7/2024 17:00,4.95
5/7/2024 18:00,6.26
5/7/2024 19:00,24
5/7/2024 20:00,29
5/7/2024 21:00,44.9
5/7/2024 22:00,26.1
5/7/2024 23:00,9
5/8/2024 0:00,20.3
5/8/2024 1:00,15.4
5/8/2024 2:00,10.4
5/8/2024 3:00,12.3
5/8/2024 4:00,29.1
5/8/2024 5:00,14.8
5/8/2024 6:00,20.5
5/8/2024 7:00,5.8
5/8/2024 8:00,4.31
5/8/2024 9:00,3.55
5/8/2024 10:00,1.72
5/8/2024 11:00,4.81
5/8/2024 12:00,10.8
5/8/2024 13:00,13.1
5/8/2024 14:00,1.17
5/8/2024 15:00,6.34
5/8/2024 16:00,5.42
5/8/2024 17:00,1.65
5/8/2024 18:00,26.4
5/8/2024 19:00,26.7
5/8/2024 20:00,60.9
5/8/2024 21:00,42.4
5/8/2024 22:00,7.49
5/8/2024 23:00,17.1
5/9/2024 0:00,39.5
5/9/2024 1:00,15.3
5/9/2024 2:00,9.97
5/9/2024 3:00,24.1
5/9/2024 4:00,2.25
5/9/2024 5:00,34.7
5/9/2024 6:00,12.6
5/9/2024 7:00,5.05
5/9/2024 8:00,0.179
5/9/2024 9:00,14.5
5/9/2024 10:00,12.4
5/9/2024 11:00,8.61
5/9/2024 12:00,10.7
5/9/2024 13:00,2
5/9/2024 14:00,1.66
5/9/2024 15:00,1.67
5/9/2024 16:00,1.08
5/9/2024 17:00,4.46
5/9/2024 18:00,5.19
5/9/2024 19:00,2.04
5/9/2024 20:00,0.1
5/9/2024 21:00,2.59
5/9/2024 22:00,2.33
5/9/2024 23:00,0.422
5/10/2024 0:00,2.96
5/10/2024 1:00,17.8
5/10/2024 2:00,3.8
5/10/2024 3:00,0.0637
5/10/2024 4:00,31.3
5/10/2024 5:00,9.52
5/10/2024 6:00,25.8
5/10/2024 7:00,28.2
5/10/2024 8:00,22.4
5/10/2024 9:00,16.2
5/10/2024 10:00,1.2
5/10/2024 11:00,46
5/10/2024 12:00,11.6
5/10/2024 13:00,7.26
5/10/2024 14:00,10.7
5/10/2024 15:00,25.3
5/10/2024 16:00,20.7
5/10/2024 17:00,4.25
5/10/2024 18:00,20.9
5/10/2024 19:00,9.41
5/10/2024 20:00,24.8
5/10/2024 21:00,6.86
5/10/2024 22:00,42.7
5/10/2024 23:00,35.9
5/11/2024 0:00,38
5/11/2024 1:00,4.6
5/11/2024 2:00,22.9
5/11/2024 3:00,28.6
5/11/2024 4:00,5.87
5/11/2024 5:00,32.4
5/11/2024 6:00,6.04
5/11/2024 7:00,2.41
5/11/2024 8:00,11.4
5/11/2024 9:00,5.42
5/11/2024 10:00,24.9
5/11/2024 11:00,2.89
5/11/2024 12:00,2.26
5/11/2024 13:00,18.7
5/11/2024 14:00,5.65
5/11/2024 15:00,5.29
5/11/2024 16:00,21.5
5/11/2024 17:00,7.7
5/11/2024 18:00,2.1
5/11/2024 19:00,26.4
5/11/2024 20:00,34.8
5/11/2024 21:00,2.69
5/11/2024 22:00,14.3
5/11/2024 23:00,36.8
5/12/2024 0:00,15.1
5/12/2024 1:00,16.9
5/12/2024 2:00,2.2
5/12/2024 3:00,26.3
5/12/2024 4:00,26.5
5/12/2024 5:00,5.58
5/12/2024 6:00,1.71
5/12/2024 7:00,11.5
5/12/2024 8:00,5.25
5/12/2024 9:00,16.2
5/12/2024 10:00,3.66
5/12/2024 11:00,4.64
5/12/2024 12:00,30.9
5/12/2024 13:00,2.67
5/12/2024 14:00,4.64
5/12/2024 15:00,6.38
5/12/2024 16:00,11.8
5/12/2024 17:00,16.9
5/12/2024 18:00,7.78
5/12/2024 19:00,5.27
5/12/2024 20:00,40.2
5/12/2024 21:00,19.2
5/12/2024 22:00,36.4
5/12/2024 23:00,7.83
5/13/2024 0:00,14.7
5/13/2024 1:00,22.8
5/13/2024 2:00,31.3
5/13/2024 3:00,1.87
5/13/2024 4:00,19.9
5/13/2024 5:00,2.81
5/13/2024 6:00,12.5
5/13/2024 7:00,3.99
5/13/2024 8:00,6.03
5/13/2024 9:00,8.91
5/13/2024 10:00,26.5
5/13/2024 11:00,2.36
5/13/2024 12:00,10.2
5/13/2024 13:00,5.24
5/13/2024 14:00,11.4
5/13/2024 15:00,2.88
5/13/2024 16:00,25.8
5/13/2024 17:00,12
5/13/2024 18:00,4.85
5/13/2024 19:00,31.8
5/13/2024 20:00,16.2
5/13/2024 21:00,45.4
5/13/2024 22:00,41.2
5/13/2024 23:00,19.2
5/14/2024 0:00,25.9
5/14/2024 1:00,40.2
5/14/2024 2:00,1.52
5/14/2024 3:00,6.56
5/14/2024 4:00,35.4
5/14/2024 5:00,2.68
5/14/2024 6:00,6.96
5/14/2024 7:00,23
5/14/2024 8:00,1.59
5/14/2024 9:00,5.63
5/14/2024 10:00,11.6
5/14/2024 11:00,9.3
5/14/2024 12:00,6.64
5/14/2024 13:00,3.58
5/14/2024 14:00,4.79
5/14/2024 15:00,12.8
5/14/2024 16:00,4.97
5/14/2024 17:00,32.5
5/14/2024 18:00,12.7
5/14/2024 19:00,31
5/14/2024 20:00,52
5/14/2024 21:00,54.4
5/14/2024 22:00,32.4
5/14/2024 23:00,9.11
5/15/2024 0:00,43.7
5/15/2024 1:00,21.5
5/15/2024 2:00,16.5
5/15/2024 3:00,10.3
5/15/2024 4:00,11.1
5/15/2024 5:00,35.3
5/15/2024 6:00,2.21
5/15/2024 7:00,5.08
5/15/2024 8:00,28.5
5/15/2024 9:00,2.36
5/15/2024 10:00,0.623
5/15/2024 11:00,5.44
5/15/2024 12:00,16.1
5/15/2024 13:00,7.28
