Time,50E
5/6/2024 11:00,0.0244
5/6/2024 12:00,0.0244
5/6/2024 13:00,0.0244
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,51.2
5/6/2024 17:00,25.7
5/6/2024 18:00,0.0244
5/6/2024 19:00,20.5
5/6/2024 20:00,15.7
5/6/2024 21:00,34.3
5/6/2024 22:00,36.2
5/6/2024 23:00,7.07
5/7/2024 0:00,8.75
5/7/2024 1:00,8.04
5/7/2024 2:00,4.54
5/7/2024 3:00,1.06
5/7/2024 4:00,3.18
5/7/2024 5:00,9.43
5/7/2024 6:00,0.532
5/7/2024 7:00,1.54
5/7/2024 8:00,2.84
5/7/2024 9:00,3.52
5/7/2024 10:00,0.0244
5/7/2024 11:00,2.4
5/7/2024 12:00,0.0244
5/7/2024 13:00,0.0244
5/7/2024 14:00,4.9
5/7/2024 15:00,1.12
5/7/2024 16:00,6.98
5/7/2024 17:00,5.16
5/7/2024 18:00,4.04
5/7/2024 19:00,6.62
5/7/2024 20:00,29.8
5/7/2024 21:00,14.1
5/7/2024 22:00,20.3
5/7/2024 23:00,0.0244
5/8/2024 0:00,37.7
5/8/2024 1:00,2.84
5/8/2024 2:00,0.108
5/8/2024 3:00,18.2
5/8/2024 4:00,0.0244
5/8/2024 5:00,4.01
5/8/2024 6:00,3.81
5/8/2024 7:00,0.224
5/8/2024 8:00,0.637
5/8/2024 9:00,1.78
5/8/2024 10:00,3.98
5/8/2024 11:00,0.236
5/8/2024 12:00,0.341
5/8/2024 13:00,6.3
5/8/2024 14:00,0.409
5/8/2024 15:00,0.277
5/8/2024 16:00,4.87
5/8/2024 17:00,0.221
5/8/2024 18:00,16.5
5/8/2024 19:00,14.2
5/8/2024 20:00,1.47
5/8/2024 21:00,35.2
5/8/2024 22:00,11.5
5/8/2024 23:00,11.1
5/9/2024 0:00,2.38
5/9/2024 1:00,1.66
5/9/2024 2:00,0.519
5/9/2024 3:00,0.477
5/9/2024 4:00,9.45
5/9/2024 5:00,4.06
5/9/2024 6:00,4.43
5/9/2024 7:00,8.66
5/9/2024 8:00,0.684
5/9/2024 9:00,3.47
5/9/2024 10:00,0.0244
5/9/2024 11:00,3.12
5/9/2024 12:00,0.0244
5/9/2024 13:00,0.726
5/9/2024 14:00,2.96
5/9/2024 15:00,1.61
5/9/2024 16:00,0.151
5/9/2024 17:00,22.3
5/9/2024 18:00,15.6
5/9/2024 19:00,14.9
5/9/2024 20:00,15.7
5/9/2024 21:00,4.22
5/9/2024 22:00,7.72
5/9/2024 23:00,5.14
5/10/2024 0:00,5.21
5/10/2024 1:00,2.01
5/10/2024 2:00,3.04
5/10/2024 3:00,0.0371
5/10/2024 4:00,6.73
5/10/2024 5:00,2.59
5/10/2024 6:00,2.91
5/10/2024 7:00,9.01
5/10/2024 8:00,5.43
5/10/2024 9:00,3.15
5/10/2024 10:00,1.79
5/10/2024 11:00,7.63
5/10/2024 12:00,1.18
5/10/2024 13:00,1.95
5/10/2024 14:00,1.62
5/10/2024 15:00,0.0244
5/10/2024 16:00,5.96
5/10/2024 17:00,4.1
5/10/2024 18:00,6.83
5/10/2024 19:00,11.3
5/10/2024 20:00,19
5/10/2024 21:00,1.3
5/10/2024 22:00,9.69
5/10/2024 23:00,23
5/11/2024 0:00,21.8
5/11/2024 1:00,16.5
5/11/2024 2:00,19.1
5/11/2024 3:00,3.3
5/11/2024 4:00,16.9
5/11/2024 5:00,8.1
5/11/2024 6:00,0.665
5/11/2024 7:00,1.46
5/11/2024 8:00,7.03
5/11/2024 9:00,0.514
5/11/2024 10:00,0.0433
5/11/2024 11:00,1.86
5/11/2024 12:00,0.552
5/11/2024 13:00,3.18
5/11/2024 14:00,2.33
5/11/2024 15:00,0.0244
5/11/2024 16:00,2.97
5/11/2024 17:00,0.178
5/11/2024 18:00,0.0995
5/11/2024 19:00,12.1
5/11/2024 20:00,18.6
5/11/2024 21:00,0.445
5/11/2024 22:00,6.82
5/11/2024 23:00,3.85
5/12/2024 0:00,16.9
5/12/2024 1:00,0.0244
5/12/2024 2:00,7.5
5/12/2024 3:00,0.753
5/12/2024 4:00,10.3
5/12/2024 5:00,1.39
5/12/2024 6:00,0.0244
5/12/2024 7:00,1.92
5/12/2024 8:00,0.63
5/12/2024 9:00,0.0244
5/12/2024 10:00,0.344
5/12/2024 11:00,0.228
5/12/2024 12:00,13.9
5/12/2024 13:00,1.93
5/12/2024 14:00,0.0244
5/12/2024 15:00,3.6
5/12/2024 16:00,9.3
5/12/2024 17:00,0.765
5/12/2024 18:00,0.769
5/12/2024 19:00,1.87
5/12/2024 20:00,23.1
5/12/2024 21:00,5.41
5/12/2024 22:00,15.7
5/12/2024 23:00,9.87
5/13/2024 0:00,0.508
5/13/2024 1:00,7.79
5/13/2024 2:00,0.305
5/13/2024 3:00,0.0244
5/13/2024 4:00,21.3
5/13/2024 5:00,0.0244
5/13/2024 6:00,0.0244
5/13/2024 7:00,12.1
5/13/2024 8:00,0.0244
5/13/2024 9:00,0.0244
5/13/2024 10:00,0.0244
5/13/2024 11:00,4.53
5/13/2024 12:00,0.0244
5/13/2024 13:00,0.424
5/13/2024 14:00,10.2
5/13/2024 15:00,0.92
5/13/2024 16:00,2.12
5/13/2024 17:00,0.0244
5/13/2024 18:00,10.6
5/13/2024 19:00,13.1
5/13/2024 20:00,0.229
5/13/2024 21:00,12.2
5/13/2024 22:00,1.2
5/13/2024 23:00,9.76
5/14/2024 0:00,7.2
5/14/2024 1:00,0.0682
5/14/2024 2:00,4.62
5/14/2024 3:00,0.0244
5/14/2024 4:00,0.0244
5/14/2024 5:00,0.0244
5/14/2024 6:00,0.637
5/14/2024 7:00,11.2
5/14/2024 8:00,0.0244
5/14/2024 9:00,0.0426
5/14/2024 10:00,0.5
5/14/2024 11:00,0.0244
5/14/2024 12:00,0.0244
5/14/2024 13:00,3.41
5/14/2024 14:00,1.06
5/14/2024 15:00,0.0244
5/14/2024 16:00,0.0244
5/14/2024 17:00,16
5/14/2024 18:00,1.55
5/14/2024 19:00,1.39
5/14/2024 20:00,22.8
5/14/2024 21:00,22
5/14/2024 22:00,0.642
5/14/2024 23:00,17.4
5/15/2024 0:00,0.0244
5/15/2024 1:00,0.824
5/15/2024 2:00,0.458
5/15/2024 3:00,0.382
5/15/2024 4:00,12.6
5/15/2024 5:00,3.71
5/15/2024 6:00,0.0244
5/15/2024 7:00,14.3
5/15/2024 8:00,1.26
5/15/2024 9:00,0.0244
