Variable,M_Halo1_V1_FED007_050423_00.CSV,M_Halo1_V1_FED008_050323_00.CSV,M_Halo2_V1_FED003_011824_00.CSV,M_Halo2_V1_FED004_011724_00.CSV,M_Halo2_V1_FED006_011924_02.csv,M_Halo3_V1_FED002_020824_00.CSV,M_Halo3_V1_FED003_020724_00.CSV,M_Halo1_H1_FED007_050323_00.CSV,M_Halo1_H1_FED008_050423_concat_00.CSV,M_Halo2_H1_FED003_011724_00.CSV,M_Halo2_H1_FED004_011824_00.CSV,M_Halo2_H1_FED006_012024_02.csv,M_Halo3_H1_FED002_020724_00.CSV,M_Halo3_H1_FED003_020824_00.CSV,Average,STD
Pellets Taken,132.0,138.0,78.0,126.0,173.0,152.0,135.0,142.0,154.0,108.0,124.0,172.0,161.0,139.0,138.14285714285714,25.212503439173386
Pellets Taken (Night),38.0,48.0,15.0,77.0,114.0,92.0,79.0,75.0,64.0,51.0,60.0,90.0,85.0,90.0,69.85714285714286,25.764785576910512
Pellets Taken (Day),94.0,90.0,63.0,49.0,59.0,60.0,56.0,67.0,90.0,57.0,64.0,82.0,76.0,49.0,68.28571428571429,15.384450548567493
Pellets per Hour,5.664628258770518,5.817738951214371,3.1425214033909685,5.546927545093244,7.486026804495463,7.026645264847512,5.445683231553589,5.930394431554525,6.260162601626016,4.655841356516741,5.037692411862953,6.9835111542192045,6.385088241126314,6.394234455263359,5.8412211508239125,1.1027615968513669
Pellets per Hour (Night),3.184283419845907,4.0116076610562965,1.247084362947738,6.532497525569119,9.24761711620361,7.979761474521142,6.438613569989359,6.3453267843293935,5.3439717957044115,4.21565025716385,5.030860603237452,7.6009946980716,7.243460764587525,7.62981278700106,5.860824487159176,2.1587358938456362
Pellets per Hour (Day),8.26817826426896,7.65613554195515,4.924653667433882,4.483871787702397,5.4719703215169,5.938960681880671,4.47264498380441,5.525899791518706,7.129340315979404,5.135649214135549,5.0441141055673535,6.411815812337098,5.6378660182571245,4.928337943173246,5.787817032109347,1.1746579702290574
Number of Meals,72.0,74.0,65.0,39.0,60.0,51.0,44.0,80.0,102.0,76.0,49.0,67.0,48.0,50.0,62.642857142857146,17.274290112797654
Number of Meals (Night),28.0,38.0,15.0,28.0,38.0,35.0,28.0,39.0,51.0,39.0,30.0,39.0,31.0,35.0,33.857142857142854,8.282113654943801
Number of Meals (Day),44.0,36.0,50.0,11.0,22.0,16.0,16.0,41.0,51.0,37.0,19.0,28.0,17.0,15.0,28.785714285714285,14.028424833056038
Average Pellets per Meal,1.8194444444444444,1.8513513513513513,1.1846153846153846,3.2051282051282053,2.8666666666666667,2.9607843137254903,3.0454545454545454,1.7625,1.5,1.4078947368421053,2.510204081632653,2.5522388059701493,3.3333333333333335,2.76,2.339972562083166,0.7284644217599973
