Variable,M_Halo1_V1_FED007_050423_00.CSV,M_Halo1_V1_FED008_050323_00.CSV,M_Halo2_V1_FED003_011824_00.CSV,M_Halo2_V1_FED004_011724_00.CSV,M_Halo2_V1_FED006_011924_02.csv,M_Halo3_V1_FED002_020824_00.CSV,M_Halo3_V1_FED003_020724_00.CSV,M_Halo1_H1_FED007_050323_00.CSV,M_Halo1_H1_FED008_050423_concat_00.CSV,M_Halo2_H1_FED003_011724_00.CSV,M_Halo2_H1_FED004_011824_00.CSV,M_Halo2_H1_FED006_012024_02.csv,M_Halo3_H1_FED002_020724_00.CSV,M_Halo3_H1_FED003_020824_00.CSV,Average,STD
Average Pellets per Meal (Night),1.3571428571428572,1.263157894736842,1.0,2.75,3.0,2.6285714285714286,2.8214285714285716,1.9230769230769231,1.2549019607843137,1.3076923076923077,2.0,2.3076923076923075,2.7419354838709675,2.5714285714285716,2.0662163076017923,0.7092366297545296
Average Pellets per Meal (Day),2.1136363636363638,2.4722222222222223,1.24,4.363636363636363,2.6363636363636362,3.6875,3.4375,1.6097560975609757,1.7450980392156863,1.5135135135135136,3.3157894736842106,2.892857142857143,4.411764705882353,3.2,2.759974111326605,1.0330125926987037
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,1961.0,1673.0,3288.0,471.0,1879.0,916.0,471.0,1476.0,992.0,1875.0,488.0,896.0,698.0,438.0,1251.5714285714287,819.8035143848812
Total Pokes (Night),1384.0,1236.0,1995.0,359.0,1506.0,707.0,342.0,747.0,528.0,1180.0,371.0,648.0,432.0,320.0,839.6428571428571,529.3440944505477
Total Pokes (Day),576.0,436.0,1292.0,111.0,372.0,208.0,128.0,729.0,463.0,694.0,116.0,248.0,265.0,117.0,411.07142857142856,330.7442572989949
Correct Pokes (%),0.009867414584395717,0.009671249252839211,0.009635036496350365,0.00940552016985138,0.009648749334752528,0.009716157205240175,0.009830148619957537,0.009789972899728997,0.009606854838709678,0.009248,0.009651639344262296,0.0096875,0.009126074498567335,0.009680365296803653,0.009611763038675636,0.00021194424442443603
Correct Pokes (%) (Night),98.41040462427746,96.76375404530745,95.58897243107769,94.42896935933148,96.81274900398407,97.31258840169731,97.953216374269,97.32262382864792,95.07575757575758,90.08474576271186,95.95687331536388,96.29629629629629,88.42592592592592,96.25,95.47734835318913,2.8624517289148286
Correct Pokes (%) (Day),99.82638888888889,97.24770642201835,97.75541795665634,94.5945945945946,95.96774193548387,98.07692307692307,101.5625,98.90260631001372,97.8401727861771,96.97406340057637,100.86206896551724,99.19354838709677,96.98113207547169,100.85470085470085,98.33139754672277,1.991217216743261
Recording Duration (Hours),23.3025,23.720555555555556,24.820833333333333,22.71527777777778,23.10972222222222,21.631944444444443,24.790277777777778,23.944444444444443,24.6,23.196666666666665,24.614444444444445,24.629444444444445,25.215,21.738333333333333,23.71638888888889,1.1489505306745469
Battery Change (V),-0.04999999999999982,-0.03000000000000025,-0.04999999999999982,-0.04999999999999982,-0.07000000000000028,-0.050000000000000266,-0.040000000000000036,-0.07000000000000028,-0.03000000000000025,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.05999999999999961,-0.020000000000000462,-0.045714285714285784,0.014525460784051189
Battery Rate (V/hour),-0.0021456925222615524,-0.0012647258589596564,-0.0020144367970454857,-0.002201161724243343,-0.003029028186790084,-0.002311396468699852,-0.0016135357723121757,-0.002923433874709989,-0.0012195121951219612,-0.0017243856875987945,-0.0016250620683428895,-0.001624072361446328,-0.0023795359904818405,-0.0009200337345702888,-0.0019282866601845888,0.0006180540359701314
Motor Turns (Mean),1.621212121212121,1.4275362318840579,1.3333333333333333,1.4126984126984128,1.4971098265895955,1.980263157894737,1.7407407407407407,1.528169014084507,1.422077922077922,1.2407407407407407,1.5161290322580645,1.4651162790697674,2.347826086956522,1.6906474820143884,1.5874000272539222,0.286588747875528
Motor Turns (Median),1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.2857142857142858,0.4688072309384954
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.2672612419124244
