TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
100053.765,,637.756,640.259,100.053765,-1.2110663130571375,-0.08536318874734837
100120.426,,637.059,640.708,100.12042600000001,0.8761639220796154,0.042546130447356306
100187.083,,637.315,642.991,100.187083,2.7328924778158634,0.15632988151400876
100253.74,,634.722,646.558,100.25374000000001,4.128295268383436,0.24184273866759207
100320.396,,635.59,645.915,100.32039599999999,4.868610265976251,0.28721060740466137
100387.056,,637.095,648.399,100.387056,4.868204032344718,0.2871857126583279
100453.711,,635.641,646.668,100.453711,4.214982461312278,0.2471550897651229
100520.371,,634.184,644.908,100.520371,3.186686956806315,0.18413924431685325
100587.024,,633.456,642.789,100.587024,2.192688404898223,0.12322517939255122
100653.682,,633.337,641.241,100.653682,1.6498788137933358,0.08996080631009003
100720.343,,633.73,641.158,100.720343,1.8371107869827064,0.10143472702040615
100787.001,,634.089,642.53,100.787001,2.7886140248121007,0.15974460070539565
100853.655,,633.876,645.676,100.853655,4.274490730613949,0.2508018662848839
100920.312,,634.185,647.401,100.92031200000001,5.8810810330270415,0.3492566837492396
100986.972,,634.507,650.835,100.986972,7.16126672964404,0.4277088248405891
101053.631,,635.488,650.643,101.053631,7.794470562712979,0.4665127238239798
101120.29,,635.45,649.436,101.12029,7.69043670126684,0.460137336879712
101186.946,,634.89,647.746,101.18694599999999,6.995347667777582,0.41754099865280286
101253.605,,635.55,646.329,101.253605,6.005798346126672,0.3568995907663092
101320.265,,635.364,643.977,101.320265,5.037413430351786,0.29755517671460713
101386.919,,635.737,644.804,101.38691899999999,4.308857965663183,0.25290795384712345
101453.578,,635.603,645.294,101.453578,3.889179224640576,0.22718926640142564
101520.234,,635.212,645.571,101.520234,3.7218625841867445,0.21693579401964377
101586.894,,634.917,645.774,101.586894,3.697421401346549,0.21543799324770457
101653.55,,635.86,645.818,101.65355000000001,3.725437825549926,0.21715489140575048
101720.208,,635.215,643.959,101.720208,3.7670872440049026,0.21970724460078855
101786.869,,635.049,644.049,101.78686900000001,3.818700529282532,0.22287020193540721
101853.522,,634.917,643.992,101.853522,3.8701220342006564,0.2260214066158116
101920.184,,634.5,644.829,101.92018399999999,3.8779638167041885,0.2265019655136344
101986.842,,634.255,645.316,101.98684200000001,3.7797922703530356,0.22048583205280198
102053.498,,635.007,646.117,102.053498,3.542932748533098,0.20597064361275597
102120.157,,634.584,644.476,102.120157,3.214779183769247,0.18586078780784063
102186.809,,634.24,643.965,102.186809,2.937130778904863,0.16884598137017315
102253.469,,634.699,643.943,102.253469,2.908011753157355,0.16706151375549583
102320.128,,635.21,642.99,102.320128,3.3030962542056543,0.19127302080572622
102386.789,,633.736,643.429,102.38678900000001,4.186305272351302,0.24539769872379585
102453.44,,637.012,644.567,102.45344,5.447825953198849,0.3227060132167956
102520.099,,636.414,648.886,102.520099,6.808980215942493,0.4061200574058894
102586.757,,639.64,650.162,102.58675699999999,7.909639185455884,0.4735704694811912
