pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,25,,,
1,2,5,,,
2,3,10,,,
3,4,20,,,
4,5,30,,,
5,6,40,,,
6,7,15,,,
7,8,50,,,
