pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,20,,,
2,3,40,,,
3,4,10,,,
4,5,50,,,
5,6,15,,,
6,7,35,,,
7,8,25,,,
8,9,30,,,
9,10,20,,,
