pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,10,,,
2,3,5,,,
3,4,3,,,
4,5,15,,,
5,6,25,,,
6,7,8,,,
7,8,30,,,
8,9,40,,,
9,10,50,,,
