pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,40,,,
1,2,10,,,
2,3,30,,,
3,4,20,,,
4,5,15,,,
5,6,50,,,
6,7,5,,,
7,8,25,,,
8,9,20,,,
9,10,10,,,
