pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,30,,,
2,3,10,,,
3,4,5,,,
4,5,15,,,
5,6,40,,,
6,7,25,,,
