pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,10,,,
2,3,40,,,
3,4,5,,,
4,5,50,,,
5,6,30,,,
6,7,15,,,
7,8,25,,,
8,9,20,,,
9,10,35,,,
