pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,25,,,
1,2,10,,,
2,3,5,,,
3,4,15,,,
4,5,30,,,
5,6,40,,,
6,7,20,,,
