pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,40,,,
3,4,20,,,
4,5,25,,,
5,6,5,,,
6,7,50,,,
7,8,15,,,
8,9,35,,,
9,10,30,,,
