Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
6859,2023-02-08 07:13:55,1.12.0,PRexp,1,3.79,,17,Left,Left,5916,531,413,14,,,0.19,2023-02-08 07:13:55
6860,2023-02-08 07:13:56,1.12.0,PRexp,1,3.79,,17,Left,Left,5917,531,413,14,,,0.11,2023-02-08 07:13:56
6861,2023-02-08 07:13:58,1.12.0,PRexp,1,3.79,,17,Left,Left,5918,531,413,14,,,0.53,2023-02-08 07:13:58
6862,2023-02-08 07:13:59,1.12.0,PRexp,1,3.79,,17,Left,Left,5919,531,413,14,,,0.46,2023-02-08 07:13:59
6863,2023-02-08 07:14:01,1.12.0,PRexp,1,3.79,,17,Left,Left,5920,531,413,14,,,0.68,2023-02-08 07:14:01
6864,2023-02-08 07:14:02,1.12.0,PRexp,1,3.8,,17,Left,Left,5921,531,413,14,,,0.24,2023-02-08 07:14:02
6865,2023-02-08 07:14:05,1.12.0,PRexp,1,3.8,,17,Left,Left,5922,531,413,14,,,1.49,2023-02-08 07:14:05
6866,2023-02-08 07:14:06,1.12.0,PRexp,1,3.8,,17,Left,Left,5923,531,413,14,,,0.16,2023-02-08 07:14:06
6867,2023-02-08 07:14:07,1.12.0,PRexp,1,3.79,,17,Left,Left,5924,531,413,14,,,0.14,2023-02-08 07:14:07
6868,2023-02-08 07:14:09,1.12.0,PRexp,1,3.79,,17,Left,Left,5925,531,413,14,,,0.3,2023-02-08 07:14:09
6869,2023-02-08 07:14:11,1.12.0,PRexp,1,3.79,,17,Left,Left,5926,531,413,14,,,0.09,2023-02-08 07:14:11
6870,2023-02-08 07:14:13,1.12.0,PRexp,1,3.79,,17,Left,Left,5927,531,413,14,,,0.02,2023-02-08 07:14:13
6871,2023-02-08 07:14:14,1.12.0,PRexp,1,3.79,,17,Left,Left,5928,531,413,14,,,0.0,2023-02-08 07:14:14
6872,2023-02-08 07:14:18,1.12.0,PRexp,1,3.79,,17,Left,Left,5929,531,413,14,,,0.36,2023-02-08 07:14:18
6873,2023-02-08 07:14:20,1.12.0,PRexp,1,3.79,,17,Left,Left,5930,531,413,14,,,0.0,2023-02-08 07:14:20
6874,2023-02-08 07:55:19,1.12.0,PRexp,1,3.79,,1,Left,Left,5931,531,413,0,,,0.02,2023-02-08 07:55:19
6875,2023-02-08 07:55:49,1.12.0,PRexp,1,3.79,5.0,1,Pellet,Left,5931,531,414,1,22.42,3789.0,,2023-02-08 07:55:49
6876,2023-02-08 07:57:16,1.12.0,PRexp,1,3.79,,1,Left,Left,5932,531,414,1,,,0.12,2023-02-08 07:57:16
6877,2023-02-08 07:57:17,1.12.0,PRexp,1,3.79,2.0,1,Pellet,Left,5932,531,415,2,0.75,88.0,,2023-02-08 07:57:17
6878,2023-02-08 07:58:36,1.12.0,PRexp,1,3.79,,2,Left,Left,5933,531,415,2,,,0.04,2023-02-08 07:58:36
6879,2023-02-08 07:58:37,1.12.0,PRexp,1,3.79,,2,Left,Left,5934,531,415,2,,,0.1,2023-02-08 07:58:37
6880,2023-02-08 07:58:58,1.12.0,PRexp,1,3.79,5.0,2,Pellet,Left,5934,531,416,3,13.57,101.0,,2023-02-08 07:58:58
6881,2023-02-08 07:59:57,1.12.0,PRexp,1,3.79,,2,Left,Left,5935,531,416,3,,,0.65,2023-02-08 07:59:57
6882,2023-02-08 07:59:59,1.12.0,PRexp,1,3.79,,2,Left,Left,5936,531,416,3,,,0.41,2023-02-08 07:59:59
6883,2023-02-08 08:00:00,1.12.0,PRexp,1,3.79,2.0,2,Pellet,Left,5936,531,417,4,0.06,62.0,,2023-02-08 08:00:00
6884,2023-02-08 08:00:35,1.12.0,PRexp,1,3.78,,3,Left,Left,5937,531,417,4,,,0.11,2023-02-08 08:00:35
6885,2023-02-08 08:00:36,1.12.0,PRexp,1,3.78,,3,Left,Left,5938,531,417,4,,,0.23,2023-02-08 08:00:36
6886,2023-02-08 08:00:42,1.12.0,PRexp,1,3.79,,3,Left,Left,5939,531,417,4,,,0.2,2023-02-08 08:00:42
6887,2023-02-08 08:00:44,1.12.0,PRexp,1,3.79,2.0,3,Pellet,Left,5939,531,418,5,0.61,44.0,,2023-02-08 08:00:44
6888,2023-02-08 08:03:07,1.12.0,PRexp,1,3.79,,4,Left,Left,5940,531,418,5,,,1.28,2023-02-08 08:03:07
6889,2023-02-08 08:03:41,1.12.0,PRexp,1,3.78,,4,Right,Left,5940,532,418,5,,,0.22,2023-02-08 08:03:41
6890,2023-02-08 08:03:45,1.12.0,PRexp,1,3.79,,4,Right,Left,5940,533,418,5,,,0.27,2023-02-08 08:03:45
