Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
7905,2023-02-07 07:02:50,1.12.0,PRexp,4,3.9,,5,Right,Left,7110,287,509,6,,,0.29,2023-02-07 07:02:50
7906,2023-02-07 07:02:52,1.12.0,PRexp,4,3.91,,5,Left,Left,7111,287,509,6,,,0.1,2023-02-07 07:02:52
7907,2023-02-07 07:26:25,1.12.0,PRexp,4,3.9,,5,Left,Left,7112,287,509,6,,,0.24,2023-02-07 07:26:25
7908,2023-02-07 07:26:28,1.12.0,PRexp,4,3.9,,5,Left,Left,7113,287,509,6,,,0.31,2023-02-07 07:26:28
7909,2023-02-07 07:26:29,1.12.0,PRexp,4,3.9,1.0,5,Pellet,Left,7113,287,510,7,0.75,2686.0,,2023-02-07 07:26:29
7910,2023-02-07 07:26:56,1.12.0,PRexp,4,3.9,,6,Left,Left,7114,287,510,7,,,0.1,2023-02-07 07:26:56
7911,2023-02-07 07:26:57,1.12.0,PRexp,4,3.9,,6,Left,Left,7115,287,510,7,,,0.45,2023-02-07 07:26:57
7912,2023-02-07 07:26:58,1.12.0,PRexp,4,3.9,,6,Left,Left,7116,287,510,7,,,0.18,2023-02-07 07:26:58
7913,2023-02-07 07:26:59,1.12.0,PRexp,4,3.9,,6,Left,Left,7117,287,510,7,,,0.21,2023-02-07 07:26:59
7914,2023-02-07 07:27:01,1.12.0,PRexp,4,3.9,,6,Left,Left,7118,287,510,7,,,0.32,2023-02-07 07:27:01
7915,2023-02-07 07:27:02,1.12.0,PRexp,4,3.9,,6,Left,Left,7119,287,510,7,,,0.19,2023-02-07 07:27:02
7916,2023-02-07 07:27:03,1.12.0,PRexp,4,3.89,1.0,6,Pellet,Left,7119,287,511,8,0.95,34.0,,2023-02-07 07:27:03
7917,2023-02-07 07:27:26,1.12.0,PRexp,4,3.89,,7,Left,Left,7120,287,511,8,,,0.08,2023-02-07 07:27:26
7918,2023-02-07 07:27:27,1.12.0,PRexp,4,3.9,,7,Left,Left,7121,287,511,8,,,0.72,2023-02-07 07:27:27
7919,2023-02-07 07:27:31,1.12.0,PRexp,4,3.89,,7,Left,Left,7122,287,511,8,,,0.48,2023-02-07 07:27:31
7920,2023-02-07 07:27:33,1.12.0,PRexp,4,3.9,,7,Left,Left,7123,287,511,8,,,0.13,2023-02-07 07:27:33
7921,2023-02-07 07:27:35,1.12.0,PRexp,4,3.9,,7,Left,Left,7124,287,511,8,,,0.39,2023-02-07 07:27:35
7922,2023-02-07 07:27:38,1.12.0,PRexp,4,3.9,,7,Left,Left,7125,287,511,8,,,0.29,2023-02-07 07:27:38
7923,2023-02-07 07:27:52,1.12.0,PRexp,4,3.89,,7,Left,Left,7126,287,511,8,,,0.12,2023-02-07 07:27:52
7924,2023-02-07 07:27:53,1.12.0,PRexp,4,3.91,1.0,7,Pellet,Left,7126,287,512,9,0.41,50.0,,2023-02-07 07:27:53
7925,2023-02-07 07:45:49,1.12.0,PRexp,4,3.9,,9,Left,Left,7127,287,512,9,,,0.26,2023-02-07 07:45:49
7926,2023-02-07 07:45:52,1.12.0,PRexp,4,3.9,,9,Left,Left,7128,287,512,9,,,0.75,2023-02-07 07:45:52
7927,2023-02-07 09:00:04,1.12.0,PRexp,4,3.89,,1,Left,Left,7129,287,512,0,,,0.17,2023-02-07 09:00:04
