TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,ToneStart_5000,ToneStart_10000,ToneStart_20000,ToneStart,PelletGrab,Xpos,Ypos,Speed_cm,DistFromFED,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,1000.781,1052.12,0,0,0,0,0,0,0.0,49.20303037220219,60.82215121400577,-16.18598906635054,65.38901943855274,11.834238003719802,2.278936558456808,0,0,0,0,0,645.4425469258985,203.04343471715256,0.058493440107529215,4.378475351555846,0,0,5.343103419876288,3.7107134559788584,2.324145445491638
66.667,,994.38,1047.006,0,0,0,0,0,0,0.066667,44.14033417115036,54.489488463863154,-14.500741007695284,58.64107517884564,10.962182324738036,2.043757364764718,0,0,0,0,0,645.8340118553467,203.07025283629642,0.09216563971924566,4.3866379187762465,0,0,5.3496881093124395,3.719951337866949,2.324769725015253
133.33,,987.568,1045.028,0,0,0,0,0,0,0.13333,42.213604243603754,47.74573136365791,-12.70609253049546,54.919696774099215,10.481258202279431,1.9140599726452678,0,0,0,0,0,645.6418088533198,203.31591478641766,0.42278374646193106,4.385876839957858,0,0,5.350325039451015,3.715421332969796,2.3305707399243794
199.998,,982.18,1044.262,0,0,0,0,0,0,0.19999799999999998,41.49884753156721,42.42588925648681,-11.290376276971509,52.789223808538715,10.205931232015631,1.839808779253658,0,0,0,0,0,646.2379244864386,203.39006377611892,0.21888826663387598,4.39872124214835,0,0,5.360849970341562,3.7294893372639817,2.3323074088467393
266.668,,977.686,1038.713,0,0,0,0,0,0,0.266668,36.00106174515611,37.9999591927608,-10.112547874934748,46.113609620090855,9.343222970110114,1.607150431493863,0,0,0,0,0,646.2315254201927,203.5239830755319,0.3487415442371748,4.400272172688496,0,0,5.362749702839673,3.7293412619075594,2.335467607561806
333.332,,975.405,1037.764,0,0,0,0,0,0,0.333332,35.103240762551536,35.78693314403665,-9.523617436110749,44.62685819866228,9.151085932459589,1.5553342061287592,0,0,0,0,0,645.9349329332003,203.47049645866358,0.1527242824238319,4.393674043217109,0,0,5.357265133727056,3.7223414786955895,2.334211968528589
399.999,,970.481,1035.139,0,0,0,0,0,0,0.39999900000000005,32.529391516072906,30.930820424482363,-8.231308836058478,40.76070035213138,8.651451558471216,1.420590964329522,0,0,0,0,0,645.9369350620256,203.83519178493754,0.32158228289440083,4.3982986587214175,0,0,5.362753949419305,3.7223966790762013,2.34281754622785
466.665,,967.846,1029.149,0,0,0,0,0,0,0.466665,26.59051095611096,28.36361708790014,-7.548124745913923,34.138635702024885,7.79566365293205,1.1897989238130906,0,0,0,0,0,646.3252654651599,203.25091567286267,0.3063209350314654,4.398725809343069,0,0,5.360154800987001,3.731547263936132,2.3290220614651984
533.335,,956.958,1033.041,0,0,0,0,0,0,0.533335,30.53360293538458,17.543328343922326,-4.668629765786128,35.20223270117071,7.9331152630159405,1.2268673812640565,0,0,0,0,0,645.3918315789156,204.77064769072007,0.7304023706719145,4.399268225595151,0,0,5.3682142214185715,3.7095544221485026,2.364903150205013
600.003,,967.7,1030.845,0,0,0,0,0,0,0.6000030000000001,28.38866287524138,28.35294822550111,-7.545285548509069,35.93394842375045,8.027676929016366,1.2523691203160028,0,0,0,0,0,641.1537484312007,192.98754665914603,5.94618713724628,4.169216193837828,0,0,5.126245322902308,3.6092923938482855,2.0869528232972825
666.669,,965.921,1026.264,0,0,0,0,0,0,0.666669,23.858690799181204,26.64147687116497,-7.089828832884333,30.948519632065537,7.383396045442981,1.0786170740166927,0,0,0,0,0,625.4068466566005,160.98135869374025,12.006207562869617,3.5003797684703737,0,0,4.41301447629112,3.2370185332063204,1.3320546307098329
733.33,,964.315,1024.995,0,0,0,0,0,0,0.73333,22.64068443646238,25.102911386418327,-6.680385823113306,29.321070259575684,7.173076218705603,1.0218972469899241,0,0,0,0,0,604.0948639564865,147.14568780528066,7.73913772229711,2.91305890781047,0,0,3.8634283591082217,2.7338233273873214,1.0060428494884515
799.997,,959.72,1020.205,0,0,0,0,0,0,0.799997,17.901652221789504,20.575263026993866,-5.4754881506733994,23.377140372462904,6.404925562145327,0.8147395431895998,0,0,0,0,0,582.0414494871076,137.84974570538736,7.343233867879253,2.349049096188228,0,0,3.367967626989479,2.2132317922718547,0.7871700515008465
