TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,ToneStart_5000,ToneStart_10000,ToneStart_20000,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED
0.0,,634.819,711.585,0,0,0,0,0,0.0,0,0,89.68671474499399,41.460811719809044,27.383410808822752,62.30330393617124,12.25453470963345,2.4919009716650047,,,,0,0,0,0,0,
66.67,,632.373,703.9,0,0,0,0,0,0.06667000000000001,0,0,82.02847747652902,39.017641132800236,25.769783220067197,56.25869425646182,11.40627546775282,2.250139013910165,,,,0,0,0,0,0,
133.332,,627.659,699.566,0,0,0,0,0,0.133332,0,0,77.72122897046768,34.30647015705404,22.65822175062605,55.06300721984162,11.238480914762146,2.202315969221979,,,,0,0,0,0,0,
200.004,,626.042,698.257,0,0,0,0,0,0.200004,0,0,76.43897645257562,32.692299556459375,21.59211927381677,54.846857178758846,11.208147894154246,2.193670769635912,,,,0,0,0,0,0,
266.672,,622.228,698.066,0,0,0,0,0,0.266672,0,0,76.27471430796504,28.88112873688374,19.074976012258173,57.199738295706865,11.538335161530213,2.287777283594493,,,,0,0,0,0,0,
333.339,,619.476,692.7,0,0,0,0,0,0.333339,0,0,70.93544374343355,26.131957825644463,17.259246053749155,53.6761976896844,11.043865536265027,2.1468487339810762,,,,0,0,0,0,0,
400.004,,612.406,679.062,0,0,0,0,0,0.400004,0,0,57.324164361298244,19.064786780309532,12.5916300330567,44.73253432824154,9.788772899253306,1.7891353863317034,,,,0,0,0,0,0,
466.668,,611.925,677.152,0,0,0,0,0,0.466668,0,0,55.44087656563329,18.586615643318282,12.275814943067278,43.165061622566014,9.568804484510467,1.7264422944479594,,,,0,0,0,0,0,
533.335,,611.242,673.367,0,0,0,0,0,0.533335,0,0,51.6825819615874,17.90644458440829,11.82658606336225,39.85599589822515,9.10443279942302,1.594091944260494,,,,0,0,0,0,0,
599.999,,606.751,673.355,0,0,0,0,0,0.5999990000000001,0,0,51.69727814839928,13.418273348976754,8.862308019470861,42.83497012892842,9.522481698593587,1.7132398595566,,,,0,0,0,0,0,
666.667,,606.493,676.943,0,0,0,0,0,0.666667,0,0,55.31196793181164,13.1631022340556,8.693776541120673,46.61819139069097,10.053393133643212,1.8645546718154817,,,,0,0,0,0,0,
733.336,,605.247,679.336,0,0,0,0,0,0.733336,0,0,57.73165011261824,11.919931112342738,7.872706072195273,49.85894404042297,10.508178228371852,1.9941727525045327,,,,0,0,0,0,0,
800.003,,603.287,681.572,0,0,0,0,0,0.800003,0,0,59.99432349305266,9.962759856545404,6.5800638182868045,53.41425967476586,11.00710694410971,2.1363721853447437,,,,0,0,0,0,0,
866.666,,604.551,682.083,0,0,0,0,0,0.866666,0,0,60.53198727670565,11.229588381808867,7.416759163858379,53.11522811284727,10.965142896892086,2.1244120324695954,,,,0,0,0,0,0,
933.334,,603.881,684.222,0,0,0,0,0,0.933334,0,0,62.69764506591366,10.562417070004926,6.976116156416511,55.72152890949715,11.330893351433494,2.228654393264406,,,,0,0,0,0,0,
1000.0,,602.182,682.588,0,0,0,0,0,1.0,0,0,61.090294063831834,8.866245624124758,5.855855027338921,55.234439036492915,11.262538485148369,2.209172605764486,,,,0,0,0,0,0,
1066.667,,601.807,679.682,0,0,0,0,0,1.0666669999999998,0,0,58.210935472562596,8.49407417145676,5.610048972303047,52.60088650025955,10.892963707584649,2.103840276508015,,,,0,0,0,0,0,
1133.335,,602.002,681.658,0,0,0,0,0,1.133335,0,0,60.21356929445119,8.691902711999091,5.740707712449875,54.472861582001315,11.155663906240658,2.1787123335325345,,,,0,0,0,0,0,
1200.004,,601.735,687.572,0,0,0,0,0,1.2000039999999998,0,0,66.15419553184256,8.427731245751033,5.566231821013344,60.587963710829214,12.013815577015126,2.423293727679277,,,,0,0,0,0,0,
1266.67,,602.464,690.565,0,0,0,0,0,1.26667,0,0,69.17381259028025,9.159559603008915,6.049578515584827,63.12423407469542,12.36973843887986,2.5247351310211967,,,,0,0,0,0,0,
1333.334,,602.449,700.506,0,0,0,0,0,1.333334,0,0,79.14142087262394,9.147387826205318,6.041539488363847,73.09988138426009,13.769652655423062,2.923724007263756,,,,0,0,0,0,0,
1400.002,,602.176,706.54,0,0,0,0,0,1.400002,0,0,85.20202277605676,8.877216169889152,5.863100684029151,79.33892209202762,14.645197019949787,3.1732624846753414,,,,0,0,0,0,0,
1466.668,,599.518,700.532,0,0,0,0,0,1.4666679999999999,0,0,79.22061590879673,6.222044379513022,4.109453813598417,75.11116209519831,14.051902054717875,3.00416777254164,,,,0,0,0,0,0,
1533.336,,599.485,693.275,0,0,0,0,0,1.533336,0,0,71.99020186914663,6.191872624772145,4.089526438854334,67.9006754302923,13.040031598881,2.715775061540878,,,,0,0,0,0,0,
1600.004,,599.679,692.154,0,0,0,0,0,1.600004,0,0,70.89577986188374,6.388700820819508,4.219524486913624,66.67625537497011,12.86820485027265,2.6668028027228017,,,,0,0,0,0,0,
1666.67,,599.152,682.309,0,0,0,0,0,1.66667,0,0,61.07734909273961,5.86452888281417,3.873327498085094,57.20402159465451,11.53893625045251,2.2879485996585736,,,,0,0,0,0,0,
1733.334,,597.393,675.475,0,0,0,0,0,1.7333340000000002,0,0,54.26990956512759,4.108356810761052,2.7134380817932993,51.55647148333429,10.746397636753033,2.0620675512900415,,,,0,0,0,0,0,
1800.006,,598.195,669.038,0,0,0,0,0,1.800006,0,0,47.85946526489863,4.91318502886088,3.2449985973956337,44.614466667502995,9.772204090067017,1.7844131180099783,,,,0,0,0,0,0,
1866.669,,596.407,663.929,0,0,0,0,0,1.8666690000000001,0,0,42.777009423764525,3.1280128159773994,2.0659556158266144,40.71105380793791,9.224425787008588,1.6282910878279997,,,,0,0,0,0,0,
1933.333,,596.871,656.714,0,0,0,0,0,1.9333330000000002,0,0,35.588546027693496,3.594840596311883,2.3742788207435073,33.21426720694999,8.172377953375669,1.3284474417429442,,,,0,0,0,0,0,
2000.004,,596.75,648.96,0,0,0,0,0,2.000004,0,0,27.86107746633661,3.4766686243667664,2.2962304211916176,25.564847045144994,7.098910568201009,1.0224990195949941,,,,0,0,0,0,0,
2066.672,,594.536,641.293,0,0,0,0,0,2.066672,0,0,20.22059976221317,1.2654964759616405,0.8358295792992181,19.38477018291395,6.231640787073944,0.7753188772106488,,,,0,0,0,0,0,
2133.336,,592.961,637.865,0,0,0,0,0,2.133336,0,0,16.819112521439138,-0.3066758913114427,-0.2025345527841375,17.021647074223274,5.900016228522645,0.6808027215868128,,,,0,0,0,0,0,
2200.0,,594.204,635.795,0,0,0,0,0,2.2,0,0,14.775617338248367,0.9391516922172514,0.62029041502779,14.155326923220576,5.49777643354657,0.5661605514588196,,,,0,0,0,0,0,
2266.666,,595.425,634.294,0,0,0,0,0,2.2666660000000003,0,0,13.301115010148806,2.1629793113773985,1.4285851860350036,11.872529824113801,5.177424278608305,0.47485713815659714,,,,0,0,0,0,0,
