TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,ToneStart_5000,ToneStart_10000,ToneStart_20000,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
0.0,,856.625,828.89,0,0,0,0,0,0.0,0,0,108.98008201537186,96.50428825600238,4.754472610967543,104.22560940440432,29.124549374063854,4.662305635645112,,,,0,0,0,0,0,,,
66.666,,850.697,825.577,0,0,0,0,0,0.066666,0,0,105.69496135509372,90.646992346478,4.465901498037652,101.22905985705606,28.40948485993535,4.528261518062804,,,,0,0,0,0,0,,,
133.331,,845.444,820.166,0,0,0,0,0,0.1333309999999999,0,0,100.31183419322144,85.46466369880568,4.210583964396315,96.10125022882512,27.185839249403344,4.2988801225993,,,,0,0,0,0,0,,,
200.0,,841.93,814.995,0,0,0,0,0,0.2,0,0,95.1687026213524,82.02130762677871,4.040940308131148,91.12776231322124,25.999019320781645,4.076401972840907,,,,0,0,0,0,0,,,
266.665,,837.639,811.464,0,0,0,0,0,0.266665,0,0,91.66556329688468,77.80091566886097,3.833014462637101,87.83254883424758,25.212684842388946,3.928997774760743,,,,0,0,0,0,0,,,
333.33,,833.124,806.484,0,0,0,0,0,0.3333299999999999,0,0,86.71341789354017,73.35649207991958,3.6140512616645855,83.09936663187558,24.08320889735882,3.717269177703276,,,,0,0,0,0,0,,,
400.0,,830.498,802.182,0,0,0,0,0,0.4,0,0,82.43926850127366,70.80104216518384,3.4881520349014687,78.95111646637218,23.0933148735126,3.5317062413461486,,,,0,0,0,0,0,,,
466.662,,827.515,798.015,0,0,0,0,0,0.4666619999999999,0,0,78.30010969138971,67.88855218562401,3.344662532615595,74.9554471587741,22.139831112636976,3.3529686773496987,,,,0,0,0,0,0,,,
533.333,,824.582,796.297,0,0,0,0,0,0.533333,0,0,76.60994856524349,65.02604013725306,3.203635290636848,73.40631327460663,21.77016238175199,3.2836715470206377,,,,0,0,0,0,0,,,
599.996,,820.579,794.731,0,0,0,0,0,0.599996,0,0,75.07177802573699,61.09348806150069,3.0098904386294025,72.06188758710759,21.44934302407973,3.223531592019636,,,,0,0,0,0,0,,,
666.665,,818.337,792.549,0,0,0,0,0,0.666665,0,0,72.91760391914238,58.92191077005998,2.9029034457432585,70.01470047339912,20.96082420079196,3.1319551352159234,,,,0,0,0,0,0,,,
733.333,,816.316,788.315,0,0,0,0,0,0.733333,0,0,68.71142332465001,56.97130088064205,2.8068028431143075,65.9046204815357,19.980038698676083,2.948099658442791,,,,0,0,0,0,0,,,
799.999,,814.786,784.587,0,0,0,0,0,0.799999,0,0,65.01123582687637,55.51165735492373,2.7348906564664506,62.276345170409925,19.114225909172745,2.7857966647025703,,,,0,0,0,0,0,,,
866.665,,813.84,781.354,0,0,0,0,0,0.866665,0,0,61.80604226196738,54.63598232041022,2.6917488170959003,59.11429344487148,18.359667726488187,2.6443491676389907,,,,0,0,0,0,0,,,
933.33,,811.262,777.658,0,0,0,0,0,0.93333,0,0,58.13784221444735,52.12827473828747,2.568201709513513,55.56964050493384,17.51380968469687,2.4857868385462054,,,,0,0,0,0,0,,,
1000.0,,810.546,774.362,0,0,0,0,0,1.0,0,0,54.86963818731715,51.4825409475543,2.536388374225926,52.33324981309122,16.741512046688392,2.3410139497336258,,,,0,0,0,0,0,,,
1066.664,,809.681,771.198,0,0,0,0,0,1.066664,0,0,51.73342559609523,50.687769370921615,2.4972324015831573,49.23619319451208,16.00246360073411,2.202473867221972,,,,0,0,0,0,0,,,
1133.329,,807.662,768.72,0,0,0,0,0,1.133329,0,0,49.28320736074568,48.73896740154805,2.4012208696631734,46.88198649108251,15.440680908358605,2.0971635577539294,,,,0,0,0,0,0,,,
1199.997,,807.136,766.647,0,0,0,0,0,1.199997,0,0,47.23798431568446,48.283137157930696,2.378763503202676,44.85922081248178,14.957989754980412,2.0066795406604188,,,,0,0,0,0,0,,,
