TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z
0.0,,393.876,415.041,0,0,0,0,0,0.0,0,0,0,0,0,9.432621189322845,13.883479437873234,9.110338255104324,0.3222829342185207,4.55998227639522,0.30184058998953545
66.67,,391.343,412.965,0,0,0,0,0,0.06667000000000001,0,0,0,0,0,7.370983512986186,11.369185113771891,7.4604584935954845,-0.0894749806092987,3.1904997464054365,-0.08379959988232273
133.336,,389.629,412.644,0,0,0,0,0,0.133336,0,0,0,0,0,7.064334827495031,9.673871848813747,6.347994046430318,0.7163407810647131,5.870595424625565,0.6709034237709011
200.005,,389.276,412.314,0,0,0,0,0,0.200005,0,0,0,0,0,6.7486766478735944,9.339541624260733,6.128606576211263,0.6200700716623313,5.550404725361373,0.5807391468594116
266.667,,388.4,411.717,0,0,0,0,0,0.266667,0,0,0,0,0,6.166006831721916,8.482191660057538,5.566013589022002,0.5999932426999139,5.483630376814555,0.5619357872777773
333.336,,387.933,411.028,0,0,0,0,0,0.333336,0,0,0,0,0,5.491328396469271,8.033825891679385,5.27179600283512,0.2195323936341511,4.21824004094568,0.20560749633555714
400.001,,386.61,410.875,0,0,0,0,0,0.400001,0,0,0,0,0,5.352638986330362,6.729441262059652,4.4158588991302885,0.9367800872000736,6.603763550371692,0.8773603073229973
466.672,,386.308,410.696,0,0,0,0,0,0.46667200000000003,0,0,0,0,0,5.187940755360387,6.446040581430907,4.229891392110474,0.9580493632499127,6.674503907573969,0.8972804773037658
533.337,,386.363,410.721,0,0,0,0,0,0.533337,0,0,0,0,0,5.2272311372698255,6.519620520767603,4.278174543212146,0.9490565940576792,6.644594487836054,0.8888581177233388
600.003,,385.983,410.862,0,0,0,0,0,0.6000030000000001,0,0,0,0,0,5.3825116415777075,6.158183051618153,4.0409993009644865,1.341512340613221,7.949879145027543,1.2564204721258476
666.669,,386.318,410.811,0,0,0,0,0,0.666669,0,0,0,0,0,5.345782061696127,6.511727913738184,4.272995415025539,1.072786646670588,7.056113342449816,1.0047399970126532
733.337,,387.064,411.299,0,0,0,0,0,0.733337,0,0,0,0,0,5.8480428331313306,7.276255681259784,4.774678483174795,1.0733643499565355,7.058034749492966,1.0052810566908272
800.002,,387.372,411.107,0,0,0,0,0,0.800002,0,0,0,0,0,5.670292894410352,7.602764983580187,4.988933864765948,0.6813590296444039,5.754248183410805,0.6381405580821642
866.669,,386.859,411.581,0,0,0,0,0,0.866669,0,0,0,0,0,6.158533322371625,7.108257227864556,4.664437909680823,1.4940954126908021,8.457361439981844,1.3993252294316914
933.333,,387.102,410.656,0,0,0,0,0,0.933333,0,0,0,0,0,5.247763057038924,7.369731046113031,4.836017011123845,0.4117460459150788,4.857531307354815,0.3856290738019587
1000.002,,386.361,410.983,0,0,0,0,0,1.000002,0,0,0,0,0,5.588983813415041,6.647188672978189,4.361884755866169,1.2270990575488723,7.569347316220022,1.1492644014933053
1066.671,,386.412,410.441,0,0,0,0,0,1.0666710000000001,0,0,0,0,0,5.061194531663489,6.716628740688122,4.407451323492801,0.6537432081706873,5.662399590590468,0.6122764028271409
1133.336,,386.053,410.094,0,0,0,0,0,1.1333360000000001,0,0,0,0,0,4.72839436788081,6.37605016291576,4.1839636843235395,0.5444306835572705,5.298832583433479,0.5098975505228255
1200.003,,386.203,410.423,0,0,0,0,0,1.200003,0,0,0,0,0,5.0715846083357405,6.544454616858161,4.294470675348475,0.7771139329872652,6.072723342154855,0.7278217464127973
1266.67,,385.864,410.076,0,0,0,0,0,1.26667,0,0,0,0,0,4.738764834666313,6.223841568015416,4.084084414881394,0.6546804197849188,5.665516701121616,0.6131541672898191
1333.338,,384.653,409.019,0,0,0,0,0,1.333338,0,0,0,0,0,3.695935267137884,5.031211310197023,3.301480522220208,0.3944547449176756,4.800021460466649,0.3694345566848843
1400.002,,383.965,408.943,0,0,0,0,0,1.400002,0,0,0,0,0,3.634094851446264,4.361562485259128,2.862057009629613,0.7720378418166507,6.055840562423229,0.7230676307240651
1466.67,,383.89,408.557,0,0,0,0,0,1.4666700000000001,0,0,0,0,0,3.2622452945855684,4.3048973137920825,2.824873328033656,0.43737196655191246,4.942761607400713,0.40962954724558914
1533.338,,384.188,408.592,0,0,0,0,0,1.5333379999999999,0,0,0,0,0,3.3113857544169605,4.621214712500148,3.032440783179581,0.2789449712373795,4.415842768566124,0.2612515456242425
1600.001,,384.871,408.676,0,0,0,0,0,1.600001,0,0,0,0,0,3.40951517931353,5.322513327887236,3.492632886073057,-0.08311770675952701,3.2116436641350177,-0.07784556668415452
