TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
0.0,,566.473,587.27,0,0,0,0,0,0.0,0,0,0,0,0,17.367700133905714,8.258386997334469,3.4876720587555083,13.880028075150204,6.748224369035805,0.7945981088541202,,,,0,0,,,
66.671,,560.931,582.517,0,0,0,0,0,0.066671,0,0,0,0,0,12.617918720109742,2.753159217526445,1.1629258256890609,11.45499289442068,6.171992545609764,0.6557706974051316,,,,0,0,,,
133.338,,560.734,582.82,0,0,0,0,0,0.1333379999999999,0,0,0,0,0,12.924136995837443,2.5928925624559724,1.095248461997084,11.82888853384036,6.260836850956721,0.6771753203917076,,,,0,0,,,
200.001,,559.01,578.719,0,0,0,0,0,0.200001,0,0,0,0,0,8.826354961116408,0.9055870783136016,0.3827335170788337,8.443621444037575,5.456436715469039,0.4833769495988391,,,,0,0,,,
266.667,,565.313,585.828,0,0,0,0,0,0.266667,0,0,0,0,0,15.938572953859875,7.245246658606902,3.059843405659032,12.878729548200845,6.510297892520002,0.7372761847481585,,,,0,0,,,
333.335,,553.722,576.704,0,0,0,0,0,0.333335,0,0,0,0,0,6.817790925791087,-4.309129211171808,-1.8193355952938768,8.637126521084964,5.5024169900132085,0.4944546482492333,,,,0,0,,,
400.003,,558.983,578.534,0,0,0,0,0,0.400003,0,0,0,0,0,8.651008780373218,0.9884584080973582,0.4177284018410249,8.233280378532193,5.406455908311807,0.4713354312416705,,,,0,0,,,
466.67,,553.131,579.144,0,0,0,0,0,0.46667,0,0,0,0,0,9.264226469348388,-4.826990992144488,-2.0380181408156,11.302244610163989,6.135696815526395,0.6470262267784203,,,,0,0,,,
533.338,,549.928,579.479,0,0,0,0,0,0.533338,0,0,0,0,0,9.6024440892528,-7.993476276003548,-3.375160767813023,12.977604857065822,6.533792438072095,0.7429365575522406,,,,0,0,,,
600.005,,556.441,579.212,0,0,0,0,0,0.600005,0,0,0,0,0,9.338661543565877,-1.4439984995618715,-0.6094489029596943,9.948110446525572,5.8139302677758895,0.5695053140154108,,,,0,0,,,
666.669,,555.248,580.438,0,0,0,0,0,0.666669,0,0,0,0,0,10.567878735781278,-2.600558714580643,-1.097840866148031,11.66571960192931,6.2220649882189205,0.6678342928362669,,,,0,0,,,
733.336,,560.718,573.91,0,0,0,0,0,0.733336,0,0,0,0,0,4.0430959554639685,2.9058463979025646,1.227402530670975,2.815693424792993,4.11914014739854,0.1611916530960822,,,,0,0,,,
800.003,,550.621,577.55,0,0,0,0,0,0.800003,0,0,0,0,0,7.686313057838106,-7.15478476357589,-3.0209983221877503,10.707311380025857,5.994330016915205,0.6129677351815208,,,,0,0,,,
866.671,,552.231,569.225,0,0,0,0,0,0.8666710000000001,0,0,0,0,0,-0.635469908836626,-5.5084516151340495,-2.3257851651136106,1.6903152562769843,3.851730124137453,0.0967664689677095,,,,0,0,,,
933.338,,549.392,578.478,0,0,0,0,0,0.933338,0,0,0,0,0,8.620746958936707,-8.31115520761955,-3.509310148935384,12.13005710787209,6.33239990206294,0.6944164944063586,,,,0,0,,,
999.999,,559.582,577.505,0,0,0,0,0,0.999999,0,0,0,0,0,7.650963419919208,1.91510178152771,0.8090311377022679,6.84193228221694,5.075846663163083,0.3916841106460587,,,,0,0,,,
1066.667,,558.636,571.449,0,0,0,0,0,1.0666669999999998,0,0,0,0,0,1.5981801013772383,1.005326461246682,0.4248514391768974,1.173328662200341,3.728884843310647,0.0671702341667371,,,,0,0,,,
1133.336,,547.343,568.458,0,0,0,0,0,1.133336,0,0,0,0,0,-1.3896032861995309,-10.251484396120418,-4.328671881509067,2.939068595309536,4.148456299195917,0.1682545838510647,,,,0,0,,,
1200.003,,551.533,576.806,0,0,0,0,0,1.200003,0,0,0,0,0,6.9616131124550975,-6.025332379258998,-2.5440534470821152,9.505666559537213,5.708797670200001,0.5441764692917872,,,,0,0,,,
1266.669,,549.76,566.839,0,0,0,0,0,1.266669,0,0,0,0,0,-3.0021706543990376,-7.762216904546108,-3.2775046173029807,0.2753339629039431,3.5155052077843627,0.0157622048775586,,,,0,0,,,
1333.338,,549.602,568.283,0,0,0,0,0,1.333338,0,0,0,0,0,-1.5549543937852377,-7.884135767778275,-3.328988484887585,1.7740340911023478,3.87162321980463,0.1015591702120825,,,,0,0,,,
1400.005,,547.197,566.727,0,0,0,0,0,1.4000050000000002,0,0,0,0,0,-3.107738346910992,-10.253091636924864,-4.329350586760731,1.2216122398497395,3.740357886758238,0.0699343524582276,,,,0,0,,,
1466.671,,548.488,568.769,0,0,0,0,0,1.466671,0,0,0,0,0,-1.062522465522079,-8.926083930115055,-3.768982098653628,2.7064596331315487,4.093184240676446,0.1549382821513545,,,,0,0,,,
1533.337,,550.63,569.81,0,0,0,0,0,1.533337,0,0,0,0,0,-0.0183067013706477,-6.748112067676516,-2.849268676168269,2.830961974797621,4.122768228541508,0.1620657407343012,,,,0,0,,,
1600.004,,555.535,569.702,0,0,0,0,0,1.600004,0,0,0,0,0,-0.1230910062163275,-1.8071754721294155,-0.7628111856266463,0.6397201794103188,3.6020899038074607,0.0366224363526553,,,,0,0,,,
1666.669,,563.421,578.104,0,0,0,0,0,1.6666690000000002,0,0,0,0,0,8.282124475243904,6.114724278853032,2.582446693143392,5.699677782100513,4.804426521035214,0.3262927972633732,,,,0,0,,,
1733.336,,555.392,574.648,0,0,0,0,0,1.733336,0,0,0,0,0,4.829339935949975,-1.8784106220720105,-0.7928923472269654,5.62223228317694,4.786024082416801,0.3218592293591332,,,,0,0,,,
