TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,ToneStart_5000,ToneStart_10000,ToneStart_20000,ToneStart,PelletGrab,Xpos,Ypos,Speed_cm,DistFromFED,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,713.65,677.466,0,0,0,0,0,0.0,33.75595977786884,53.78500404970066,4.18482867005548,29.571131107813358,7.914075336972457,1.321319252629604,0,0,0,0,0,,,,,0,0,,,
66.669,,706.548,676.41,0,0,0,0,0,0.06666899999999999,32.71237240870539,46.723784532286686,3.6354194128128183,29.076952995892572,7.837741579700348,1.2992380190397075,0,0,0,0,0,,,,,0,0,,,
133.334,,701.405,676.906,0,0,0,0,0,0.133334,33.22078228896055,41.6215382440065,3.2384311395265963,29.982351149433953,7.977594886068804,1.3396936920813594,0,0,0,0,0,,,,,0,0,,,
199.998,,697.995,674.939,0,0,0,0,0,0.19999799999999998,31.26618997771004,38.25226703748922,2.976279709953185,28.289910267756856,7.7161701723007425,1.2640707910585947,0,0,0,0,0,,,,,0,0,,,
266.669,,695.514,672.874,0,0,0,0,0,0.266669,29.2135969640575,35.81197581302547,2.7864090246158986,26.427187939441602,7.428442750456238,1.1808392479115803,0,0,0,0,0,,,,,0,0,,,
333.331,,691.598,666.901,0,0,0,0,0,0.33333100000000004,23.25300027100093,31.936654818145826,2.484883597722858,20.768116673278072,6.554308178332307,0.9279764206925987,0,0,0,0,0,,,,,0,0,,,
400.002,,688.856,665.046,0,0,0,0,0,0.400002,21.410403248059993,29.23531505285132,2.2747016213163156,19.13570162674368,6.302155420199896,0.8550356386371488,0,0,0,0,0,,,,,0,0,,,
466.665,,685.616,664.21,0,0,0,0,0,0.466665,20.586802733026843,26.035946164798247,2.0257697080546437,18.5610330249722,6.213388612238646,0.8293578691722615,0,0,0,0,0,,,,,0,0,,,
533.334,,683.595,662.553,0,0,0,0,0,0.533334,18.942201330418584,24.055556703959724,1.8716824006076487,17.070518929810934,5.983154738244376,0.7627576108638466,0,0,0,0,0,,,,,0,0,,,
599.999,,682.118,662.947,0,0,0,0,0,0.5999990000000001,19.34859718081168,22.6191405937451,1.7599197927099366,17.588677388101743,6.063192645690185,0.785910352108554,0,0,0,0,0,,,,,0,0,,,
666.669,,680.803,659.944,0,0,0,0,0,0.666669,16.357991958034063,21.344703328431024,1.6607602028385533,14.69723175519551,5.616562364454376,0.6567126298854319,0,0,0,0,0,,,,,0,0,,,
733.331,,678.521,656.182,0,0,0,0,0,0.7333310000000001,12.608383245751384,19.1032370161588,1.4863594015714465,11.122023844179937,5.064314002389062,0.49696253349056113,0,0,0,0,0,,,,,0,0,,,
799.999,,675.947,651.232,0,0,0,0,0,0.799999,7.670773646797102,16.56975018652372,1.2892374860338827,6.381536160763219,4.3320694382361395,0.28514454045826176,0,0,0,0,0,,,,,0,0,,,
866.67,,673.449,646.207,0,0,0,0,0,0.8666699999999999,2.658162603600431,14.112241027404139,1.0980271322912754,1.5601354713091555,3.5873265589737016,0.06971113236877402,0,0,0,0,0,,,,,0,0,,,
933.334,,672.609,646.025,0,0,0,0,0,0.933334,2.488548258509468,13.31270348355838,1.035817859938446,1.4527303985710218,3.570736118089302,0.0649119791026522,0,0,0,0,0,,,,,0,0,,,
1000.003,,667.625,642.199,0,0,0,0,0,1.000003,-1.3250671584878546,8.3691448554124,0.6511765288869045,-1.976243687374759,3.0410759221903576,-0.0883039888631801,0,0,0,0,0,,,,,0,0,,,
1066.67,,669.837,639.917,0,0,0,0,0,1.06667,-3.594684947471137,10.621560910938456,0.8264292920981556,-4.421114239569293,2.6634263444549973,-0.19754751150774508,0,0,0,0,0,,,,,0,0,,,
1133.332,,667.917,639.465,0,0,0,0,0,1.133332,-4.034305664931594,8.741949851002687,0.6801832061638948,-4.714488871095488,2.6181099142600783,-0.21065629478206002,0,0,0,0,0,,,,,0,0,,,
1200.003,,667.021,638.027,0,0,0,0,0,1.200003,-5.459926710827403,7.886320171483703,0.6136095972369963,-6.0735363080644,2.4081831800070352,-0.2713822621844184,0,0,0,0,0,,,,,0,0,,,
1266.667,,666.131,635.936,0,0,0,0,0,1.266667,-7.538551055613652,7.036662198815179,0.5475006263258243,-8.086051681939477,2.0973178131483934,-0.36130696949504243,0,0,0,0,0,,,,,0,0,,,
1333.333,,667.309,641.245,0,0,0,0,0,1.333333,-2.217177027894877,8.254981397847814,0.6422938620515043,-2.8594708899463814,2.9046472757754547,-0.1277690029997451,0,0,0,0,0,,,,,0,0,,,
1400.001,,666.296,642.684,0,0,0,0,0,1.400001,-0.7658046274602839,7.2822777821621685,0.5666111319376528,-1.3324157593979367,3.1405255003761776,-0.05953599099678713,0,0,0,0,0,,,,,0,0,,,
1466.671,,662.375,642.12,0,0,0,0,0,1.466671,-1.3174338540995905,3.401551365330647,0.26466512771341044,-1.582098981813001,3.1019579110091184,-0.07069252226482692,0,0,0,0,0,,,,,0,0,,,
1533.333,,666.266,641.265,0,0,0,0,0,1.533333,-2.160066562676093,7.332796125580558,0.5705417908650773,-2.7306083535411703,2.9245521670244625,-0.12201107139834283,0,0,0,0,0,,,,,0,0,,,
1600.003,,663.401,638.167,0,0,0,0,0,1.6000029999999998,-5.245699784441626,4.508021738044022,0.3507557901173034,-5.59645557455893,2.4818759722050907,-0.25006498636087476,0,0,0,0,0,,,,,0,0,,,
1666.67,,666.362,635.805,0,0,0,0,0,1.66667,-7.595335559647651,7.509221578831898,0.5842688499078498,-8.179604409555502,2.082867089755913,-0.3654871619836012,0,0,0,0,0,,,,,0,0,,,
1733.331,,667.703,633.692,0,0,0,0,0,1.733331,-9.695974443886598,8.890393859502296,0.6917331250200873,-10.387707568906686,1.7417900437844671,-0.4641512680540002,0,0,0,0,0,,,,,0,0,,,
1800.003,,666.58,633.537,0,0,0,0,0,1.800003,-9.838613284641156,7.807548837846525,0.6074806701021173,-10.446093954743272,1.7327713274614744,-0.46676013192924637,0,0,0,0,0,,,,,0,0,,,
1866.671,,665.174,631.57,0,0,0,0,0,1.866671,-11.793254862873823,6.441677491620567,0.5012069081877071,-12.294461771061531,1.447261190859085,-0.549350276105265,0,0,0,0,0,,,,,0,0,,,
1933.334,,665.487,629.699,0,0,0,0,0,1.933334,-13.651899363163466,6.794779239409422,0.5286805433728669,-14.180579906536332,1.1559199103231048,-0.633627208091753,0,0,0,0,0,,,,,0,0,,,
2000.003,,667.528,631.765,0,0,0,0,0,2.000003,-11.573544746395669,8.875860713479028,0.6906023508043372,-12.264147097200006,1.4519437797890853,-0.5479957333228336,0,0,0,0,0,,,,,0,0,,,
2066.668,,666.848,631.745,0,0,0,0,0,2.066668,-11.58119286539818,8.23591591638342,0.6408104423696073,-12.222003307767787,1.4584535658671087,-0.5461126332089917,0,0,0,0,0,,,,,0,0,,,
2133.334,,670.022,636.024,0,0,0,0,0,2.1333339999999996,-7.289842793232765,11.449947869578978,0.8908832384078259,-8.18072603164059,2.0826938371857793,-0.3655372791350148,0,0,0,0,0,,,,,0,0,,,
2200.0,,674.306,636.061,0,0,0,0,0,2.2,-7.24049471480771,15.77395598766293,1.2273194705075436,-8.467814185315254,2.0383484546007002,-0.37836516533487646,0,0,0,0,0,,,,,0,0,,,
2266.671,,673.551,638.135,0,0,0,0,0,2.2666709999999997,-5.154147703842796,15.058943284203906,1.1716867859043099,-6.3258344897471055,2.369211668124597,-0.28265563700546875,0,0,0,0,0,,,,,0,0,,,
2333.331,,670.713,633.169,0,0,0,0,0,2.3333310000000003,-10.107804722769515,12.260900181687134,0.9539806547047963,-11.061785377474312,1.6376678850313824,-0.49427091356175834,0,0,0,0,0,,,,,0,0,,,
2400.003,,671.504,635.11,0,0,0,0,0,2.4000030000000003,-8.154461512489206,13.091840481676286,1.0186332677419885,-9.173094780231194,1.9294065236604823,-0.40987903692710187,0,0,0,0,0,,,,,0,0,,,
2466.668,,673.12,635.953,0,0,0,0,0,2.4666680000000003,-7.299121590370532,14.747752814998307,1.1474741234703487,-8.446595713840882,2.041625988777425,-0.3774170658263307,0,0,0,0,0,,,,,0,0,,,
2533.333,,668.526,630.74,0,0,0,0,0,2.5333330000000003,-12.499783659986065,10.193641391865526,0.7931343428965768,-13.292918002882642,1.2930335676436047,-0.5939640393462882,0,0,0,0,0,,,,,0,0,,,
2600.001,,665.475,628.801,0,0,0,0,0,2.6000010000000002,-14.426447165860964,7.182508021263743,0.5588483892421027,-14.985295555103066,1.031618636128657,-0.6695841106352137,0,0,0,0,0,,,,,0,0,,,
2666.671,,664.862,627.86,0,0,0,0,0,2.666671,-15.355112292873855,6.609352118083962,0.514253095430082,-15.869365388303937,0.895059831861005,-0.7090867758196613,0,0,0,0,0,,,,,0,0,,,
2733.336,,663.596,625.66,0,0,0,0,0,2.733336,-17.542780335598195,5.383169516044859,0.41884803530289055,-17.961628370901085,0.5718761642513225,-0.8025748250386983,0,0,0,0,0,,,,,0,0,,,
2800.002,,662.924,624.08,0,0,0,0,0,2.800002,-19.110450183562307,4.750963816463127,0.3696582794858978,-19.480108463048204,0.33732249224436295,-0.8704246808042299,0,0,0,0,0,,,,,0,0,,,
2866.665,,663.991,622.718,0,0,0,0,0,2.866665,-20.460122576104823,5.8577326482389935,0.4557721639651613,-20.915894740069984,0.1155422099513817,-0.9345795500776949,0,0,0,0,0,,,,,0,0,,,
2933.334,,664.535,622.66,0,0,0,0,0,2.933334,-20.505795848652383,6.441481394369134,0.5011916505335595,-21.006987499185943,0.10147146825750666,-0.938649824425884,0,0,0,0,0,,,,,0,0,,,
2999.999,,664.991,622.44,0,0,0,0,0,2.999999,-20.713471849850634,6.9372041071819694,0.5397621335461825,-21.253233983396818,0.06343473837928008,-0.9496527928038575,0,0,0,0,0,,,,,0,0,,,
3066.67,,664.535,621.102,0,0,0,0,0,3.0666700000000002,-22.03914873075462,6.520906759658033,0.507371465626687,-22.546520196381305,-0.13633411718902624,-1.007440368333064,0,0,0,0,0,,,,,0,0,,,
3133.332,,664.983,621.637,0,0,0,0,0,3.133332,-21.491829263363343,7.008580436351622,0.5453156807623676,-22.03714494412571,-0.05765291717600326,-0.9846800848266768,0,0,0,0,0,,,,,0,0,,,
3200.001,,664.932,622.284,0,0,0,0,0,3.2000010000000003,-20.83251049031969,6.997234676141716,0.5444329060979622,-21.376943396417655,0.04432582991487356,-0.9551804687172334,0,0,0,0,0,,,,,0,0,,,
3266.669,,663.627,622.519,0,0,0,0,0,3.266669,-20.585193889704897,5.731864732956865,0.4459788134433009,-21.031172703148197,0.09773567453395325,-0.9397304856798478,0,0,0,0,0,,,,,0,0,,,
3333.335,,664.467,622.446,0,0,0,0,0,3.333335,-20.645879645741957,6.611470029396855,0.514417882840876,-21.160297528582834,0.07779026852594519,-0.9455001370745536,0,0,0,0,0,,,,,0,0,,,
3399.999,,663.236,621.573,0,0,0,0,0,3.3999989999999998,-21.506567757864104,5.420050583017883,0.4217176245518857,-21.92828538241599,-0.04083780707733921,-0.9798159410035862,0,0,0,0,0,,,,,0,0,,,
3466.671,,662.917,621.291,0,0,0,0,0,3.466671,-21.77625637909432,5.140612343388284,0.3999754941307201,-22.176231873225042,-0.07913713031592706,-0.9908948703395488,0,0,0,0,0,,,,,0,0,,,
3533.334,,661.595,621.225,0,0,0,0,0,3.533334,-21.829948648150662,3.8581452390108097,0.30019113003942777,-22.130139778190088,-0.07201746493680745,-0.9888353491010248,0,0,0,0,0,,,,,0,0,,,
3600.002,,661.625,623.182,0,0,0,0,0,3.600002,-19.860641979700745,3.927657589773503,0.30559964749275703,-20.1662416271935,0.23133818993555078,-0.9010829926674953,0,0,0,0,0,,,,,0,0,,,
3666.669,,661.784,625.297,0,0,0,0,0,3.6666689999999997,-17.73333748111338,4.126145852915897,0.32104333805576996,-18.05438081916915,0.557549056875059,-0.8067192588507935,0,0,0,0,0,,,,,0,0,,,
3733.332,,662.159,626.096,0,0,0,0,0,3.733332,-16.922035705477583,4.540608269502286,0.3532912362963164,-17.2753269417739,0.6778864577927995,-0.7719089946344849,0,0,0,0,0,,,,,0,0,,,
3800.001,,664.02,626.419,0,0,0,0,0,3.8000010000000004,-16.58673480712696,6.441050773539814,0.5011581454046783,-17.087892952531636,0.7068386519394626,-0.7635339298566098,0,0,0,0,0,,,,,0,0,,,
3866.669,,662.865,625.529,0,0,0,0,0,3.866669,-17.46443607744652,5.325469236436902,0.41435857456825087,-17.878794652014772,0.584671164351261,-0.7988735872628299,0,0,0,0,0,,,,,0,0,,,
3933.337,,661.798,626.463,0,0,0,0,0,3.933337,-16.518139331526754,4.297864265342469,0.3344041584060659,-16.85254348993282,0.7431921615724809,-0.7530178702952061,0,0,0,0,0,,,,,0,0,,,
3999.998,,660.794,627.373,0,0,0,0,0,3.999998,-15.595845859800306,3.333231742895009,0.2593494123578836,-15.85519527215819,0.8972486341982491,-0.708453616161104,0,0,0,0,0,,,,,0,0,,,
4066.669,,663.249,628.398,0,0,0,0,0,4.066669,-14.558552526912308,5.827581722409832,0.453426223901391,-15.011978750813698,1.0274969874042674,-0.6707763890125811,0,0,0,0,0,,,,,0,0,,,
4133.335,,662.112,628.058,0,0,0,0,0,4.133335,-14.8862620985185,4.729905363409216,0.3680197935243021,-15.254281892042803,0.990069370270515,-0.6816031580093901,0,0,0,0,0,,,,,0,0,,,
4200.002,,659.851,627.547,0,0,0,0,0,4.2000020000000005,-15.384973467903592,2.5082062224765878,0.1951570080201512,-15.580130475923744,0.9397368158545579,-0.6961629665521961,0,0,0,0,0,,,,,0,0,,,
4266.669,,662.577,626.319,0,0,0,0,0,4.266669,-16.60068681905409,5.273483724880975,0.41031376032322064,-17.01100057937731,0.7187159156361994,-0.7600981677053831,0,0,0,0,0,,,,,0,0,,,
4333.332,,659.783,624.657,0,0,0,0,0,4.333332,-18.25040288859941,2.518735531379434,0.19597625741033445,-18.446379146009743,0.49699861077007496,-0.824234819360287,0,0,0,0,0,,,,,0,0,,,
4400.003,,660.983,624.444,0,0,0,0,0,4.400003,-18.451119465102238,3.757968720870849,0.29239673895886437,-18.743516204061102,0.451101013287092,-0.8375117181722247,0,0,0,0,0,,,,,0,0,,,
4466.666,,660.385,625.579,0,0,0,0,0,4.466666,-17.30383949600548,3.199173893275656,0.24891883115228883,-17.55275832715777,0.6350327183804165,-0.7843053899382327,0,0,0,0,0,,,,,0,0,,,
4533.331,,662.158,625.903,0,0,0,0,0,4.533331,-16.967561138558608,5.011356948103412,0.38991857541534275,-17.35747971397395,0.6651966408602465,-0.7755798058445486,0,0,0,0,0,,,,,0,0,,,
