TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
0.0,,302.408,309.313,0,0,0,0,0,0.0,0,0,0,0,0,-30.930079129401747,-10.2546165294263,-14.763277690482552,-16.166801438919194,-1.9453200361431937,-1.4350934902049963,157.230499,606.155273,,0,0,19.71988004670907,-5.475242947184116,18.878468480840755
66.661,,300.838,311.612,0,0,0,0,0,0.066661,0,0,0,0,0,-28.61945267538005,-11.81591795833964,-17.01093867154379,-11.608514003836255,-0.3930224834059386,-1.0304637525734763,157.468201,606.10907,,0,0,19.71690721837849,-5.466312889713047,18.87780134980761
133.332,,301.82,314.094,0,0,0,0,0,0.133332,0,0,0,0,0,-26.125826630575546,-10.825219555635895,-15.584721989409124,-10.54110464116642,-0.0295226021372467,-0.9357120335312864,156.945114,605.074097,,0,0,19.687993320743097,-5.481040383044361,18.837524637055267
199.999,,301.324,312.081,0,0,0,0,0,0.1999989999999999,0,0,0,0,0,-28.12720343619071,-11.31252314780835,-16.28624781252921,-11.8409556236615,-0.4721790883255769,-1.0510971138926102,161.828812,600.092285,,0,0,19.50134456591456,-5.280099076999713,18.675717656890207
266.664,,300.557,310.685,0,0,0,0,0,0.266664,0,0,0,0,0,-29.5115827428424,-12.070828473516144,-17.377909717630143,-12.13367302521225,-0.5718622505969289,-1.077081031553894,170.057266,584.620667,,0,0,18.967093211549543,-4.910875248398959,18.14314895163822
333.333,,299.866,313.638,0,0,0,0,0,0.333333,0,0,0,0,0,-26.546963504340223,-12.753134750034008,-18.360162834460866,-8.186800669879364,0.7722215496029347,-0.7267253446106052,159.715851,573.034424,,0,0,18.67096768746322,-5.240484758128945,17.672830295637368
399.999,,299.795,314.277,0,0,0,0,0,0.399999,0,0,0,0,0,-25.89634694031133,-12.815442889952864,-18.44986208939307,-7.446484850918264,1.024331678767065,-0.6610090421929091,139.410858,554.182617,,0,0,18.23498751393097,-5.904544550199889,16.892512151244414
466.666,,300.75,317.634,0,0,0,0,0,0.4666659999999999,0,0,0,0,0,-22.52773235325969,-11.851752371438693,-17.062526155299587,-5.465206197960107,1.6990442869730793,-0.4851350384275446,120.220627,524.424683,,0,0,17.48950787606017,-6.480417636866196,15.716481968788033
533.333,,300.948,323.491,0,0,0,0,0,0.533333,0,0,0,0,0,-16.659119917053317,-11.645063324630598,-16.7649750885292,0.1058551714758841,3.596235952282619,0.0093965443976982,111.10714,497.212738,,0,0,16.755614998748733,-6.697238936867287,14.677609189948587
599.999,,300.515,328.326,0,0,0,0,0,0.5999990000000001,0,0,0,0,0,-11.812509805431148,-12.069375879579413,-17.37581855275163,5.56330874732048,5.4547391622291865,0.4938433986119325,100.82209,471.570496,,0,0,16.100345280613748,-6.963887361001667,13.691310480409207
