TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,ToneStart,PelletGrab,Dispense_RWD,Retrieval_RWD,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED
0.0,,431.386,456.401,0.0,0,0,0,0,0,0,0,23.96770608216758,12.001273646755294,17.211051969283954,6.756654112883627,4.683817684613413,0.8066149930047116,,,,0,0,
66.663,,430.323,454.083,0.066663,0,0,0,0,0,0,0,21.65140975050548,10.971692105051318,15.734526876530413,5.916882873975066,4.424615952964622,0.7063624033825538,,,,0,0,
133.333,,425.808,453.158,0.133333,0,0,0,0,0,0,0,20.728113562461317,6.490078557062134,9.307435294567284,11.420678267894033,6.123403945035606,1.3634100794949293,,,,0,0,
199.996,,424.45,450.567,0.199996,0,0,0,0,0,0,0,18.138817160253097,5.165426031146467,7.407748271763032,10.731068888490064,5.910550804774369,1.2810839376722696,,,,0,0,
266.666,,425.137,450.895,0.266666,0,0,0,0,0,0,0,18.468520901656746,5.8857415697845,8.440754327542857,10.027766574113889,5.693471236776974,1.1971231218730685,,,,0,0,
333.333,,422.274,449.697,0.33333300000000005,0,0,0,0,0,0,0,17.272224531121537,3.056020211787086,4.382644871084578,12.88957966003696,6.576791447279206,1.5387687505698218,,,,0,0,
399.998,,422.042,447.033,0.39999799999999996,0,0,0,0,0,0,0,14.609928074206323,2.857262499349133,4.097606010240948,10.512322063965374,5.843032946240458,1.2549697596507337,,,,0,0,
466.666,,420.131,447.608,0.46666599999999997,0,0,0,0,0,0,0,15.186631658680028,0.9794709639033954,1.404661149888155,13.781970508791874,6.8522346186903125,1.6453031130219953,,,,0,0,
533.333,,420.416,445.619,0.533333,0,0,0,0,0,0,0,13.199335182328866,1.297643650343673,1.8609532805535538,11.338381901775312,6.0980025504437885,1.3535854707948054,,,,0,0,
600.002,,421.47,447.628,0.6000019999999999,0,0,0,0,0,0,0,15.210038721810804,2.3847820895501854,3.4200208432147092,11.790017878596094,6.237403403727342,1.4075021497009121,,,,0,0,
666.664,,422.108,447.533,0.666664,0,0,0,0,0,0,0,15.116742047160812,3.0558818508154104,4.38244644731894,10.734295599841872,5.9115467535889605,1.2814691451597304,,,,0,0,
733.334,,422.907,445.951,0.7333339999999999,0,0,0,0,0,0,0,13.536445541653904,3.8879504201385657,5.575717763609119,7.960727778044785,5.055464109951948,0.9503583095597489,,,,0,0,
799.996,,419.781,441.58,0.7999959999999999,0,0,0,0,0,0,0,9.167148796472475,0.794979900234523,1.1400821205817007,8.027066675890774,5.075940111511254,0.9582779024126595,,,,0,0,
866.664,,419.784,445.859,0.866664,0,0,0,0,0,0,0,13.447852169327518,0.8309772680960918,1.1917060228835235,12.256146146443996,6.381277412027099,1.4631489303748704,,,,0,0,
933.334,,420.792,439.202,0.933334,0,0,0,0,0,0,0,6.792555558013021,1.8719405763022223,2.684553731340214,4.1080018266728064,3.866291163922309,0.49041667803694183,,,,0,0,
1000.0,,413.307,441.712,1.0,0,0,0,0,0,0,0,9.304258809233943,-5.580133101467425,-8.002481080943406,17.306739890177347,7.9401812939124605,2.0660930161914006,,,,0,0,
1066.666,,417.825,440.605,1.066666,0,0,0,0,0,0,0,8.19896202519044,-1.0292417478556217,-1.4760380496493115,9.675000074839751,5.584587194024595,1.1550095635066975,,,,0,0,
1133.334,,415.332,441.892,1.133334,0,0,0,0,0,0,0,9.487665256978403,-3.4893843391187715,-5.004133805659041,14.491799062637444,7.071328559761283,1.730043036722238,,,,0,0,
1200.001,,413.731,442.837,1.2000009999999999,0,0,0,0,0,0,0,10.434368427954041,-5.057562316073074,-7.2530611990584894,17.68742962701253,8.057684054708185,2.1115400739042935,,,,0,0,
1266.669,,415.441,444.412,1.266669,0,0,0,0,0,0,0,12.011071589212918,-3.314774655580436,-4.753725684748659,16.764797273961577,7.7729066147272405,2.001395455492785,,,,0,0,
1333.335,,419.803,452.436,1.333335,0,0,0,0,0,0,0,20.036774664115853,1.0799772061661201,1.5487973670484534,18.4879772970674,8.304779135763015,2.20711012122253,,,,0,0,
1399.999,,417.343,452.788,1.399999,0,0,0,0,0,0,0,20.39047765266679,-1.3473066893075156,-1.9321756629962437,22.322653315663032,9.488380833796768,2.6648969367436766,,,,0,0,
1466.664,,415.225,452.536,1.466664,0,0,0,0,0,0,0,20.140180631504677,-3.432624830585155,-4.922734872978545,25.06291550448322,10.334183442417945,2.992031718151473,,,,0,0,
1533.334,,418.506,454.796,1.533334,0,0,0,0,0,0,0,22.4018837028068,-0.11897522308311181,-0.17062287806826792,22.572506580875068,9.565499930046402,2.694724627551013,,,,0,0,
1599.999,,418.101,458.74,1.599999,0,0,0,0,0,0,0,26.347586611126076,-0.49136272572928874,-0.7046645927001276,27.052251203826202,10.948206921920088,3.2295202700887176,,,,0,0,
1666.667,,421.486,460.007,1.666667,0,0,0,0,0,0,0,27.616289560818814,2.9262166148611186,4.1964932548914025,23.419796305927413,9.827022299194494,2.79587478030826,,,,0,0,
1733.331,,422.512,461.427,1.733331,0,0,0,0,0,0,0,29.0379923730805,3.9847594168864475,5.714551753062712,23.323440620017788,9.797281389426683,2.7843717583069183,,,,0,0,
1800.001,,420.001,460.165,1.800001,0,0,0,0,0,0,0,27.777695303342227,1.5062705985505431,2.1601456335382623,25.617549669803964,10.505375464032742,3.0582444065481313,,,,0,0,
1866.667,,418.891,458.683,1.8666669999999999,0,0,0,0,0,0,0,26.29739809617638,0.4287453199655715,0.6148643251012103,25.68253377107517,10.52543329740297,3.066002262658057,,,,0,0,
