TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,ToneStart_5000,ToneStart_10000,ToneStart_20000,ToneStart,PelletGrab,Xpos,Ypos,Speed_cm,DistFromFED,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,306.456,520.343,0,0,0,0,0,0.0,-16.468044778531407,6.3924410650652135,26.734448394186064,-43.20249317271747,-7.551950508056136,-3.9538593074127695,0,0,0,0,0,,,,,0,0,,,
66.666,,305.94,519.39,0,0,0,0,0,0.066666,-17.39906421044236,5.882765997705519,24.602866224708592,-42.00193043515095,-7.270455238596756,-3.8439847190392915,0,0,0,0,0,,,,,0,0,,,
133.336,,305.256,518.961,0,0,0,0,0,0.133336,-17.806084810347443,5.205090687033305,21.76866714095284,-39.574751951300286,-6.701356065385327,-3.621851190755203,0,0,0,0,0,,,,,0,0,,,
199.997,,304.128,523.843,0,0,0,0,0,0.199997,-12.902110863454595,4.0834138999272795,17.077548441154615,-29.97965930460921,-4.451600092163328,-2.7437156115205052,0,0,0,0,0,,,,,0,0,,,
266.666,,306.33,532.228,0,0,0,0,0,0.266666,-4.495136765593543,6.291737249019036,26.31328112031022,-30.80841788590376,-4.645918650334769,-2.8195629663745296,0,0,0,0,0,,,,,0,0,,,
333.334,,306.107,543.146,0,0,0,0,0,0.333334,6.444834516725905,6.075059880649633,25.407084909186615,-18.96225039246071,-1.8683544245893775,-1.7354107297462318,0,0,0,0,0,,,,,0,0,,,
399.999,,305.73,549.863,0,0,0,0,0,0.39999900000000005,13.183802324883345,5.704381605261176,23.85682033273035,-10.673018007847006,0.07521722785746529,-0.9767864882196009,0,0,0,0,0,,,,,0,0,,,
466.669,,304.697,541.109,0,0,0,0,0,0.466669,4.451769295250983,4.677703181512868,19.563007348732317,-15.111238053481333,-0.9654097286297971,-1.3829690102704093,0,0,0,0,0,,,,,0,0,,,
533.331,,303.366,539.411,0,0,0,0,0,0.533331,2.7757311449327062,3.3530233768623248,14.02288182034886,-11.247150675416155,-0.05939933561375973,-1.0293306731647314,0,0,0,0,0,,,,,0,0,,,
600.002,,303.546,538.69,0,0,0,0,0,0.6000019999999999,2.0766934748176027,3.5393438031194933,14.802118090383894,-12.725424615566292,-0.4060093944606744,-1.1646211795204948,0,0,0,0,0,,,,,0,0,,,
