TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,ToneStart_5000,ToneStart_10000,ToneStart_20000,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED
0.0,,440.104,471.701,0,0,0,0,0,0.0,0,0,23.30140374782019,24.723571203913195,19.70143324482245,3.5999705029977385,11.034341778112013,0.26149747370183235,,,,0,0,0,0,0,
66.671,,437.736,469.179,0,0,0,0,0,0.06667100000000001,0,0,20.79117935130762,22.359781799620237,17.81780407616566,2.973375275141958,10.545190790378184,0.2159823593470152,,,,0,0,0,0,0,
133.333,,435.4,468.245,0,0,0,0,0,0.133333,0,0,19.8689492766909,20.02799122282522,15.959673763171937,3.9092755135189616,11.275800449805413,0.2839650130295204,,,,0,0,0,0,0,
200.003,,433.677,469.42,0,0,0,0,0,0.200003,0,0,21.05571652708153,18.309200547117825,14.590023723410395,6.465692803671134,13.271465253728223,0.46966005207103806,,,,0,0,0,0,0,
266.667,,431.651,469.973,0,0,0,0,0,0.266667,0,0,21.62047863277411,16.287408888655023,12.9789217640264,8.64155686874771,14.970051532862357,0.6277121682376358,,,,0,0,0,0,0,
333.333,,431.489,470.479,0,0,0,0,0,0.33333300000000005,0,0,22.138237007122598,16.129616752610275,12.853182191161425,9.285054815961173,15.472397612900819,0.6744550755443798,,,,0,0,0,0,0,
400.003,,430.615,470.106,0,0,0,0,0,0.400003,0,0,21.776992003807038,15.259824265237455,12.16007201099119,9.616919992815848,15.7314678576718,0.698561357883317,,,,0,0,0,0,0,
466.667,,428.642,469.217,0,0,0,0,0,0.466667,0,0,20.89974186132605,13.291030795566144,10.591202635488113,10.308539225837936,16.271379775172605,0.7487997367945535,,,,0,0,0,0,0,
533.332,,427.63,470.621,0,0,0,0,0,0.533332,0,0,22.315487815398455,12.28323678546576,9.788123397559772,12.527364417838683,18.00350361848677,0.9099724969077334,,,,0,0,0,0,0,
600.0,,427.545,469.541,0,0,0,0,0,0.6,0,0,21.247230219519622,12.202442361162696,9.723740870924493,11.52348934859513,17.21982946992643,0.8370522342831243,,,,0,0,0,0,0,
666.666,,427.122,468.222,0,0,0,0,0,0.6666660000000001,0,0,19.939968194409573,11.783647207329523,9.39001623114922,10.549951963260353,16.459838406378275,0.766335664075857,,,,0,0,0,0,0,
733.332,,426.536,465.964,0,0,0,0,0,0.733332,0,0,17.693702093868296,11.201851450237939,8.926401555379803,8.767300538488493,15.0682132128762,0.6368460352912217,,,,0,0,0,0,0,
799.999,,426.082,463.686,0,0,0,0,0,0.799999,0,0,15.427432095287998,10.752055153036508,8.56797308293479,6.8594590123532075,13.578858482004412,0.4982627499858591,,,,0,0,0,0,0,
866.667,,425.613,461.472,0,0,0,0,0,0.8666670000000001,0,0,13.225158199958116,10.28725831579601,8.197591153590496,5.02756704636762,12.148793705338477,0.36519634824700714,,,,0,0,0,0,0,
933.337,,425.438,460.262,0,0,0,0,0,0.933337,0,0,12.026880584964488,10.116461001619825,8.061488164751383,3.965392420213105,11.319608061350653,0.28804127679897634,,,,0,0,0,0,0,
1000.001,,424.899,459.049,0,0,0,0,0,1.000001,0,0,10.825597845529273,9.581662706363034,7.635324282950359,3.1902735625789145,10.71451223877259,0.23173758683229265,,,,0,0,0,0,0,
1066.665,,424.681,459.504,0,0,0,0,0,1.066665,0,0,11.292311038268736,9.367863808373329,7.4649546892172225,3.827356349051513,11.211850329484985,0.2780145046744756,,,,0,0,0,0,0,
1133.335,,424.461,459.276,0,0,0,0,0,1.133335,0,0,11.076021218333949,9.152064685781625,7.292991179631282,3.783030038702667,11.17724703612137,0.27479469546629054,,,,0,0,0,0,0,
1200.002,,424.815,459.004,0,0,0,0,0,1.200002,0,0,10.815726806125554,9.510264771554773,7.578429522214717,3.237297283910837,10.7512212635367,0.23515333268968708,,,,0,0,0,0,0,
1266.669,,424.009,458.321,0,0,0,0,0,1.266669,0,0,10.144428330136407,8.708464254834269,6.939499997445747,3.2049283326906597,10.725952471568014,0.23280209148829228,,,,0,0,0,0,0,
1333.338,,423.585,456.98,0,0,0,0,0,1.333338,0,0,8.815126142696954,8.288663261674628,6.604973836058239,2.210152306638715,9.949381482697925,0.16054277228133848,,,,0,0,0,0,0,
1400.004,,423.095,456.051,0,0,0,0,0,1.4000039999999998,0,0,7.897819368061903,7.802861477272813,6.217853727294369,1.6799656407675343,9.53549175011623,0.12203065847366641,,,,0,0,0,0,0,
1466.67,,423.36,455.226,0,0,0,0,0,1.4666700000000001,0,0,7.084508534173949,8.072059090688583,6.432368808816366,0.6521397253575829,8.733120395547083,0.04737063554815515,,,,0,0,0,0,0,
1533.338,,423.393,453.68,0,0,0,0,0,1.5333379999999999,0,0,5.550193992996526,8.109256227922401,6.46201003343515,-0.911816040438624,7.512219766876305,-0.06623320687126691,,,,0,0,0,0,0,
1600.005,,423.32,452.722,0,0,0,0,0,1.6000050000000001,0,0,4.603875220070165,8.04045270019111,6.407182673812599,-1.803307453742434,6.8162778158562825,-0.1309900575764875,,,,0,0,0,0,0,
1666.67,,423.268,451.531,0,0,0,0,0,1.66667,0,0,3.424552041917707,7.992648444686097,6.369088971433008,-2.9445369295153014,5.92537807629787,-0.21388757703676256,,,,0,0,0,0,0,
1733.335,,422.739,450.215,0,0,0,0,0,1.733335,0,0,2.1202248105008152,7.467843587407799,5.950888544936957,-3.8306637344361416,5.233624001872942,-0.2782547491214561,,,,0,0,0,0,0,
1800.001,,422.245,450.051,0,0,0,0,0,1.800001,0,0,1.967893702289814,6.97803819136891,5.560578084424376,-3.5926843821345624,5.419402364145065,-0.2609682187545431,,,,0,0,0,0,0,
1866.671,,421.709,450.128,0,0,0,0,0,1.866671,0,0,2.056559243398965,6.446232445358476,5.136798870664779,-3.080239627265814,5.819441890237278,-0.2237448557580001,,,,0,0,0,0,0,
1933.332,,420.772,449.625,0,0,0,0,0,1.933332,0,0,1.5652191610815862,5.5134255317032625,4.3934744830968295,-2.8282553220152433,6.016153206134994,-0.20544102266251624,,,,0,0,0,0,0,
2000.005,,420.312,448.976,0,0,0,0,0,2.0000050000000003,0,0,0.9278771297145454,5.0576187713948,4.030256462308389,-3.102379332593844,5.802158549656467,-0.22535305699380517,,,,0,0,0,0,0,
2066.671,,420.99,448.478,0,0,0,0,0,2.066671,0,0,0.44152982810061303,5.739810969503083,4.573873893139209,-4.132344065038596,4.998117529538264,-0.30016844098431544,,,,0,0,0,0,0,
2133.334,,421.614,448.595,0,0,0,0,0,2.1333339999999996,0,0,0.5701779577815955,6.368002377795506,5.074459798977605,-4.5042818411960095,4.707764647015517,-0.3271855481407355,,,,0,0,0,0,0,
2200.003,,421.988,448.732,0,0,0,0,0,2.200003,0,0,0.7188230925307266,6.7461935622004034,5.375828417087222,-4.657005324556495,4.588541200339145,-0.33827919600269857,,,,0,0,0,0,0,
2266.666,,421.703,448.674,0,0,0,0,0,2.2666660000000003,0,0,0.6724631377588253,6.465383768428353,5.152059955551308,-4.4795968177924825,4.7270349878085485,-0.3253924580993261,,,,0,0,0,0,0,
2333.335,,421.565,450.811,0,0,0,0,0,2.333335,0,0,2.8211001902505473,6.331573750855682,5.04543097595583,-2.2243307857052823,6.487606339385963,-0.16157267973578962,,,,0,0,0,0,0,
2400.005,,422.147,452.587,0,0,0,0,0,2.400005,0,0,4.608733378082093,6.91776319524746,5.512546842458049,-0.9038134643759559,7.518466970511838,-0.06565190949070451,,,,0,0,0,0,0,
2466.668,,422.057,453.151,0,0,0,0,0,2.4666680000000003,0,0,5.184361307345853,6.831951599074216,5.444166289915016,-0.25980498256916285,8.021211598910545,-0.018871917572772234,,,,0,0,0,0,0,
2533.337,,422.481,453.886,0,0,0,0,0,2.533337,0,0,5.930986247163332,7.260139779230542,5.785375935897743,0.14561031126558976,8.337698674786127,0.010576955702604278,,,,0,0,0,0,0,
2600.0,,421.864,455.944,0,0,0,0,0,2.6,0,0,8.000606106577663,6.647326981967922,5.297044759798196,2.703561346779468,10.334560795613472,0.19638340413957509,,,,0,0,0,0,0,
2666.665,,421.662,458.74,0,0,0,0,0,2.666665,0,0,10.8082222818702,6.449513709929931,5.139413606836135,5.668808675034065,12.649378392380548,0.4117753593219846,,,,0,0,0,0,0,
2733.332,,421.775,460.257,0,0,0,0,0,2.733332,0,0,12.33683477413581,6.566699963159806,5.232795633318067,7.104039140817743,13.769789734110965,0.5160287526955724,,,,0,0,0,0,0,
2800.0,,421.567,460.216,0,0,0,0,0,2.8,0,0,12.30744341037365,6.362885678921089,5.070382463141518,7.237060947232132,13.873633084818245,0.5256912947346394,,,,0,0,0,0,0,
2866.666,,421.779,459.705,0,0,0,0,0,2.8666660000000004,0,0,11.808047669753023,6.579070668971212,5.242653458326046,6.565394211426977,13.349297065900036,0.476902240925352,,,,0,0,0,0,0,
2933.332,,421.301,459.799,0,0,0,0,0,2.933332,0,0,11.91364790204318,6.10525505898562,4.8650847536381905,7.04856314840499,13.726482451709417,0.5119990441590838,,,,0,0,0,0,0,
3000.002,,420.908,460.236,0,0,0,0,0,3.000002,0,0,12.36224480435834,5.716439100073501,4.5552495880705575,7.806995216287783,14.318551747231194,0.5670906260375067,,,,0,0,0,0,0,
3066.666,,419.729,460.573,0,0,0,0,0,3.066666,0,0,12.71083663888686,4.541622164784485,3.6190750527572986,9.09176158612956,15.321503430993392,0.6604144906999916,,,,0,0,0,0,0,
3133.333,,420.314,459.382,0,0,0,0,0,3.133333,0,0,11.531424972315392,5.130804817992782,4.088576112891589,7.442848859423803,14.034281229006488,0.5406394780910546,,,,0,0,0,0,0,
3200.002,,419.778,457.964,0,0,0,0,0,3.200002,0,0,10.125009631821797,4.598986996988742,3.6647872769507064,6.460222354871091,13.267194752908988,0.46926268533149523,,,,0,0,0,0,0,
3266.669,,419.299,457.028,0,0,0,0,0,3.266669,0,0,9.200589923804614,4.124168450947707,3.2864193641756585,5.914170559628955,12.840919921690519,0.42959814784507283,,,,0,0,0,0,0,
3333.336,,419.563,457.065,0,0,0,0,0,3.3333359999999996,0,0,9.249166197305044,4.392349305437051,3.5001242226008653,5.749041974704179,12.712012443899072,0.41760340851100597,,,,0,0,0,0,0,
3400.003,,419.716,456.549,0,0,0,0,0,3.4000030000000003,0,0,8.744738453776108,4.549529560553992,3.6253762068670965,5.119362246909011,12.220453544127388,0.37186423983654604,,,,0,0,0,0,0,
3466.669,,418.927,455.516,0,0,0,0,0,3.466669,0,0,7.723306521177335,3.7647091537058373,2.99997759571694,4.723328925460395,11.911290496357278,0.34309686161099623,,,,0,0,0,0,0,
3533.336,,419.179,455.874,0,0,0,0,0,3.533336,0,0,8.092870748005964,4.020888210378757,3.204118600271628,4.888752147734336,12.040427982524083,0.3551130030433305,,,,0,0,0,0,0,
3600.003,,419.397,454.621,0,0,0,0,0,3.600003,0,0,6.851430962160293,4.24306666797122,3.3811656005705055,3.470265361589788,10.933087578888433,0.25207585017017436,,,,0,0,0,0,0,
