TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED
0.0,,438.13,495.642,0,0,0,0,0,0.0,0,0,0,0,0,36.33282797461453,19.29655593733628,16.940041637119876,19.392786337494655,11.218160955707205,1.572482768693572,,,,0,0,
66.671,,434.933,501.132,0,0,0,0,0,0.06667100000000001,0,0,0,0,0,41.8240608668188,16.10097486807564,14.134560004600011,27.689500862218786,14.348705830606432,2.245229861341829,,,,0,0,
133.334,,436.086,500.205,0,0,0,0,0,0.133334,0,0,0,0,0,40.89829360777668,17.255393623748205,15.14805349610613,25.75024011167055,13.616977290877765,2.0879830345490773,,,,0,0,
200.003,,433.037,497.01,0,0,0,0,0,0.200003,0,0,0,0,0,37.70452645637852,14.207812502309196,12.472504769755204,25.232021686623312,13.42144133145967,2.04596279415532,,,,0,0,
266.665,,433.559,495.822,0,0,0,0,0,0.26666500000000004,0,0,0,0,0,36.51775917222699,14.731231227087221,12.932027337530796,23.58573183469619,12.80025757936228,1.9124717950086272,,,,0,0,
333.334,,434.768,491.425,0,0,0,0,0,0.333334,0,0,0,0,0,32.12199201421083,15.941650096035175,13.994684748151471,18.12730726605936,10.74066603774078,1.4698701786643136,,,,0,0,
400.001,,433.195,488.475,0,0,0,0,0,0.400001,0,0,0,0,0,29.173224815901676,14.370068917612116,12.614953790144533,16.558271025757143,10.148631884224743,1.3426433630642955,,,,0,0,
466.667,,432.134,482.475,0,0,0,0,0,0.466667,0,0,0,0,0,23.17445759579175,13.310487713100542,11.68472058904841,11.48973700674334,8.236155186467851,0.9316563976674473,,,,0,0,
533.337,,430.014,479.794,0,0,0,0,0,0.533337,0,0,0,0,0,20.4946904463402,11.19190658891091,9.824764511547777,10.669925934792424,7.926821251687575,0.8651812268594982,,,,0,0,
600.0,,431.974,480.698,0,0,0,0,0,0.6,0,0,0,0,0,21.39992316413725,13.153325310940545,11.546743731936601,9.853179432200648,7.6186436507636035,0.7989545496113112,,,,0,0,
666.667,,436.874,480.75,0,0,0,0,0,0.666667,0,0,0,0,0,21.45315595259251,18.054744113292088,15.849823555371122,5.603332397221388,6.0150767430662,0.4543516072704478,,,,0,0,
