T,Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,CPSP,CPSP_SEM,SHAM,SHAM_SEM,SHAM_68b,SHAM_6d2,SHAM_6d3
13,1/22/2023 4:00,70.30,36.90,14.80,7.01,26.20,3.43,47.60,6.31,26.57,8.38,16.35,9.46,33.10,15.60,0.34
14,1/22/2023 5:00,64.30,17.70,26.20,25.40,37.30,4.82,11.40,52.00,29.89,7.17,21.94,12.55,21.10,44.10,0.63
15,1/22/2023 6:00,46.20,59.60,28.70,43.00,35.20,22.70,18.40,42.70,37.06,4.79,23.91,10.15,39.60,27.20,4.92
16,1/22/2023 7:00,5.74,21.90,2.19,22.50,24.50,36.30,18.20,4.92,17.03,4.18,4.82,2.29,6.16,7.93,0.36
17,1/22/2023 8:00,11.50,11.00,3.83,2.89,8.69,20.80,12.10,31.50,12.79,3.31,17.94,6.76,18.60,29.30,5.91
18,1/22/2023 9:00,21.60,1.20,0.10,0.68,7.46,6.89,0.36,1.85,5.02,2.58,13.06,4.30,17.90,16.80,4.49
19,1/22/2023 10:00,2.92,27.10,9.01,11.30,12.80,3.73,27.80,4.66,12.42,3.51,22.63,9.49,33.20,31.00,3.70
20,1/22/2023 11:00,2.80,14.70,1.38,2.36,1.50,4.69,2.53,0.61,3.82,1.61,5.26,2.94,10.30,5.36,0.13
21,1/22/2023 12:00,15.40,0.97,0.19,0.53,29.80,9.97,1.74,24.00,10.32,4.12,9.37,3.16,10.00,14.50,3.62
22,1/22/2023 13:00,3.46,6.05,0.06,5.20,0.87,6.74,9.85,0.64,4.11,1.23,4.02,2.67,9.10,0.07,2.90
23,1/22/2023 14:00,21.90,3.80,8.29,0.83,5.86,1.79,0.17,1.62,5.53,2.53,7.87,4.11,9.54,14.00,0.06
24,1/22/2023 15:00,6.42,3.13,0.60,14.70,1.15,7.22,8.34,3.36,5.61,1.63,2.83,0.81,2.82,4.24,1.43
25,1/22/2023 16:00,47.70,17.30,9.38,15.60,26.50,13.20,1.87,7.55,17.39,5.04,10.07,5.03,15.50,14.70,0.02
