T,Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,CPSP,CPSP_SEM,SHAM,SHAM_SEM,SHAM_68b,SHAM_6d2,SHAM_6d3
178,1/29/2023 1:00,38.70,53.80,8.68,46.30,12.30,6.79,3.41,19.60,23.70,6.96,12.24,6.92,10.50,1.23,25.00
179,1/29/2023 2:00,1.32,43.50,14.50,55.40,28.90,12.80,7.65,11.10,21.90,6.71,18.56,10.96,2.48,39.50,13.70
180,1/29/2023 3:00,7.66,8.54,41.40,39.90,38.90,4.61,56.40,33.90,28.91,6.83,7.37,3.37,2.64,5.58,13.90
181,1/29/2023 4:00,53.70,1.43,29.60,41.10,42.80,8.43,2.79,1.09,22.62,7.64,15.41,6.37,3.82,25.80,16.60
182,1/29/2023 5:00,23.60,45.90,17.30,35.70,22.80,11.80,7.52,16.20,22.60,4.49,19.73,4.99,29.30,17.40,12.50
183,1/29/2023 6:00,8.16,49.70,42.70,35.30,37.70,0.02,1.14,1.08,21.98,7.52,28.62,12.58,38.30,43.90,3.66
184,1/29/2023 7:00,49.60,20.90,30.70,36.70,16.10,13.20,44.00,0.68,26.48,5.89,20.76,7.07,7.09,24.50,30.70
185,1/29/2023 8:00,43.90,1.10,9.50,23.10,3.23,0.02,23.90,11.30,14.51,5.31,8.61,3.06,8.63,13.90,3.29
186,1/29/2023 9:00,8.16,1.46,15.20,16.40,19.30,0.12,0.98,0.83,7.80,2.85,5.86,4.29,2.98,14.30,0.31
187,1/29/2023 10:00,3.68,14.10,7.77,3.14,1.40,11.00,1.40,11.50,6.75,1.77,0.98,0.72,2.42,0.20,0.32
188,1/29/2023 11:00,16.20,3.14,2.99,9.42,11.50,0.02,0.20,4.90,6.05,2.04,0.59,0.04,0.67,0.55,0.56
189,1/29/2023 12:00,13.50,9.90,15.80,28.80,1.99,0.61,17.00,5.27,11.61,3.28,2.51,1.14,2.13,0.75,4.65
190,1/29/2023 13:00,0.02,1.42,5.55,2.84,11.50,0.02,11.00,1.66,4.25,1.65,8.07,7.42,1.16,22.90,0.14
191,1/29/2023 14:00,3.37,18.20,41.10,35.70,9.36,1.81,2.15,5.31,14.63,5.54,6.88,3.57,13.30,0.95,6.39
192,1/29/2023 15:00,2.89,5.77,10.70,4.38,5.00,2.94,0.70,2.34,4.34,1.07,5.20,3.81,0.93,1.87,12.80
193,1/29/2023 16:00,0.29,6.22,20.60,33.80,11.50,0.34,0.42,2.04,9.40,4.30,5.92,4.07,13.90,3.38,0.49
194,1/29/2023 17:00,4.26,14.90,9.37,42.60,20.40,1.08,1.88,4.63,12.39,4.92,6.52,4.03,14.40,1.07,4.10
195,1/29/2023 18:00,14.70,6.24,24.90,9.98,11.70,1.46,0.23,0.18,8.67,3.02,4.62,1.61,3.60,7.78,2.48
196,1/29/2023 19:00,32.40,37.90,41.30,38.70,48.40,5.36,2.03,4.08,26.27,6.76,19.35,6.13,27.50,23.20,7.35
197,1/29/2023 20:00,27.10,18.80,48.50,40.40,21.60,13.60,5.28,8.44,22.97,5.35,14.60,3.44,20.70,14.30,8.79
198,1/29/2023 21:00,13.50,51.00,45.00,42.60,17.70,16.00,68.60,19.80,34.28,7.19,19.77,1.97,18.10,23.70,17.50
199,1/29/2023 22:00,26.90,34.10,43.00,27.00,29.60,38.70,27.50,27.60,31.80,2.18,17.03,2.59,22.10,13.60,15.40
200,1/29/2023 23:00,48.50,62.70,39.80,36.20,50.40,14.60,33.00,2.68,35.99,6.90,29.47,4.28,33.60,33.90,20.90
201,1/30/2023 0:00,57.30,58.00,46.20,21.30,36.40,21.80,1.94,45.70,36.08,6.96,20.98,6.09,27.90,8.84,26.20
202,1/30/2023 1:00,56.90,60.70,41.30,40.70,27.30,29.60,27.00,7.35,36.36,6.14,17.46,9.41,5.39,36.00,11.00
203,1/30/2023 2:00,51.50,22.50,27.20,42.10,19.90,22.70,6.02,3.92,24.48,5.73,14.16,2.37,17.50,9.59,15.40
204,1/30/2023 3:00,17.30,53.60,10.90,60.00,33.30,0.23,2.66,20.00,24.75,7.91,18.81,9.29,33.70,1.73,21.00
205,1/30/2023 4:00,44.40,58.50,16.80,23.70,24.00,11.10,2.78,4.71,23.25,6.87,13.76,12.72,0.92,39.20,1.17
206,1/30/2023 5:00,47.00,29.60,40.90,12.00,33.80,5.93,2.54,2.76,21.82,6.39,14.27,1.63,13.50,11.90,17.40
207,1/30/2023 6:00,42.60,62.90,41.90,44.60,38.00,0.04,1.67,3.86,29.45,8.49,28.87,0.95,28.90,30.50,27.20
208,1/30/2023 7:00,3.87,13.70,35.20,41.60,7.36,3.41,1.65,2.93,13.72,5.58,16.73,9.83,14.40,34.80,0.98
209,1/30/2023 8:00,23.30,6.32,12.00,16.30,17.90,6.25,42.50,18.50,17.88,4.10,6.32,2.59,2.89,4.66,11.40
210,1/30/2023 9:00,6.62,2.04,12.30,1.99,11.60,0.68,46.50,1.98,10.46,5.39,5.88,1.95,2.39,6.11,9.15
211,1/30/2023 10:00,4.42,0.45,16.30,2.93,8.53,9.43,0.06,2.07,5.52,1.96,8.48,4.81,17.10,7.85,0.48
212,1/30/2023 11:00,25.60,6.72,3.52,24.90,1.95,0.02,1.82,0.77,8.16,3.80,4.70,4.21,13.10,0.04,0.95
213,1/30/2023 12:00,1.25,1.05,15.80,4.19,16.30,0.70,26.40,2.25,8.49,3.44,1.52,0.65,2.28,2.04,0.23
214,1/30/2023 13:00,15.00,3.12,2.42,3.33,14.00,1.82,0.72,1.23,5.20,2.05,4.66,2.17,0.35,7.28,6.36
215,1/30/2023 14:00,3.25,1.75,21.80,26.40,6.58,1.36,0.02,12.90,9.26,3.56,1.48,1.36,4.20,0.02,0.23
216,1/30/2023 15:00,13.10,22.80,5.10,6.24,12.00,1.93,2.11,0.25,7.94,2.69,5.80,2.25,7.87,8.23,1.31
217,1/30/2023 16:00,18.80,5.82,33.00,39.20,10.20,1.41,8.56,3.40,15.05,4.99,3.14,0.54,4.16,2.96,2.31
218,1/30/2023 17:00,22.50,0.15,16.80,8.20,3.54,0.38,0.02,0.72,6.54,3.07,8.64,1.86,10.70,4.92,10.30
219,1/30/2023 18:00,14.70,3.62,19.00,21.60,16.80,5.35,9.13,11.10,12.66,2.28,10.80,5.17,13.90,17.80,0.70
220,1/30/2023 19:00,39.80,24.60,45.20,46.70,27.20,4.24,6.04,3.09,24.61,6.51,24.80,3.91,30.90,26.00,17.50
221,1/30/2023 20:00,28.70,13.70,43.40,46.00,21.40,5.24,4.48,12.70,21.95,5.70,18.87,7.68,17.50,32.80,6.30
222,1/30/2023 21:00,6.62,43.30,28.30,36.10,27.40,27.70,36.30,13.40,27.39,4.30,21.70,5.77,31.70,11.70,21.70
223,1/30/2023 22:00,48.90,15.70,45.60,46.50,9.81,14.10,33.60,15.80,28.75,5.89,28.80,7.29,34.00,38.00,14.40
224,1/30/2023 23:00,35.10,56.60,45.00,21.10,38.00,29.70,7.48,18.40,31.42,5.55,23.67,5.15,33.40,15.90,21.70
225,1/31/2023 0:00,38.70,48.80,46.40,33.80,36.30,15.60,3.31,28.30,31.40,5.44,21.40,1.25,22.80,22.50,18.90
226,1/31/2023 1:00,2.07,36.50,34.80,41.00,31.80,19.40,17.50,14.80,24.73,4.72,18.07,3.66,12.40,16.90,24.90
227,1/31/2023 2:00,31.30,10.10,43.80,18.40,29.20,7.34,12.80,18.20,21.39,4.39,39.00,4.35,43.20,43.50,30.30
228,1/31/2023 3:00,55.60,28.20,39.80,18.60,7.58,11.90,53.70,6.35,27.72,7.06,26.59,14.19,50.10,28.60,1.07
229,1/31/2023 4:00,2.92,36.90,37.00,29.10,1.17,1.99,3.25,27.10,17.43,5.83,18.88,16.21,51.30,2.12,3.22
230,1/31/2023 5:00,33.20,37.80,40.00,47.10,28.00,0.11,4.06,9.17,24.93,6.36,30.93,8.02,38.90,39.00,14.90
231,1/31/2023 6:00,55.70,33.30,14.60,41.70,34.20,2.17,0.44,4.42,23.32,7.33,28.27,3.84,34.90,21.60,28.30
232,1/31/2023 7:00,58.60,9.24,5.81,6.04,38.70,0.11,3.29,3.93,15.72,7.49,5.67,2.77,8.21,8.68,0.13
233,1/31/2023 8:00,34.70,2.47,21.00,17.70,10.60,6.45,0.79,3.50,12.15,4.12,3.86,2.21,8.04,0.53,3.02
234,1/31/2023 9:00,2.47,0.49,10.40,1.22,4.36,2.52,1.57,5.64,3.58,1.14,19.90,6.39,25.00,27.50,7.21
235,1/31/2023 10:00,17.90,8.10,10.10,2.29,5.38,2.70,32.90,22.00,12.67,3.81,0.74,0.12,0.85,0.49,0.87
236,1/31/2023 11:00,30.00,0.02,2.57,40.10,2.28,1.13,7.51,4.80,11.05,5.38,1.61,0.74,3.03,0.52,1.28
237,1/31/2023 12:00,0.72,0.02,25.40,6.05,13.10,1.35,0.02,4.57,6.40,3.13,1.14,0.76,0.52,2.66,0.24
